年份,国有控股工业企业固定资产原价合计,煤炭开采和洗选业国有控股工业企业固定资产原价合计,石油和天然气开采业国有控股工业企业固定资产原价合计,黑色金属矿采选业国有控股工业企业固定资产原价合计,有色金属矿采选业国有控股工业企业固定资产原价合计,非金属矿采选业国有控股工业企业固定资产原价合计,其他采矿业国有控股工业企业固定资产原价合计,农副食品加工业国有控股工业企业固定资产原价合计,食品制造业国有控股工业企业固定资产原价合计,饮料制造业国有控股工业企业固定资产原价合计,烟草制品业国有控股工业企业固定资产原价合计,纺织业国有控股工业企业固定资产原价合计,纺织服装、鞋、帽制造业国有控股工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业固定资产原价合计,家具制造业国有控股工业企业固定资产原价合计,造纸及纸制品业国有控股工业企业固定资产原价合计,印刷业和记录媒介的复制国有控股工业企业固定资产原价合计,文教体育用品制造业国有控股工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业国有控股工业企业固定资产原价合计,化学原料及化学制品制造业国有控股工业企业固定资产原价合计,医药制造业国有控股工业企业固定资产原价合计,化学纤维制造业国有控股工业企业固定资产原价合计,橡胶制品业国有控股工业企业固定资产原价合计,塑料制品业国有控股工业企业固定资产原价合计,非金属矿物制品业国有控股工业企业固定资产原价合计,黑色金属冶炼及压延加工业国有控股工业企业固定资产原价合计,有色金属冶炼及压延加工业国有控股工业企业固定资产原价合计,金属制品业国有控股工业企业固定资产原价合计,通用设备制造业国有控股工业企业固定资产原价合计,专用设备制造业国有控股工业企业固定资产原价合计,交通运输设备制造业国有控股工业企业固定资产原价合计,电气机械及器材制造业国有控股工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造国有控股工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业国有控股工业企业固定资产原价合计,工艺品及其他制造业国有控股工业企业固定资产原价合计,废弃资源和废旧材料回收加工业国有控股工业企业固定资产原价合计,电力、热力的生产和供应业国有控股工业企业固定资产原价合计,燃气生产和供应业国有控股工业企业固定资产原价合计,水的生产和供应业国有控股工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,185896.57267,13606.35365,20697.53585,1126.26907,664.25235,306.6207,,599.58873,455.39069,923.44565,1914.68021,520.00674,64.8856,7.96463,143.44589,24.2789,907.722,450.37991,18.13556,8364.79789,9035.04463,997.28182,444.66402,355.98416,272.66504,3491.77896,18173.01121,5041.09847,510.99156,1967.27939,2209.05447,9527.295,1295.14486,2351.04371,367.59683,282.22644,20.35102,73973.25704,1123.98098,3661.06904
2010,165601.03896,11368.47534,16407.14164,846.6369,600.54939,257.04479,,601.44909,481.19618,826.60408,1780.17891,498.9704,54.16184,8.37425,124.06093,23.5471,967.55299,476.8719,18.27528,8012.29069,8541.66528,974.40783,416.91033,360.94741,240.25442,2853.81442,17648.43358,4477.33457,436.12753,1779.25164,1981.22277,8654.87683,1042.92489,1876.26223,364.91714,167.18735,15.33898,65735.56191,1097.60496,3582.61319
2009,145330.27508,9869.86932,15176.00042,403.75876,455.53878,228.23198,0.02948,523.79927,364.3989,770.30171,1633.54629,504.6827,50.60934,9.46951,103.53933,16.71944,844.76446,453.80162,17.63844,7078.92081,7612.41411,806.33503,395.49338,334.72967,235.44632,2248.5826,15670.01812,3776.39842,437.64063,1717.69155,1746.07683,7235.21321,847.74823,1899.44801,263.79705,128.23125,81.18689,57369.68979,900.93191,3117.58152
2008,129146.63577,7974.50201,14039.16954,423.08248,406.80667,223.73625,0.02948,462.09616,369.13765,693.41381,1485.49721,574.01351,60.27815,11.78877,128.07281,15.29666,810.19772,432.59071,24.05404,5770.07389,6749.66706,882.73005,471.15776,305.21177,259.68174,2183.46247,13190.65113,3192.6235,370.54878,1744.42444,1642.52658,6147.00998,686.64031,1597.58874,240.36261,128.27729,64.93855,51798.46133,756.55662,2830.27754
