年份,国有控股工业企业出口交货值,煤炭开采和洗选业国有控股工业企业出口交货值,石油和天然气开采业国有控股工业企业出口交货值,黑色金属矿采选业国有控股工业企业出口交货值,有色金属矿采选业国有控股工业企业出口交货值,非金属矿采选业国有控股工业企业出口交货值,其他采矿业国有控股工业企业出口交货值,农副食品加工业国有控股工业企业出口交货值,食品制造业国有控股工业企业出口交货值,饮料制造业国有控股工业企业出口交货值,烟草制品业国有控股工业企业出口交货值,纺织业国有控股工业企业出口交货值,纺织服装、鞋、帽制造业国有控股工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业国有控股工业企业出口交货值,家具制造业国有控股工业企业出口交货值,造纸及纸制品业国有控股工业企业出口交货值,印刷业和记录媒介的复制国有控股工业企业出口交货值,文教体育用品制造业国有控股工业企业出口交货值,石油加工、炼焦及核燃料加工业国有控股工业企业出口交货值,化学原料及化学制品制造业国有控股工业企业出口交货值,医药制造业国有控股工业企业出口交货值,化学纤维制造业国有控股工业企业出口交货值,橡胶制品业国有控股工业企业出口交货值,塑料制品业国有控股工业企业出口交货值,非金属矿物制品业国有控股工业企业出口交货值,黑色金属冶炼及压延加工业国有控股工业企业出口交货值,有色金属冶炼及压延加工业国有控股工业企业出口交货值,金属制品业国有控股工业企业出口交货值,通用设备制造业国有控股工业企业出口交货值,专用设备制造业国有控股工业企业出口交货值,交通运输设备制造业国有控股工业企业出口交货值,电气机械及器材制造业国有控股工业企业出口交货值,通信设备、计算机及其他电子设备制造国有控股工业企业出口交货值,仪器仪表及文化、办公用机械制造业国有控股工业企业出口交货值,工艺品及其他制造业国有控股工业企业出口交货值,废弃资源和废旧材料回收加工业国有控股工业企业出口交货值,电力、热力的生产和供应业国有控股工业企业出口交货值,燃气生产和供应业国有控股工业企业出口交货值,水的生产和供应业国有控股工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8701.45878,51.5955,43.95592,,0.13102,8.96674,,52.42542,33.88892,45.31662,30.9345,136.94058,21.33977,1.31856,12.49379,12.51827,20.45899,6.68744,10.21001,296.66617,506.28928,162.2879,45.7791,216.75071,21.01004,116.59365,1171.0381,327.02594,140.35563,397.34275,340.68395,2507.69843,411.29022,1350.86837,75.20378,16.55082,0.41022,57.62928,49.33998,1.46241
2010,7724.81873,107.89464,59.47268,,0.03899,4.78371,,38.22583,36.78659,30.66035,27.39032,109.62659,20.84594,1.39831,9.07821,10.91877,138.25789,3.67853,11.67951,296.22773,445.6346,156.20723,34.73131,178.31205,27.17158,79.94091,1002.40038,223.27569,115.7119,285.03207,331.18563,2137.72403,363.96938,1304.61729,58.32559,7.78763,0.39443,50.03031,12.53745,2.86468
2009,6023.17376,68.21727,98.20905,,0.20948,5.92546,,34.82758,36.4668,27.77746,23.50304,95.65802,21.32965,2.78882,8.7827,4.50786,25.18822,3.77393,8.42778,278.03032,344.19998,128.66524,27.29613,137.67701,15.54699,64.84342,492.77706,142.26669,60.53155,490.82443,274.74037,1745.63983,232.4521,967.85837,30.84442,7.79972,,87.90221,24.857,2.8278
2008,8683.549,141.90282,216.43583,0.01698,1.31975,5.6855,,38.44718,52.95677,27.16406,20.81654,106.29475,21.97912,5.09212,12.2253,5.91857,36.50829,2.85633,12.32639,270.88566,464.30034,138.88851,40.21586,141.52092,23.53851,122.69352,1779.8102,313.99928,222.90766,562.90451,347.31229,1927.23182,247.64421,1240.06663,29.25851,6.96291,,52.88668,16.01142,26.56326
2007,7218.33365,156.84985,144.12197,1.37057,2.70604,5.45776,,33.5183,50.46767,34.90984,24.37829,164.49226,33.76081,6.49397,14.98451,18.05181,21.19136,5.73176,10.42976,248.83142,420.82734,137.33492,55.16628,141.60229,16.68651,111.81805,1593.32623,390.39934,211.39714,473.2611,262.09155,1406.70619,227.9673,668.47334,45.66475,9.05453,,54.31661,14.39014,0.10209
2006,5981.38,188.86,222.48,2.04,51.54,11.13,0.0,43.64,58.14,36.01,26.35,206.52,35.0,9.43,27.4,17.83,41.85,1.64,11.76,77.31,323.75,113.14,42.21,121.51,17.96,90.09,1108.72,457.05,102.16,358.71,179.57,902.92,218.57,732.52,37.13,7.86,0.0,91.86,6.22,0.48
