年份,国有控股工业企业国家资本金,煤炭开采和洗选业国有控股工业企业国家资本金,石油和天然气开采业国有控股工业企业国家资本金,黑色金属矿采选业国有控股工业企业国家资本金,有色金属矿采选业国有控股工业企业国家资本金,非金属矿采选业国有控股工业企业国家资本金,其他采矿业国有控股工业企业国家资本金,农副食品加工业国有控股工业企业国家资本金,食品制造业国有控股工业企业国家资本金,饮料制造业国有控股工业企业国家资本金,烟草制品业国有控股工业企业国家资本金,纺织业国有控股工业企业国家资本金,纺织服装、鞋、帽制造业国有控股工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业国家资本金,家具制造业国有控股工业企业国家资本金,造纸及纸制品业国有控股工业企业国家资本金,印刷业和记录媒介的复制国有控股工业企业国家资本金,文教体育用品制造业国有控股工业企业国家资本金,石油加工、炼焦及核燃料加工业国有控股工业企业国家资本金,化学原料及化学制品制造业国有控股工业企业国家资本金,医药制造业国有控股工业企业国家资本金,化学纤维制造业国有控股工业企业国家资本金,橡胶制品业国有控股工业企业国家资本金,塑料制品业国有控股工业企业国家资本金,非金属矿物制品业国有控股工业企业国家资本金,黑色金属冶炼及压延加工业国有控股工业企业国家资本金,有色金属冶炼及压延加工业国有控股工业企业国家资本金,金属制品业国有控股工业企业国家资本金,通用设备制造业国有控股工业企业国家资本金,专用设备制造业国有控股工业企业国家资本金,交通运输设备制造业国有控股工业企业国家资本金,电气机械及器材制造业国有控股工业企业国家资本金,通信设备、计算机及其他电子设备制造国有控股工业企业国家资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业国家资本金,工艺品及其他制造业国有控股工业企业国家资本金,废弃资源和废旧材料回收加工业国有控股工业企业国家资本金,电力、热力的生产和供应业国有控股工业企业国家资本金,燃气生产和供应业国有控股工业企业国家资本金,水的生产和供应业国有控股工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,21689.44816,1528.75068,3362.7404,523.38442,142.39484,76.07308,,75.61873,45.98743,113.90084,166.04436,75.79287,11.46831,0.94476,13.83822,1.62583,170.23893,65.92476,7.74953,1783.71195,1037.57803,211.49171,90.80572,25.91536,33.11975,361.62507,1194.92535,785.14482,142.29251,359.81869,359.15041,1074.63847,182.00862,382.33542,102.93233,21.34862,4.95392,6117.54955,170.30868,865.31519
2010,19585.18106,1316.92345,2455.26577,423.62791,79.48858,75.37038,,96.68864,47.53749,91.62954,138.22247,81.25497,10.74066,1.20226,16.81267,0.81185,152.08046,81.79728,6.71186,1313.13347,788.74047,140.18853,62.77875,18.04982,29.79199,303.05698,1720.68289,656.27606,119.75505,284.88335,367.47929,983.7426,194.63144,232.39908,50.93627,28.23156,2.4997,6163.66191,146.33748,901.75813
2009,20561.49105,1391.51343,2512.77097,230.59422,79.30146,56.17432,0.01389,82.22394,49.93682,92.72792,193.03381,101.29623,10.20971,2.03606,19.52745,0.53287,116.53224,81.72915,4.6681,1194.86064,884.39497,128.33794,82.24841,24.9119,37.8447,310.89778,1735.79702,606.09152,117.69171,330.37389,336.54943,778.00612,158.58414,320.58672,49.87552,19.58643,10.68739,7418.97395,155.96699,834.40129
2008,22250.84727,1668.81216,3073.42622,185.12293,99.47106,39.35953,0.01389,79.17382,53.04121,101.75686,175.80742,106.88815,16.46964,2.17738,20.06792,8.05681,124.75204,89.60001,11.12352,1593.41696,1259.13654,159.31069,92.86809,25.80071,32.857,325.55917,1706.77784,645.05163,81.23638,303.76859,300.38478,779.93275,157.04009,313.64256,66.658,20.66169,10.41484,7571.37804,179.9234,769.90695
2007,17067.74793,1288.7545,1478.97396,113.55289,53.51287,36.49575,0.01322,68.94289,38.32149,92.75057,152.5354,129.27433,13.50506,2.39607,34.37151,8.31845,81.57991,88.99657,5.50813,1072.51635,880.97907,154.5996,99.61107,27.25243,56.02868,251.61605,1396.1414,500.42303,76.81376,339.91631,283.6423,725.94986,151.98474,262.11359,40.66915,25.90759,4.73422,6129.36596,192.69545,706.98375
