年份,国有控股工业企业流动资产合计,煤炭开采和洗选业国有控股工业企业流动资产合计,石油和天然气开采业国有控股工业企业流动资产合计,黑色金属矿采选业国有控股工业企业流动资产合计,有色金属矿采选业国有控股工业企业流动资产合计,非金属矿采选业国有控股工业企业流动资产合计,其他采矿业国有控股工业企业流动资产合计,农副食品加工业国有控股工业企业流动资产合计,食品制造业国有控股工业企业流动资产合计,饮料制造业国有控股工业企业流动资产合计,烟草制品业国有控股工业企业流动资产合计,纺织业国有控股工业企业流动资产合计,纺织服装、鞋、帽制造业国有控股工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业流动资产合计,家具制造业国有控股工业企业流动资产合计,造纸及纸制品业国有控股工业企业流动资产合计,印刷业和记录媒介的复制国有控股工业企业流动资产合计,文教体育用品制造业国有控股工业企业流动资产合计,石油加工、炼焦及核燃料加工业国有控股工业企业流动资产合计,化学原料及化学制品制造业国有控股工业企业流动资产合计,医药制造业国有控股工业企业流动资产合计,化学纤维制造业国有控股工业企业流动资产合计,橡胶制品业国有控股工业企业流动资产合计,塑料制品业国有控股工业企业流动资产合计,非金属矿物制品业国有控股工业企业流动资产合计,黑色金属冶炼及压延加工业国有控股工业企业流动资产合计,有色金属冶炼及压延加工业国有控股工业企业流动资产合计,金属制品业国有控股工业企业流动资产合计,通用设备制造业国有控股工业企业流动资产合计,专用设备制造业国有控股工业企业流动资产合计,交通运输设备制造业国有控股工业企业流动资产合计,电气机械及器材制造业国有控股工业企业流动资产合计,通信设备、计算机及其他电子设备制造国有控股工业企业流动资产合计,仪器仪表及文化、办公用机械制造业国有控股工业企业流动资产合计,工艺品及其他制造业国有控股工业企业流动资产合计,废弃资源和废旧材料回收加工业国有控股工业企业流动资产合计,电力、热力的生产和供应业国有控股工业企业流动资产合计,燃气生产和供应业国有控股工业企业流动资产合计,水的生产和供应业国有控股工业企业流动资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,106550.42,10773.00129,4179.63199,1156.41936,632.08365,289.51154,,1097.4628,420.91707,1593.8354,4201.74235,469.55712,118.0143,21.66705,94.02934,41.54929,525.13791,279.27279,25.87675,4796.89265,4706.80317,1466.29476,277.21887,426.06305,250.31332,2360.00085,10961.91355,5011.80857,857.97732,4555.62188,4851.37116,17516.63594,4068.99533,4995.43396,750.719,474.25619,59.07602,10584.0337,617.9878,1041.29518
2010,90810.23,8557.26971,3360.12758,1076.75183,502.22041,216.24447,0.72226,899.10076,429.99644,1188.248,3685.4604,449.01249,119.06827,12.18477,84.88731,45.43974,594.50918,282.59315,27.20503,3566.13874,4072.94259,1270.7528,252.59327,367.9169,251.00557,1874.26115,9396.31567,4089.81897,722.13858,4287.24678,4363.14429,16326.51242,3117.06321,3870.87933,593.95044,285.24667,47.96893,9028.30804,506.61852,988.36149
2009,74113.99,6675.92506,2653.59905,410.83886,431.24138,189.71255,0.11469,539.7828,359.29362,975.98931,3279.65444,376.69603,104.93079,20.17284,73.85052,32.92126,493.02254,248.61732,24.48116,2693.09713,3590.76678,986.66138,221.31277,308.15624,207.66174,1445.52209,8811.25141,3250.88367,570.66874,4040.21982,3524.53279,12121.77391,2286.44822,3089.88907,531.50758,222.40123,79.32187,7140.61147,1243.15392,857.30884
2008,65493.98,5655.35364,2277.8098,417.64571,400.93384,152.86452,0.11243,494.84388,328.05276,833.15091,2923.1902,422.74142,98.87286,39.48044,82.26094,23.46778,425.49263,223.99222,32.13045,2963.44008,3430.37151,920.66165,262.5353,306.11659,242.26914,1399.55736,7781.013,2864.47633,475.3608,3549.42399,3001.39816,9404.13344,1904.65284,2837.26299,462.92051,166.75295,66.23614,7436.03723,409.65189,777.31215
2007,54997.45,3818.85489,1985.38178,290.94813,405.49864,126.61292,0.11263,447.36144,407.09625,751.83234,2423.91064,526.14241,93.3621,19.28765,79.90932,28.09271,302.16404,213.46221,29.34494,2424.29654,3149.37414,905.06177,317.63175,234.92459,170.59787,1097.8104,6803.69746,2418.19086,446.33396,3031.78451,2142.31438,8473.84222,1637.18079,2067.31228,352.52162,178.63346,15.29334,6212.8506,293.47949,674.94584
