年份,国有控股工业企业营业利润,煤炭开采和洗选业国有控股工业企业营业利润,石油和天然气开采业国有控股工业企业营业利润,黑色金属矿采选业国有控股工业企业营业利润,有色金属矿采选业国有控股工业企业营业利润,非金属矿采选业国有控股工业企业营业利润,其他采矿业国有控股工业企业营业利润,农副食品加工业国有控股工业企业营业利润,食品制造业国有控股工业企业营业利润,饮料制造业国有控股工业企业营业利润,烟草制品业国有控股工业企业营业利润,纺织业国有控股工业企业营业利润,纺织服装、鞋、帽制造业国有控股工业企业营业利润,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业营业利润,木材加工及木、竹、藤、棕、草制品业国有控股工业企业营业利润,家具制造业国有控股工业企业营业利润,造纸及纸制品业国有控股工业企业营业利润,印刷业和记录媒介的复制国有控股工业企业营业利润,文教体育用品制造业国有控股工业企业营业利润,石油加工、炼焦及核燃料加工业国有控股工业企业营业利润,化学原料及化学制品制造业国有控股工业企业营业利润,医药制造业国有控股工业企业营业利润,化学纤维制造业国有控股工业企业营业利润,橡胶制品业国有控股工业企业营业利润,塑料制品业国有控股工业企业营业利润,非金属矿物制品业国有控股工业企业营业利润,黑色金属冶炼及压延加工业国有控股工业企业营业利润,有色金属冶炼及压延加工业国有控股工业企业营业利润,金属制品业国有控股工业企业营业利润,通用设备制造业国有控股工业企业营业利润,专用设备制造业国有控股工业企业营业利润,交通运输设备制造业国有控股工业企业营业利润,电气机械及器材制造业国有控股工业企业营业利润,通信设备、计算机及其他电子设备制造国有控股工业企业营业利润,仪器仪表及文化、办公用机械制造业国有控股工业企业营业利润,工艺品及其他制造业国有控股工业企业营业利润,废弃资源和废旧材料回收加工业国有控股工业企业营业利润,电力、热力的生产和供应业国有控股工业企业营业利润,燃气生产和供应业国有控股工业企业营业利润,水的生产和供应业国有控股工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,16282.3349,2495.47266,3857.26762,201.41226,298.02639,57.48709,,120.98451,40.72448,416.08714,852.39584,26.32046,9.53252,3.12489,6.55635,12.11117,20.35506,53.90954,2.61077,-112.98018,541.08722,234.55549,24.67071,14.36398,22.98483,458.29056,416.45443,627.93228,102.03265,332.76233,377.50523,2561.86881,190.71184,246.04819,79.9254,19.40289,4.63555,1581.52541,100.82427,-16.64574
2010,14963.68082,2013.06962,2893.25202,132.45304,196.19574,31.50124,0.24921,104.64997,54.53553,278.39355,734.53883,19.08875,8.12133,2.25356,8.45493,10.42335,39.02271,49.94804,2.90226,788.18306,432.16523,214.07222,34.09927,26.17333,24.9384,295.19382,607.99721,542.29841,82.67334,319.0691,325.60313,2350.25116,227.08022,289.93536,62.2189,22.88797,5.68828,1693.9098,70.63304,-30.44411
2009,9357.82358,1247.78493,1798.56774,54.9382,94.87581,19.05662,0.0003,61.90143,39.72854,217.56366,686.48676,2.25553,7.95286,1.77277,2.44668,6.26078,22.66818,40.54557,1.47748,635.20201,168.79807,156.26207,17.47056,30.22337,14.9342,176.30011,395.4671,209.83233,52.19894,262.86757,234.60549,1387.48732,175.08555,108.88199,45.69876,9.49893,16.74415,946.76883,42.4534,-35.24101
2008,8991.61593,1450.77274,4467.23111,173.8747,122.67616,26.50382,0.00021,46.34558,21.55244,178.72279,692.71814,-3.59865,7.11103,4.80353,2.77333,5.82206,31.73522,34.40931,0.86655,-1487.40639,187.52929,129.67251,-31.82211,-0.48112,15.71248,106.13143,407.43409,269.13079,43.1592,253.62939,164.44156,901.32976,132.73788,144.96027,33.67587,7.93969,12.16103,447.95779,16.63162,-27.22917
2007,10251.06485,674.04753,3494.69413,63.46332,159.72752,17.43564,0.00025,66.41706,19.20282,137.98817,615.60055,12.21997,6.07245,1.38983,4.81766,4.67546,24.87999,27.60526,1.2551,-37.70921,506.30283,95.34249,15.52367,12.74477,8.8073,73.72632,953.82152,551.26022,35.21788,221.59232,134.62174,740.02008,99.40181,53.92087,25.92498,6.4277,2.07159,1424.09022,13.12164,-16.6586
