年份,国有控股工业企业个人资本金,煤炭开采和洗选业国有控股工业企业个人资本金,石油和天然气开采业国有控股工业企业个人资本金,黑色金属矿采选业国有控股工业企业个人资本金,有色金属矿采选业国有控股工业企业个人资本金,非金属矿采选业国有控股工业企业个人资本金,其他采矿业国有控股工业企业个人资本金,农副食品加工业国有控股工业企业个人资本金,食品制造业国有控股工业企业个人资本金,饮料制造业国有控股工业企业个人资本金,烟草制品业国有控股工业企业个人资本金,纺织业国有控股工业企业个人资本金,纺织服装、鞋、帽制造业国有控股工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业个人资本金,家具制造业国有控股工业企业个人资本金,造纸及纸制品业国有控股工业企业个人资本金,印刷业和记录媒介的复制国有控股工业企业个人资本金,文教体育用品制造业国有控股工业企业个人资本金,石油加工、炼焦及核燃料加工业国有控股工业企业个人资本金,化学原料及化学制品制造业国有控股工业企业个人资本金,医药制造业国有控股工业企业个人资本金,化学纤维制造业国有控股工业企业个人资本金,橡胶制品业国有控股工业企业个人资本金,塑料制品业国有控股工业企业个人资本金,非金属矿物制品业国有控股工业企业个人资本金,黑色金属冶炼及压延加工业国有控股工业企业个人资本金,有色金属冶炼及压延加工业国有控股工业企业个人资本金,金属制品业国有控股工业企业个人资本金,通用设备制造业国有控股工业企业个人资本金,专用设备制造业国有控股工业企业个人资本金,交通运输设备制造业国有控股工业企业个人资本金,电气机械及器材制造业国有控股工业企业个人资本金,通信设备、计算机及其他电子设备制造国有控股工业企业个人资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业个人资本金,工艺品及其他制造业国有控股工业企业个人资本金,废弃资源和废旧材料回收加工业国有控股工业企业个人资本金,电力、热力的生产和供应业国有控股工业企业个人资本金,燃气生产和供应业国有控股工业企业个人资本金,水的生产和供应业国有控股工业企业个人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1563.84629,87.79084,1.22349,16.96115,6.62158,6.97011,,22.60458,17.48016,54.46169,0.10001,27.31395,0.41448,0.16128,5.8781,0.33795,21.888,7.44636,0.178,30.47734,131.1771,85.32189,6.68658,12.24147,12.32325,59.0155,189.46598,52.43174,15.90724,49.27624,97.8732,150.75533,44.76221,126.74023,21.53697,3.92896,0.64,166.30922,15.03177,14.11234
2010,1356.49423,75.25138,0.28833,6.78857,2.61691,2.66345,,21.72441,11.54649,53.3234,5.59482,21.48336,0.87067,0.085,5.27189,0.21048,22.8722,7.70932,0.72864,32.26725,113.89783,66.05242,1.32798,10.45429,13.62586,80.81663,119.07313,54.51096,14.32847,40.5178,104.02953,117.88221,35.8853,114.92474,12.15601,3.71505,0.48923,166.75405,5.21409,9.54208
2009,1254.80995,45.89103,0.72399,4.5948,6.63652,3.62884,,21.04839,14.00193,36.54808,0.03136,19.86141,0.77501,0.21789,10.1863,0.18823,16.32587,8.92814,0.36682,22.80904,122.34375,64.69241,13.41842,9.78356,10.81253,64.82243,141.03059,43.09741,11.35768,47.21103,48.37776,126.90723,44.43676,104.49514,12.92474,2.6298,0.1303,161.55378,5.8127,6.20828
2008,1190.89239,47.41593,0.77975,5.8962,3.45881,2.8733,,16.16983,19.57922,40.94881,0.0091,21.84609,1.35727,0.0748,3.86313,0.11426,28.85183,5.85404,0.21942,44.2228,111.02162,69.15989,13.69442,9.92306,13.78565,45.24945,140.44546,49.70287,8.28781,32.43102,41.64128,140.49692,26.20116,73.19808,13.29768,0.90829,0.1295,150.48676,2.42264,4.87424
2007,875.94584,36.85356,9.0252,2.70638,10.04134,1.0497,,14.05762,7.37338,24.55967,0.0591,21.85032,2.21545,0.22587,3.87871,0.38918,18.07863,4.19076,0.6947,21.61356,75.56508,56.64737,8.91745,6.61308,4.02831,41.49775,91.42554,35.13847,8.58436,33.29066,33.76293,96.54946,25.94151,66.08545,9.52228,0.62122,0.0245,95.44103,2.85908,4.56718
2006,714.35,22.4,7.59,3.25,2.93,0.81,0.0,12.83,14.81,23.56,0.01,22.01,2.08,0.14,4.45,0.22,16.6,4.65,0.33,15.09,60.33,54.12,6.14,6.72,5.61,32.05,62.99,40.45,10.91,31.96,21.01,68.24,20.01,51.61,7.45,0.89,0.04,73.42,2.18,4.44
