年份,国有控股工业企业港澳台资本金,煤炭开采和洗选业国有控股工业企业港澳台资本金,石油和天然气开采业国有控股工业企业港澳台资本金,黑色金属矿采选业国有控股工业企业港澳台资本金,有色金属矿采选业国有控股工业企业港澳台资本金,非金属矿采选业国有控股工业企业港澳台资本金,其他采矿业国有控股工业企业港澳台资本金,农副食品加工业国有控股工业企业港澳台资本金,食品制造业国有控股工业企业港澳台资本金,饮料制造业国有控股工业企业港澳台资本金,烟草制品业国有控股工业企业港澳台资本金,纺织业国有控股工业企业港澳台资本金,纺织服装、鞋、帽制造业国有控股工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业港澳台资本金,家具制造业国有控股工业企业港澳台资本金,造纸及纸制品业国有控股工业企业港澳台资本金,印刷业和记录媒介的复制国有控股工业企业港澳台资本金,文教体育用品制造业国有控股工业企业港澳台资本金,石油加工、炼焦及核燃料加工业国有控股工业企业港澳台资本金,化学原料及化学制品制造业国有控股工业企业港澳台资本金,医药制造业国有控股工业企业港澳台资本金,化学纤维制造业国有控股工业企业港澳台资本金,橡胶制品业国有控股工业企业港澳台资本金,塑料制品业国有控股工业企业港澳台资本金,非金属矿物制品业国有控股工业企业港澳台资本金,黑色金属冶炼及压延加工业国有控股工业企业港澳台资本金,有色金属冶炼及压延加工业国有控股工业企业港澳台资本金,金属制品业国有控股工业企业港澳台资本金,通用设备制造业国有控股工业企业港澳台资本金,专用设备制造业国有控股工业企业港澳台资本金,交通运输设备制造业国有控股工业企业港澳台资本金,电气机械及器材制造业国有控股工业企业港澳台资本金,通信设备、计算机及其他电子设备制造国有控股工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业港澳台资本金,工艺品及其他制造业国有控股工业企业港澳台资本金,废弃资源和废旧材料回收加工业国有控股工业企业港澳台资本金,电力、热力的生产和供应业国有控股工业企业港澳台资本金,燃气生产和供应业国有控股工业企业港澳台资本金,水的生产和供应业国有控股工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,389.69249,3.02018,,,1.98159,0.57123,,5.67288,2.10279,2.59972,0.97607,2.36441,0.71659,0.0095,1.10569,1.45385,8.13465,2.65312,0.31369,26.08609,17.74673,5.23225,0.43831,4.76824,1.71597,7.11188,31.85755,11.78462,5.8232,12.80131,6.13873,63.92728,5.72817,17.03473,1.16222,0.0496,,86.91333,20.92847,28.76785
2010,422.08495,3.0,,,,0.59194,,7.69243,4.83148,1.72898,0.90155,4.43628,0.53179,0.02546,1.18107,1.50712,8.42114,3.74668,0.2322,24.90492,18.51361,4.52848,2.47479,1.75074,2.91502,11.38093,35.97503,9.50035,14.13964,5.06379,7.25433,63.94303,6.01284,13.72793,1.33528,0.1254,0.4,115.06824,21.91382,22.32866
2009,435.36229,3.02925,1.77,,0.01717,0.72174,,2.95788,5.17292,2.91309,0.90155,6.57974,0.21922,0.03608,1.00107,1.55798,9.272,3.65974,0.22939,27.12826,17.94794,3.60228,0.88968,1.61943,3.02846,7.58842,37.52125,6.9636,8.514,38.99725,6.53183,65.11086,6.9574,17.89318,1.64308,1.40388,1.3591,104.35905,13.42295,22.84157
2008,358.97541,,,,1.6125,0.13954,,5.18897,6.71466,4.315,0.85599,5.07172,0.51535,0.13024,1.33092,1.20291,6.45805,4.30781,0.22443,25.42291,18.2807,4.53534,0.7464,0.32537,4.59152,10.9643,36.85133,5.95714,5.18429,4.53649,3.95383,47.35144,3.94699,13.87906,6.06874,0.1098,0.91101,96.32751,17.81253,13.15062
2007,355.22303,0.06394,25.15531,,,0.15231,,12.1466,5.1695,4.92644,1.40163,8.2614,0.56632,0.03725,1.56649,0.2153,0.81338,4.99645,0.40599,25.48725,16.9799,14.04955,15.03873,2.87339,2.74325,6.81757,35.31212,9.03246,6.62497,7.45101,6.85243,22.10547,3.70499,9.90742,1.82188,0.16485,0.2,74.26484,11.45809,16.45455
