年份,国有控股工业企业负债合计,煤炭开采和洗选业国有控股工业企业负债合计,石油和天然气开采业国有控股工业企业负债合计,黑色金属矿采选业国有控股工业企业负债合计,有色金属矿采选业国有控股工业企业负债合计,非金属矿采选业国有控股工业企业负债合计,其他采矿业国有控股工业企业负债合计,农副食品加工业国有控股工业企业负债合计,食品制造业国有控股工业企业负债合计,饮料制造业国有控股工业企业负债合计,烟草制品业国有控股工业企业负债合计,纺织业国有控股工业企业负债合计,纺织服装、鞋、帽制造业国有控股工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业负债合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业负债合计,家具制造业国有控股工业企业负债合计,造纸及纸制品业国有控股工业企业负债合计,印刷业和记录媒介的复制国有控股工业企业负债合计,文教体育用品制造业国有控股工业企业负债合计,石油加工、炼焦及核燃料加工业国有控股工业企业负债合计,化学原料及化学制品制造业国有控股工业企业负债合计,医药制造业国有控股工业企业负债合计,化学纤维制造业国有控股工业企业负债合计,橡胶制品业国有控股工业企业负债合计,塑料制品业国有控股工业企业负债合计,非金属矿物制品业国有控股工业企业负债合计,黑色金属冶炼及压延加工业国有控股工业企业负债合计,有色金属冶炼及压延加工业国有控股工业企业负债合计,金属制品业国有控股工业企业负债合计,通用设备制造业国有控股工业企业负债合计,专用设备制造业国有控股工业企业负债合计,交通运输设备制造业国有控股工业企业负债合计,电气机械及器材制造业国有控股工业企业负债合计,通信设备、计算机及其他电子设备制造国有控股工业企业负债合计,仪器仪表及文化、办公用机械制造业国有控股工业企业负债合计,工艺品及其他制造业国有控股工业企业负债合计,废弃资源和废旧材料回收加工业国有控股工业企业负债合计,电力、热力的生产和供应业国有控股工业企业负债合计,燃气生产和供应业国有控股工业企业负债合计,水的生产和供应业国有控股工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,172289.91,16447.67135,8499.44822,1925.27103,858.15742,336.61257,,1182.41288,525.12704,1158.21025,1470.4807,616.44234,110.49009,12.25773,132.87172,41.00121,835.89132,222.90561,21.60259,6614.20013,7879.08644,1224.46174,389.86867,555.81863,272.81181,3536.9727,19075.53268,6643.85256,859.0938,4397.59213,4586.98842,18430.95912,3858.48205,4512.30062,563.99149,529.88409,61.43856,50445.4891,1080.89001,2373.33922
2010,149432.08,13100.85841,6947.42072,1423.71534,679.75393,256.50894,0.92123,993.18313,567.24315,907.18249,1298.99566,610.96248,109.10913,15.78907,120.53934,46.46323,936.15956,235.68411,21.29297,5335.47562,7132.27245,1082.69553,349.93055,487.60364,297.01014,2928.53837,17123.80665,5489.77002,713.9104,4010.035,4164.45224,16947.30403,3018.43056,3404.69543,486.0921,286.21051,49.26464,44704.04338,896.86454,2251.88716
2009,130098.87,11036.81894,6480.51253,479.28698,519.90863,236.52096,0.10815,672.57323,468.49713,741.30045,1162.37243,549.60356,104.01287,24.13443,111.68313,35.13525,945.0681,230.12217,21.44328,4919.19919,6330.86321,918.49432,327.51675,419.34194,258.92307,2294.04978,15618.43205,4464.10415,595.91357,4035.8172,3613.92118,13477.94453,2313.65909,2921.6145,413.77759,238.40769,93.33263,39497.82127,1577.46545,1949.1707
2008,111374.72,8971.48972,4824.55063,486.31482,447.79837,209.2622,0.10627,620.16898,446.88181,687.08936,1025.11397,636.36566,96.81127,20.67525,115.7331,28.03154,797.50336,214.91797,30.07881,4480.77324,5373.25301,872.67636,376.65865,431.14261,315.17168,2241.2594,13073.55706,3671.44246,491.59742,3639.24257,3154.77421,10367.27141,1843.53717,2786.27325,360.03846,209.05432,76.69864,35458.769,705.83861,1786.79521
2007,89372.34,6925.10791,3728.19024,320.77999,401.42539,173.19652,0.10679,569.21521,427.32506,670.93263,922.6316,802.57453,96.84248,19.62837,120.89779,36.28838,558.26174,247.02377,27.21483,3219.52958,4630.87566,936.49324,422.00007,331.60991,246.6926,1761.74982,10351.58367,3055.41944,463.70969,3004.33382,2282.73062,9161.59531,1632.9209,2038.70136,342.87299,212.98863,15.69148,27244.46675,556.68592,1412.04818
