年份,国有控股工业企业固定资产合计,煤炭开采和洗选业国有控股工业企业固定资产合计,石油和天然气开采业国有控股工业企业固定资产合计,黑色金属矿采选业国有控股工业企业固定资产合计,有色金属矿采选业国有控股工业企业固定资产合计,非金属矿采选业国有控股工业企业固定资产合计,其他采矿业国有控股工业企业固定资产合计,农副食品加工业国有控股工业企业固定资产合计,食品制造业国有控股工业企业固定资产合计,饮料制造业国有控股工业企业固定资产合计,烟草制品业国有控股工业企业固定资产合计,纺织业国有控股工业企业固定资产合计,纺织服装、鞋、帽制造业国有控股工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业固定资产合计,家具制造业国有控股工业企业固定资产合计,造纸及纸制品业国有控股工业企业固定资产合计,印刷业和记录媒介的复制国有控股工业企业固定资产合计,文教体育用品制造业国有控股工业企业固定资产合计,石油加工、炼焦及核燃料加工业国有控股工业企业固定资产合计,化学原料及化学制品制造业国有控股工业企业固定资产合计,医药制造业国有控股工业企业固定资产合计,化学纤维制造业国有控股工业企业固定资产合计,橡胶制品业国有控股工业企业固定资产合计,塑料制品业国有控股工业企业固定资产合计,非金属矿物制品业国有控股工业企业固定资产合计,黑色金属冶炼及压延加工业国有控股工业企业固定资产合计,有色金属冶炼及压延加工业国有控股工业企业固定资产合计,金属制品业国有控股工业企业固定资产合计,通用设备制造业国有控股工业企业固定资产合计,专用设备制造业国有控股工业企业固定资产合计,交通运输设备制造业国有控股工业企业固定资产合计,电气机械及器材制造业国有控股工业企业固定资产合计,通信设备、计算机及其他电子设备制造国有控股工业企业固定资产合计,仪器仪表及文化、办公用机械制造业国有控股工业企业固定资产合计,工艺品及其他制造业国有控股工业企业固定资产合计,废弃资源和废旧材料回收加工业国有控股工业企业固定资产合计,电力、热力的生产和供应业国有控股工业企业固定资产合计,燃气生产和供应业国有控股工业企业固定资产合计,水的生产和供应业国有控股工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,124261.70685,10933.70077,11944.03077,889.79114,582.98481,221.9545,,409.93135,256.2657,624.90543,1404.02492,370.6216,36.51242,5.32437,77.41546,14.92948,677.13891,221.25955,10.21333,5229.7081,6151.77173,650.6754,245.24881,263.3341,178.65313,2589.66233,11315.92477,3646.3615,362.71649,1418.03306,1591.26507,6942.8357,958.75824,1622.5045,221.09355,194.57235,16.73475,48496.82196,869.65038,2614.37642
2010,117288.81062,9313.28841,10341.8799,904.23365,538.24151,187.05195,,446.88993,312.68623,619.95406,1233.3262,357.97278,36.16237,11.1072,77.39991,15.11843,727.99431,256.05201,10.26487,4962.91229,6071.55889,675.78693,246.1704,267.22952,131.20969,2297.53189,12067.74484,3519.32537,341.02015,1253.33639,1476.40001,6463.02547,906.01721,1296.68279,251.88611,104.92476,10.25283,46050.44631,808.8173,2696.90775
2009,107763.55461,7723.25233,10855.72434,410.39097,389.77283,178.60862,0.01299,394.55259,247.65199,505.34526,965.38163,352.07672,37.7674,11.83038,76.26106,11.32976,656.46459,255.9333,10.13618,4466.42679,5775.5333,586.77324,236.12157,229.38588,144.65105,1799.66544,11293.92664,3033.92382,315.68168,1303.41368,1349.951,5763.67137,731.61603,1327.54411,177.71455,92.98143,60.45181,42832.27844,721.04566,2438.30418
2008,91883.64277,6357.14551,7865.89276,349.21181,345.20302,160.20937,0.01313,342.3349,258.4063,498.38249,852.7514,393.54675,39.67737,7.33819,80.44753,11.88457,585.95749,244.32318,14.73579,3437.15655,4725.52474,646.80373,278.58821,213.92959,161.25143,1673.47441,9323.71963,2562.48944,256.4708,1189.69461,1194.5847,4749.44514,526.80988,1057.92651,169.82785,104.05734,49.14595,38328.43791,601.47998,2225.36281
2007,78792.64328,5599.77168,6902.61936,230.54112,272.51678,140.84255,0.0133,328.11156,243.23323,461.02747,1002.47608,491.05866,43.56718,8.86223,101.47754,12.05561,451.00826,243.01909,16.59412,2992.8985,4500.29473,610.95141,412.06229,164.54179,142.20589,1355.8364,8181.16565,2024.3613,224.68402,987.38159,938.6581,3905.97148,416.04575,782.07385,165.18956,109.74079,10.81847,31793.00429,565.03067,1960.93093
