年份,国有控股工业企业应收账款净额,煤炭开采和洗选业国有控股工业企业应收账款净额,石油和天然气开采业国有控股工业企业应收账款净额,黑色金属矿采选业国有控股工业企业应收账款净额,有色金属矿采选业国有控股工业企业应收账款净额,非金属矿采选业国有控股工业企业应收账款净额,其他采矿业国有控股工业企业应收账款净额,农副食品加工业国有控股工业企业应收账款净额,食品制造业国有控股工业企业应收账款净额,饮料制造业国有控股工业企业应收账款净额,烟草制品业国有控股工业企业应收账款净额,纺织业国有控股工业企业应收账款净额,纺织服装、鞋、帽制造业国有控股工业企业应收账款净额,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业应收账款净额,木材加工及木、竹、藤、棕、草制品业国有控股工业企业应收账款净额,家具制造业国有控股工业企业应收账款净额,造纸及纸制品业国有控股工业企业应收账款净额,印刷业和记录媒介的复制国有控股工业企业应收账款净额,文教体育用品制造业国有控股工业企业应收账款净额,石油加工、炼焦及核燃料加工业国有控股工业企业应收账款净额,化学原料及化学制品制造业国有控股工业企业应收账款净额,医药制造业国有控股工业企业应收账款净额,化学纤维制造业国有控股工业企业应收账款净额,橡胶制品业国有控股工业企业应收账款净额,塑料制品业国有控股工业企业应收账款净额,非金属矿物制品业国有控股工业企业应收账款净额,黑色金属冶炼及压延加工业国有控股工业企业应收账款净额,有色金属冶炼及压延加工业国有控股工业企业应收账款净额,金属制品业国有控股工业企业应收账款净额,通用设备制造业国有控股工业企业应收账款净额,专用设备制造业国有控股工业企业应收账款净额,交通运输设备制造业国有控股工业企业应收账款净额,电气机械及器材制造业国有控股工业企业应收账款净额,通信设备、计算机及其他电子设备制造国有控股工业企业应收账款净额,仪器仪表及文化、办公用机械制造业国有控股工业企业应收账款净额,工艺品及其他制造业国有控股工业企业应收账款净额,废弃资源和废旧材料回收加工业国有控股工业企业应收账款净额,电力、热力的生产和供应业国有控股工业企业应收账款净额,燃气生产和供应业国有控股工业企业应收账款净额,水的生产和供应业国有控股工业企业应收账款净额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,15432.81653,1032.34062,457.62454,173.43677,79.07889,34.14567,,81.91377,85.30965,92.24862,262.71835,52.35114,12.10651,0.75651,14.91003,16.84575,81.77848,56.90523,6.15369,343.06819,447.06469,244.14809,34.30293,74.40302,45.22912,530.75352,612.86578,397.79543,209.88338,1220.31397,1374.96251,2689.5883,1219.38749,1094.65154,229.32742,67.78903,24.53756,1859.94602,59.59897,112.57535
2010,13054.17579,1052.6032,370.11048,139.81773,73.48679,25.78938,0.4191,83.83774,85.56285,87.22255,241.32836,44.38367,9.68467,1.23818,11.11759,19.14584,82.83658,55.4731,5.38071,353.14768,433.07188,225.48306,29.06254,63.03751,40.37414,408.41891,638.50554,311.15643,185.08094,1049.43749,1151.04071,2148.50981,819.02518,839.34432,179.78625,44.33173,18.5226,1562.27568,52.39128,112.73359
2009,11705.09575,775.34787,486.61698,66.38818,62.46772,27.09496,-0.005,59.98347,83.43278,76.71325,215.93968,49.62048,15.63084,1.28506,8.82827,15.39804,76.24329,52.01669,5.7219,246.4387,371.90927,189.73396,20.54685,53.90254,46.09463,313.46779,596.48315,243.11617,127.41706,936.45524,891.44347,1800.20448,572.18281,751.41101,146.77378,45.84703,11.6335,1413.13872,751.23439,96.93674
2008,9660.67676,604.66267,466.55887,68.10752,53.63549,29.0861,0.00123,57.02147,86.65383,59.09982,133.03887,61.05301,13.95379,3.8999,10.17539,7.84106,84.53077,47.50805,8.47622,250.63127,329.50419,198.1228,28.50194,62.88921,47.46324,289.80475,572.01417,270.01593,103.87403,836.69652,744.5436,1280.85149,457.27741,838.87487,122.04349,44.12571,8.88005,1234.76313,46.20761,98.28729
2007,8536.22081,529.65447,346.52321,27.04185,44.76863,26.21447,0.00757,56.46732,97.26405,59.09362,148.39255,98.20981,14.04261,1.68189,9.53522,10.00553,58.46611,47.62652,7.13009,250.17759,381.50335,203.24742,34.86984,46.36485,32.67849,271.26292,465.87109,232.48415,107.01926,715.9586,515.8614,1239.28591,455.80128,523.96447,95.69313,59.12143,2.24975,1203.46123,29.65287,87.56626
