年份,外商投资企业进出口总额,外商投资企业出口总额,外商投资企业进口总额
2019,1823836.689138,966009.566357,857827.122781
2018,1967663.703343,1035844.153693,931819.54965
2017,1839135.095727,977559.478043,861575.617684
2016,1687536.525619,916766.9037189999,770769.6219
2015,1833480.6505999998,1004614.4128,828866.2378
2014,1983557.680575,1074619.9246760001,908937.7558990001
2013,1918314.579,1043724.098,874590.48
2012,1894120.199,1022620.075,871500.124
2011,1859898.738684,995227.038013,864671.700671
2010,1600615.243279,862228.8196909999,738386.423588
2009,1217478.36,672074.09,545404.27
2008,1409921.18768,790492.702789,619428.4848910001
2007,1255163.806531,695370.76909,559793.037441
2006,1036269.486,563779.048,472490.438
2005,831700.0,444200.0,387500.0
2004,,,
2003,,,
2002,,,
2001,,,
2000,236713.9,119441.21,117272.69
