年份,对外承包工程合同数,对外承包工程合同金额,对外承包工程完成营业额,对外承包工程年末在外人数,对外劳务合作派出劳务人数,对外劳务合作年末在外人数
2019,11932,2602.4542,17290137.0,368063,276012,624077
2018,10985,2418.0445,16904403.0,390719,265000,606102
2017,22774,2652.7599,16858661.0,376827,300249,602342
2016,19157,2440.1009,15941749.0,372880,264009,595976
2015,8662,2100.7431,15407423.0,408565,276800,618295
2014,7740,1917.564,14241066.0,408851,292570,596881
2013,11578,1716.2946,13714273.0,370144,255674,482611
2012,6710,1565.2922,11659697.0,344618,278380,505563
2011,6381,1423.32,10342400.0,324000,209065,488409
2010,9544,1343.6696,9217000.0,376510,186800,470095
2009,7280,1262.0961,7770600.0,326861,180091,450277
2008,5411,1045.6216,5661200.0,271613,224859,467110
2007,6282,776.2076,4064300.0,236002,214869,505100
2006,12996,660.045,2999300.0,198598,214807,475200
2005,9502,296.14,2176300.0,144800,183402,418700
2004,6694,238.44,1746800.0,114700,173040,419400
2003,3708,176.67,1383700.0,94000,,429700
2002,4036,150.55,1119400.0,78500,,410400
2001,5836,130.39,889900.0,60000,,414700
2000,2597,117.19,837900.0,55600,,369300
