年份,进出口总额(人民币),出口总额(人民币),进口总额(人民币),进出口差额(人民币),进出口总额(美元),出口总额(美元),进口总额(美元),进出口差额(美元)
2019,315627.31745358,172373.63120094,143253.68625264,29119.9449483,4577891.072384,2499482.089188,2078408.983196,421073.105992
2018,305008.13,164127.81,140880.32,23247.49,4622415.0,2486682.0,2135734.0,350948.0
2017,278099.24,153309.43,124789.81,28519.62,4107138.0,2263345.0,1843793.0,419552.0
2016,243386.4624,138419.2927,104967.1697,33452.123,3685557.412,2097631.193,1587926.219,509705.0
2015,245502.93283463,141166.8312,104336.1017,36830.72946699,3953032.7217,2273468.224113,1679564.497587,593903.7265260001
2014,264241.77,143883.75,120358.03,23525.72,4301527.0,2342293.0,1959235.0,383058.0
2013,258168.89,137131.43,121037.46,16093.98,4158993.0,2209004.0,1949989.0,259015.0
2012,244160.21,129359.25,114800.96,14558.29,3867119.0,2048714.0,1818405.0,230309.0
2011,236401.95,123240.56,113161.39,10079.16,3641864.0,1898381.0,1743484.0,154897.0
2010,201722.34,107022.84,94699.5,12323.34,2974001.0,1577754.0,1396247.0,181507.0
2009,150648.06,82029.69,68618.37,13411.32,2207535.0,1201612.0,1005923.0,195689.0
2008,179921.47,100394.94,79526.53,20868.41,2563255.0,1430693.0,1132562.0,298131.0
2007,166924.07,93627.14,73296.93,20330.2,2176175.0,1220060.0,956115.0,263944.0
2006,140974.74,77597.89,63376.86,14221.03,1760438.0,968978.0,791461.0,177517.0
2005,116921.77,62648.09,54273.68,8374.41,1421906.0,761953.0,659953.0,102001.0
2004,95539.09,49103.33,46435.76,2667.57,1154554.0,593326.0,561229.0,32097.0
2003,70483.45,36287.89,34195.56,2092.32,850988.0,438228.0,412760.0,25468.0
2002,51378.15,26947.87,24430.27,2517.6,620766.0,325596.0,295170.0,30426.0
2001,42183.62,22024.44,20159.18,1865.26,509651.0,266098.0,243553.0,22545.0
2000,39273.25,20634.44,18638.81,1995.63,474297.0,249203.0,225094.0,24109.0
