年份,实际利用外资额,实际利用外商直接投资金额,实际利用外商其他投资额
2019,13813500.0,13813500.0,
2018,13496600.0,13496600.0,
2017,13103500.0,13103500.0,
2016,12600100.0,12600100.0,
2015,12626700.0,12626700.0,0.0
2014,11970500.0,11956200.0,14400.0
2013,11872100.0,11758600.0,113400.0
2012,11329400.0,11171600.0,157800.0
2011,11769800.0,11601100.0,168700.0
2010,10882100.0,10573500.0,308600.0
2009,9180400.0,9003300.0,177100.0
2008,9525300.0,9239500.0,285800.0
2007,7833900.0,7476800.0,357200.0
2006,6987600.0,6582100.0,405500.0
2005,6380500.0,6032500.0,348000.0
2004,6407200.0,6063000.0,344300.0
2003,5614000.0,5350500.0,263500.0
2002,5501100.0,5274300.0,226800.0
2001,4967200.0,4687800.0,279400.0
2000,5935627.0,4071500.0,864100.0
