年份,人民币对美元汇率(美元=100),人民币对日元汇率(日元=100),人民币对港元汇率(港元=100),人民币对欧元汇率(欧元=100)
2019,689.85,6.3347,88.05,772.55
2018,661.74,5.989,84.43,780.16
2017,675.18,6.0244,86.64,763.03
2016,664.23,6.1243,85.58,734.26
2015,622.84,5.1543,80.34,691.41
2014,614.28,5.8196,79.22,816.51
2013,619.32,6.3323,79.845,822.19
2012,631.25,7.9037,81.376,810.67
2011,645.88,8.105,82.968,900.11
2010,676.95,7.7279,87.13,897.25
2009,683.1,7.2986,88.123,952.7
2008,694.51,6.7427,89.19,1022.27
2007,760.4,6.4632,97.459,1041.75
2006,797.18,6.857,102.62,1001.9
2005,819.17,7.4484,105.3,1019.53
2004,827.68,7.6552,106.23,1029.0
2003,827.7,7.1466,106.24,936.13
2002,827.7,6.6237,106.07,800.58
2001,827.7,6.8075,106.08,
2000,827.84,7.6864,106.18,
