年份,国内生产总值指数(1978年=100),农林牧渔业增加值指数(1978年=100),工业增加值指数(1978年=100),建筑业增加值指数(1978年=100),批发和零售业增加值指数(1978年=100),交通运输、仓储和邮政业增加值指数(1978年=100),住宿和餐饮业增加值指数(1978年=100),金融业增加值指数(1978年=100),房地产业增加值指数(1978年=100),其他行业增加值指数(1978年=100)
2019,3923.3,593.1,5944.3,5051.1,5099.7,3442.5,6397.7,10299.6,5007.2,6525.4
2018,3702.98308816976,574.469495125177,5672.5637962856,4799.45589233024,4828.95406797853,3232.57473423849,6064.77978064036,9657.63597341539,4881.33639654482,5948.82187854978
2017,3468.8439658698,554.243752255229,5346.66576871512,4578.66180710793,4526.48184595463,2985.74845042633,5684.78527067786,9216.85747260947,4717.57340626676,5356.8381618158
2016,3243.51076057958,532.399953442136,5033.43005380794,4405.55757218989,4198.3182381588,2725.31876236135,5255.8022657662,8798.10602899687,4410.8182536677,4864.94897568345
2015,3035.60911108818,514.63356976343,4762.85480808721,4090.30903451189,3899.10931862446,2549.80519188623,4879.14013588472,8394.45107160633,4054.62393718221,4431.45019564824
2014,2835.92248236003,494.606876938516,4506.4596560878,3810.7713462622,3653.41369899386,2441.29986661026,4578.47406480094,7190.80644511556,3904.39822600746,4039.60047688636
2013,2639.89045629368,474.700622222692,4221.97729762373,3475.62892163853,3313.50587568111,2283.21108852418,4311.40194630231,6506.82039261334,3823.49495991482,3705.39252629907
2012,2449.64717947209,456.616512839316,3918.88593355762,3168.94246000048,2998.2442416601,2141.88599230607,4149.41146661014,5884.92939330749,3578.50466804969,3444.89670668591
2011,2271.05722471873,436.760805434977,3624.40633922659,2887.32268853396,2718.30604805578,2018.96907559148,3897.89001468549,5376.67693456429,3429.43401085015,3183.49798294917
2010,2073.06250399569,418.949775149121,3266.88604195701,2631.40878423921,2417.04225604235,1841.09705556336,3708.33825707237,4993.0614143496,3203.08192612786,2902.57387970392
2009,1873.7706713512,401.800165703356,2901.87955175988,2311.79502609913,2109.15976960199,1681.87953761709,3426.62902804389,4582.74935365287,2988.88497299872,2686.50972336112
2008,1712.7902180873,385.649223241773,2660.13518974465,1943.54338292721,1884.86025276506,1627.0189560429,3302.58770972087,3938.99304678716,2681.80548102055,2474.58876681648
2007,1562.04251079155,365.962940239918,2418.91117397945,1774.6957132324,1626.98330474799,1515.95698462006,3013.31059664246,3514.19189182746,2665.49121391159,2225.07778115984
2006,1367.44352448045,352.751726106395,2104.36785702483,1527.37962043173,1353.39985159198,1355.91805395347,2748.93526475889,2793.53762356064,2149.06127783707,1993.90053176252
2005,1213.12272097838,335.952269510849,1863.45009139891,1302.91262325843,1132.90230038422,1232.99063321171,2442.01962043269,2257.73762784266,1862.82852373249,1798.56234043389
2004,1089.03197297926,319.244885941155,1669.06462999674,1123.17500693973,1002.33247090689,1108.75404301702,2175.31518859508,1978.22030935218,1661.38133087461,1605.76910595847
2003,989.0074991185,300.326573732644,1496.1979304105,1038.53258171159,940.558980551739,968.539695809861,1936.38384321394,1889.6367857867,1569.65122278026,1424.75220965763
2002,898.786987373659,293.003474275833,1326.98981856127,926.555992162209,855.53614061136,912.619079298392,1723.4104478894,1758.77951903585,1429.9875391585,1285.59495372482
2001,823.565550658916,284.746304953326,1205.89692749436,851.541118157525,786.259973506609,851.8987376502,1536.81677866908,1635.69175335637,1301.37162586676,1130.95614693886
2000,760.197512144611,276.991703104917,1109.20361807277,797.326378289217,720.714739351154,782.935813696741,1427.66378167031,1528.43787923104,1172.50310275887,1002.16602889548
