年份,国内生产总值指数(上年=100),农林牧渔业增加值指数(上年=100),工业增加值指数(上年=100),建筑业增加值指数(上年=100),批发和零售业增加值指数(上年=100),交通运输、仓储和邮政业增加值指数(上年=100),住宿和餐饮业增加值指数(上年=100),金融业增加值指数(上年=100),房地产业增加值指数(上年=100),其他行业增加值指数(上年=100)
2019,106,103.2,104.8,105.2,105.6,106.5,105.5,106.6,102.6,109.7
2018,106.749773832541,103.649250494507,106.095350666529,104.822240526251,106.682280683269,108.266814432305,106.684412723951,104.782307875714,103.471339525115,111.050991253641
2017,106.947200793314,104.102892697842,106.223106540841,103.929224214677,107.81654913182,109.555934948297,108.162084173255,104.759563504151,106.954608758681,110.110880681195
2016,106.848762204989,103.452239558891,105.680946756162,107.707205861907,107.673776113564,106.883410977185,107.719846517857,104.808592651828,108.784891570808,109.782323187586
2015,107.041328878707,104.049012207205,105.689502881781,107.335462111204,106.725097124869,104.444571793904,106.566949311678,116.738659782845,103.847602177823,109.700209736184
2014,107.425763656177,104.193433457622,106.738130937468,109.642641150128,110.258253223797,106.923966815011,106.194553925265,110.511832373285,102.115950640469,109.019501934417
2013,107.766150097688,103.960458913526,107.734120594599,109.677880413076,110.514874993855,106.598161467313,103.903938690961,110.567518448277,106.846163819556,107.561788982165
2012,107.863736448802,104.546128488925,108.124905619547,109.753664617567,110.298258866199,106.08810299279,106.452759081889,109.452910504551,104.346800571987,108.211053537235
2011,109.550832179031,104.251352153016,110.943763959866,109.725357224143,112.464150813264,109.661197354623,105.111501283671,107.682972196421,107.066696698449,109.678447987477
2010,110.635871064242,104.268193721559,112.578278446319,113.825350194623,114.597399916198,109.466642193165,108.221176751932,108.95340392923,107.166450200131,108.042559997605
2009,109.398725632826,104.187987810741,109.087672045661,118.9474362346,111.900060840473,103.371846490813,103.755882635847,116.343169414599,111.450475962981,108.563885821614
2008,109.650678919062,105.379310535911,109.972421408445,109.514175778747,115.850005790748,107.326195436256,109.599976630379,112.088160465785,100.612054807152,111.213584880911
2007,114.230860933364,103.745187664805,114.947164104632,116.192182316192,120.21453252224,111.802994303377,109.617372052112,125.79719214049,124.030489097746,111.594221763559
2006,112.720955665361,105.000548625555,112.928586965539,117.228092902496,119.46306853936,109.969858442603,112.568107223964,123.731721042801,115.365491265459,110.860796255831
2005,111.394591809793,105.233406800062,111.646371141575,116.002636740326,113.02659878505,111.205063104584,112.260496007011,114.129736570242,112.125283287722,112.006286193951
2004,110.113621377989,106.299246840991,111.553732034558,108.150194487749,106.567742335406,114.476881826709,112.339048697317,104.687859816859,105.843980290849,112.705149363786
2003,110.038030480222,102.499321714499,112.75127431141,112.085248004071,109.937960058546,106.127487117019,112.357671127349,107.440231440868,109.76677626883,110.824346776535
2002,109.133630790477,102.899833704202,110.041728136626,108.809307314131,108.810847485443,107.127647801859,112.141568976226,107.525119902751,109.883104159896,113.673280542709
2001,108.335733477414,102.799579107058,108.717363326816,106.799566820382,109.094476715498,108.808247463843,107.645567422819,107.017221673366,110.990889730241,112.851175786244
2000,108.490093407259,102.400514403721,109.857664580187,105.704158811076,109.417907671361,108.581884303724,109.336977124146,106.972270768722,107.105260045184,113.0932405778
