年份,内河主要港口万吨级泊位数,重庆港口万吨级泊位数,万州港口万吨级泊位数,宜昌港口万吨级泊位数,武汉港口万吨级泊位数,黄石港口万吨级泊位数,九江港口万吨级泊位数,安庆港口万吨级泊位数,池州港口万吨级泊位数,铜陵港口万吨级泊位数,芜湖港口万吨级泊位数,马鞍山港口万吨级泊位数,南京港口万吨级泊位数,镇江港口万吨级泊位数,泰州港口万吨级泊位数,扬州港口万吨级泊位数,江阴港口万吨级泊位数,常州港口万吨级泊位数,南通港口万吨级泊位数,上海(内河)港口万吨级泊位数,内河港口生产用万吨级泊位数,重庆港口生产用万吨级泊位数,万州港口生产用万吨级泊位数,宜昌港口生产用万吨级泊位数,武汉港口生产用万吨级泊位数,黄石港口生产用万吨级泊位数,九江港口生产用万吨级泊位数,安庆港口生产用万吨级泊位数,池州港口生产用万吨级泊位数,铜陵港口生产用万吨级泊位数,芜湖港口生产用万吨级泊位数,马鞍山港口生产用万吨级泊位数,南京港口生产用万吨级泊位数,镇江港口生产用万吨级泊位数,泰州港口生产用万吨级泊位数,扬州港口生产用万吨级泊位数,江阴港口生产用万吨级泊位数,常州港口生产用万吨级泊位数,南通港口生产用万吨级泊位数,上海(内河)港口生产用万吨级泊位数
2019,444,,,,,,,,,3,12,1,63,46,62,23,39,9,59,,444,,,,,,,,,3,12,1,63,46,62,23,39,9,59,
2018,451,,,,,,,,,3,13,1,66,42,61,23,39,9,67,,437,,,,,,,,,3,13,1,62,42,61,23,39,9,57,
2017,418,,,,,,,,,3,13,1,60,42,56,23,31,9,54,,418,,,,,,,,,3,13,1,60,42,56,23,31,9,54,
2016,423,,,,,,,,,3,13,1,61,45,56,23,31,9,53,,423,,,,,,,,,3,13,1,61,45,56,23,31,9,53,
2015,416,,,,,,,,,1,13,,57,44,59,25,31,8,51,,414,,,,,,,,,1,13,,57,44,59,23,31,8,51,
2014,406,,,,,,,,,1,11,,58,44,57,23,29,8,51,,406,,,,,,,,,1,11,,58,44,57,23,29,8,51,
2013,394,,,,,,,,,1,6,,59,42,56,21,29,8,50,,394,,,,,,,,,1,6,,59,42,56,21,29,8,50,
2012,369,,,,,,,,,1,3,,56,36,56,16,29,7,49,,369,,,,,,,,,1,3,,56,36,56,16,29,7,49,
2011,340,,,,,,,,,,3,,52,35,51,13,27,5,47,,340,,,,,,,,,,3,,52,35,51,13,27,5,47,
2010,318,,,,,,,,,,3,,49,32,44,9,27,5,45,,318,,,,,,,,,,3,,49,32,44,9,27,5,45,
2009,293,,,,,,,,,,3,,44,28,35,9,27,5,42,,293,,,,,,,,,,3,,44,28,35,9,27,5,42,
2008,259,,,,,,,,,,3,,43,27,8,5,27,6,36,,259,,,,,,,,,,3,,43,27,8,5,27,6,36,
2007,250,,,,,,,,,,,,42,28,14,5,27,6,33,,250,,,,,,,,,,,,42,28,14,5,27,6,33,
2006,225,,,,,,,,,,,,37,28,10,5,27,5,29,,225,,,,,,,,,,,,37,28,10,5,27,5,29,
2005,186,,,,,,,,,,,,32,23,8,4,23,3,24,,186,,,,,,,,,,,,32,23,8,4,23,3,24,
2004,150,,,,,,,,,,,,32,21,5,4,14,2,23,,150,,,,,,,,,,,,32,21,5,4,14,2,23,
2003,121,,,,,,,,,,,,17,10,6,3,11,1,30,,121,,,,,,,,,,,,17,10,6,3,11,1,30,
2002,62,,,,,,,,,,,,15,8,3,3,2,2,10,,62,,,,,,,,,,,,15,8,3,3,2,2,10,
2001,59,,,,,,,,,,2,,14,8,3,3,2,1,9,,59,,,,,,,,,,2,,14,8,3,3,2,1,9,
2000,55,,,,,,,,,,,,14,8,3,3,2,1,9,,55,,,,,,,,,,,,14,8,3,3,2,1,9,
