年份,内河港口泊位数,重庆港口泊位数,万州港口泊位数,宜昌港口泊位数,武汉港口泊位数,黄石港口泊位数,九江港口泊位数,安庆港口泊位数,池州港口泊位数,铜陵港口泊位数,芜湖港口泊位数,马鞍山港口泊位数,南京港口泊位数,镇江港口泊位数,泰州港口泊位数,扬州港口泊位数,江阴港口泊位数,常州港口泊位数,南通港口泊位数,上海(内河)港口泊位数,内河港口生产用泊位数,重庆港口生产用泊位数,万州港口生产用泊位数,宜昌港口生产用泊位数,武汉港口生产用泊位数,黄石港口生产用泊位数,九江港口生产用泊位数,安庆港口生产用泊位数,池州港口生产用泊位数,铜陵港口生产用泊位数,芜湖港口生产用泊位数,马鞍山港口生产用泊位数,南京港口生产用泊位数,镇江港口生产用泊位数,泰州港口生产用泊位数,扬州港口生产用泊位数,江阴港口生产用泊位数,常州港口生产用泊位数,南通港口生产用泊位数,上海(内河)港口生产用泊位数,内河港口非生产用泊位数,重庆港口非生产用泊位数,万州港口非生产用泊位数,宜昌港口非生产用泊位数,武汉港口非生产用泊位数,黄石港口非生产用泊位数,九江港口非生产用泊位数,安庆港口非生产用泊位数,池州港口非生产用泊位数,铜陵港口非生产用泊位数,芜湖港口非生产用泊位数,马鞍山港口非生产用泊位数,南京港口非生产用泊位数,镇江港口非生产用泊位数,泰州港口非生产用泊位数,扬州港口非生产用泊位数,江阴港口非生产用泊位数,常州港口非生产用泊位数,南通港口非生产用泊位数,上海(内河)港口非生产用泊位数
2019,18032,968,,194,158,35,161,68,77,74,115,113,201,215,148,42,110,32,117,839,17331,632,,184,134,35,141,55,77,73,115,113,201,213,148,42,108,32,111,833,701,336,,10,24,,20,13,,1,,,,2,,,2,,6,6
2018,11148,1024,,249,162,89,176,90,86,74,124,110,236,211,161,42,111,32,114,839,10521,664,,231,135,83,146,73,86,73,124,109,226,209,161,42,109,32,108,833,627,360,,18,27,6.0,30,17,,1,,1.0,10.0,2,,,2,,6,6
2017,12120,1102,,245,231,89,167,94,90,83,138,123,231,211,154,44,98,32,111,919,11456,742,,227,199,83,137,75,90,82,138,122,221,209,154,44,96,32,105,914,664,360,,18,32,6.0,30,19,,1,,1.0,10.0,2,,,2,,6,5
2016,13616,1176,,47,231,87,189,134,105,102,148,167,246,210,165,46,101,32,108,1786,12923,813,,35,199,81,161,111,105,98,148,166,234,208,165,46,99,32,102,1770,693,363,,12,32,6.0,28,23,,4,,1.0,12.0,2,,,2,,6,16
2015,14248,1175,,47,280,143,191,168,118,69,142,161,284,209,123,49,72,28,105,1984,13532,812,,35,246,137,163,140,118,68,142,160,269,207,123,47,70,28,99,1968,716,363,,12,34,6.0,28,28,,1,,1.0,15.0,2,,2.0,2,,6,16
2014,14593,1185,,47,280,140,191,168,117,88,144,161,298,202,124,47,70,31,105,1978,13894,824,,35,246,134,163,140,117,87,144,160,281,200,124,47,68,31,99,1962,699,361,,12,34,6.0,28,28,,1,,1.0,17.0,2,,,2,,6,16
2013,14618,1236,,47,274,139,146,163,106,104,164,150,311,192,123,47,70,31,103,1856,13904,869,,35,240,133,118,135,106,103,164,149,288,190,123,47,68,31,97,1842,714,367,,12,34,6.0,28,28,,1,,1.0,23.0,2,,,2,,6,14
2012,14735,1242,,47,265,138,146,162,105,106,160,144,308,189,123,42,70,30,96,1859,14014,877,,35,231,132,118,134,105,105,160,143,285,187,123,42,68,30,90,1845,721,365,,12,34,6.0,28,28,,1,,1.0,23.0,2,,,2,,6,14
2011,14912,1244,,50,265,138,146,162,100,102,114,95,301,179,114,39,68,22,94,1919,14170,880,,39,231,132,118,134,100,101,114,94,278,177,114,39,66,22,88,1906,742,364,,11,34,6.0,28,28,,1,,1.0,23.0,2,,,2,,6,13
2010,14804,1205,,50,263,138,146,162,100,99,114,108,294,171,106,35,68,21,120,1942,14065,853,,39,229,132,118,134,100,98,114,107,271,169,105,35,66,21,115,1925,739,352,,11,34,6.0,28,28,,1,,1.0,23.0,2,1.0,,2,,5,17
2009,14719,1184,55.0,44,259,143,146,157,100,95,151,112,285,166,95,35,66,15,126,1912,13935,833,47.0,38,225,134,118,129,100,94,121,111,262,164,95,35,66,15,121,1895,784,351,8.0,6,34,9.0,28,28,,1,30.0,1.0,23.0,2,,,,,5,17
2008,9291,82,52.0,39,247,65,16,149,89,95,159,105,320,251,47,51,63,14,114,1869,8772,65,44.0,33,213,59,14,129,89,94,129,104,297,249,46,51,63,14,110,1869,519,17,8.0,6,34,6.0,2,20,,1,30.0,1.0,23.0,2,1.0,,,,4,
2007,8161,77,73.0,61,336,66,15,76,74,83,173,36,300,244,54,51,62,16,134,2150,7951,60,56.0,48,328,59,13,65,74,82,130,35,268,242,53,51,62,16,130,2150,210,17,17.0,13,8,7.0,2,11,,1,43.0,1.0,32.0,2,1.0,,,,4,
2006,7044,85,73.0,50,334,66,15,43,67,83,30,35,283,244,51,51,62,157,73,2154,6880,69,56.0,40,326,59,13,33,67,82,26,34,251,243,50,51,62,157,69,2154,164,16,17.0,10,8,7.0,2,10,,1,4.0,1.0,32.0,1,1.0,,,,4,
