年份,为生产房地产业、租赁和商务服务业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产房地产业、租赁和商务服务业部门单位最终产品，对其他服务业部门中间产品的完全消耗量
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2015,0.053935749929558,0.055139110301075,0.05353213562335,0.041174985638976,0.112162678473105,0.043799681467993,0.05236135441066,0.10141406131625,0.014105466489969,0.099873137849878,0.203299619333757,0.018290320657676,0.100258187956199,0.109916074506222,0.162550615839255,0.146710490125469,0.047045433118396
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,0.037719198525361,0.07748526402818,0.034880396223424,0.030482861363472,0.097379988084316,0.039837988685626,0.062458166220992,0.087671314229329,0.012685558629388,0.09888866618173,0.165043606240873,0.019678045393316,0.076852845671837,0.083143633321965,0.118892626195943,0.133294119450698,0.033227078969436
2011,,,,,,,,,,,,,,,,,
2010,0.041491666873437,0.084023504530267,0.034879110572334,0.042673308849236,0.095605726001654,0.057597304100106,0.055641370298749,0.118463635066202,0.014832315207462,0.096758664943947,0.191264271085425,0.014138802862379,0.076958330646819,0.083448992482499,0.079688876893278,0.072572600699716,0.040911874754743
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,0.034806573050311,0.071588962128569,0.029300512664347,0.038947785948854,0.095166071464585,0.05743373711267,0.053665254289542,0.113595474502708,0.012104898384524,0.120322731157096,0.247285262970692,0.008936158057093,0.064755863158616,0.077945660417065,0.062424154014012,0.054888540610187,0.039771583191746
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
