年份,为生产非金属矿物制品业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产非金属矿物制品业部门单位最终产品，对其他服务业部门中间产品的完全消耗量
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,0.033307747871802,0.281152144174324,0.030777566320768,0.030453286535363,0.017453974067472,0.144161424576787,0.299721870709608,,0.241464015684348,0.163079341159193,0.177265431415466,0.00251574655397,,,,,0.113911831177707
2016,,,,,,,,,,,,,,,,,
2015,0.07452319991783,0.291246636992027,0.074319354749098,0.062549537409466,0.103332718350024,0.188146958025386,0.103581741670065,0.329218373514358,0.279400523008191,0.227420218242134,0.269724681549248,0.011226091342059,0.166372752950506,0.139478322372187,0.116090606429605,0.13408622175678,0.067573633004992
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,0.04752288013159,0.364054014625885,0.043040561384185,0.042527266087883,0.087997882565702,0.187372785483668,0.11980226280364,0.275950965666039,0.264331005972342,0.213272043410463,0.199873312904735,0.008868865264265,0.123339602635323,0.091777413725701,0.068041371544388,0.098081349841579,0.046446568176446
2011,,,,,,,,,,,,,,,,,
2010,0.056724135402128,0.397696163721317,0.042533299358835,0.039649171818591,0.135006317898066,0.225378370313044,0.130360186314742,0.284608535410372,0.260181032639583,0.235437993149599,0.276289204468613,0.003324359655723,0.14208149640014,0.095034839638532,0.047047643423145,0.081407120907269,0.049184032552967
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,0.045794203870657,0.32331839416504,0.034683957598938,0.036366341577572,0.130629406221343,0.224956554101764,0.115282616899458,0.268492209879544,0.217391820369059,0.230744454133142,0.261176150805006,0.002640736348165,0.118746689856906,0.082255474802754,0.035912113108435,0.0677540200931,0.047088968375903
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
