年份,为生产金属产品制造业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产金属产品制造业部门单位最终产品，对其他服务业部门中间产品的完全消耗量
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,0.03152209009547,0.332911708976161,0.035662470572245,0.023133088533755,0.070355633300912,0.153479916555598,0.237919723633475,,0.035389391070745,0.56708980714064,0.173811708783628,0.002468125037155,,,,,0.09965163387417
2016,,,,,,,,,,,,,,,,,
2015,0.063912193961617,0.381267747151383,0.067030165264942,0.043969794276931,0.129949426587128,0.240456369669734,0.121065156477898,0.221240695340272,0.056429760540423,0.739706399487319,0.282585649401225,0.010978565038838,0.144634806950155,0.121643864372144,0.110460895607351,0.157839683841801,0.069589426611816
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,0.043156137608685,0.448619472969123,0.039610750792539,0.030892447228378,0.131530040477888,0.18437381325259,0.126663125894933,0.183352125383808,0.04546307363295,0.752444677387568,0.203368300928811,0.008470318697307,0.107876127331319,0.079373138670537,0.064544383806476,0.110966734576798,0.049203070198485
2011,,,,,,,,,,,,,,,,,
2010,0.049972237724799,0.505572428268388,0.039497322114487,0.035176681808021,0.128694732116616,0.230562414057375,0.125631999673171,0.185702228706966,0.059256520200716,0.658372910274674,0.323822152290051,0.003189522558548,0.125065262892061,0.090482457655375,0.038290351620081,0.06691718073438,0.049840977365959
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,0.043617696326585,0.391610168980995,0.03448641403253,0.034191637180328,0.144720812220859,0.224669652768674,0.135341841285904,0.177106860958388,0.043306687663933,0.757354859116641,0.314134181989103,0.002718229905731,0.115077093398961,0.083522581114189,0.03088631174042,0.058056415658932,0.048896668420493
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
