年份,为生产其他服务业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对其他服务业部门中间产品的完全消耗量
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,0.08514927097068,0.055374457989719,0.103851468561937,0.044808128370902,0.010149656100688,0.048296436678483,0.206883689977004,,0.009388415879467,0.057848856023109,0.138190303494894,0.006706459490519,,,,,0.177387005185259
2016,,,,,,,,,,,,,,,,,
2015,0.070176619423683,0.055288279438375,0.074378266349475,0.050000197977752,0.05926479887925,0.054231520745492,0.045580110414359,0.240875099687399,0.014874630812507,0.078755122240273,0.173522915175041,0.010839798694016,0.109625694248878,0.103101860739132,0.085162712130479,0.076451090858062,0.089954620190961
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,0.058428069965388,0.087417460047706,0.057923598310425,0.048820807773176,0.063367256511525,0.058668877171402,0.060284865869493,0.230264060116915,0.015888649827434,0.093182564929681,0.167179881718166,0.012833124331127,0.102030587037538,0.096533610791682,0.069533505491562,0.074040366039031,0.083792055410214
2011,,,,,,,,,,,,,,,,,
2010,0.057861307627686,0.103515430646198,0.046218191989165,0.046002617810813,0.089566953011664,0.080160009737633,0.059661737785442,0.257246386876621,0.021827998292495,0.093204016113629,0.189104825837994,0.013443985959355,0.09515090427701,0.085918526013616,0.04753542157579,0.047950817820427,0.060864698980987
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,0.05897458869005,0.099998215539765,0.04924745280842,0.050873206198332,0.115816401403557,0.096529583517758,0.069716873101551,0.257041460530007,0.022293205957324,0.114247189904442,0.231532818166227,0.015036333625387,0.093072394410328,0.097255754551662,0.051296741677589,0.051525809504008,0.078866173414255
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
