年份,中国从国别(地区)不详进口总额
2019,346185.3979
2018,39367.2
2017,37946.4
2016,102799.5
2015,115737.3
2014,154652.8717
2013,465044.8
2012,
2011,604171.3204
2010,138904.7
2009,3707.0
2008,5849.4098
2007,5942.4769
2006,4394.448
2005,1916.0
2004,3750.0
2003,1201.0
2002,88.0
2001,15.0
2000,
