年份,中国从拉丁美洲进口总额,中国从安提瓜和巴布达进口总额,中国从阿根廷进口总额,中国从阿鲁巴岛进口总额,中国从巴哈马进口总额,中国从巴巴多斯进口总额,中国从伯利兹进口总额,中国从玻利维亚进口总额,中国从博内尔进口总额,中国从巴西进口总额,中国从开曼群岛进口总额,中国从智利进口总额,中国从哥伦比亚进口总额,中国从多米尼克进口总额,中国从哥斯达黎加进口总额,中国从古巴进口总额,中国从库腊索岛进口总额,中国从多米尼加共和国进口总额,中国从厄瓜多尔进口总额,中国从法属圭亚那进口总额,中国从格林纳达进口总额,中国从瓜德罗普岛进口总额,中国从危地马拉进口总额,中国从圭亚那进口总额,中国从海地进口总额,中国从洪都拉斯进口总额,中国从牙买加进口总额,中国从马提尼克岛进口总额,中国从墨西哥进口总额,中国从蒙特塞拉特进口总额,中国从尼加拉瓜进口总额,中国从巴拿马进口总额,中国从巴拉圭进口总额,中国从秘鲁进口总额,中国从波多黎各进口总额,中国从萨巴进口总额,中国从圣卢西亚进口总额,中国从圣马丁岛进口总额,中国从圣文森特和格林纳丁斯进口总额,中国从萨尔瓦多进口总额,中国从苏里南进口总额,中国从特立尼达和多巴哥进口总额,中国从特克斯和凯科斯群岛进口总额,中国从乌拉圭进口总额,中国从委内瑞拉进口总额,中国从英属维尔京群岛进口总额,中国从圣其茨-尼维斯进口总额,中国从荷属安地列斯群岛进口总额,中国从拉美其他国家(地区)进口总额
2019,16564023.0896,6.9638,739097.9168,4.7837,7858.9114,2026.2968,15.05,32215.1302,0.0386,7996254.7047,8.2481,2622920.0573,640827.7604,47.7244,72255.8891,49271.1062,0.4865,45433.257,364222.9987,4.7811,0.2489,1.0481,19805.6204,4598.6503,449.2861,3178.68,2958.3923,24.5565,1433453.7512,0.2931,4555.4099,45202.8397,1634.7369,1519559.8724,89597.1895,0.0044,18.7561,0.594,0.1356,11331.2873,5351.3357,66916.729,0.5879,296771.399,486033.4717,34.8406,36.3338,0.9445,33.7596
2018,15839412.3,4.5,351715.4,3.4,1287.7,2127.5,25.6,32970.4,,7756951.8,12.1,2673070.9,588794.8,11.9,77722.0,48038.3,1.9,18012.5,198869.6,14.2,0.3,1.2,8657.2,4308.3,750.1,4826.8,7632.1,2.4,1400891.0,0.3,10571.9,8176.3,4016.7,1491430.2,89316.7,,5.9,0.1,23.3,16438.9,5303.2,38543.1,,255622.6,743139.6,2.6,101.7,12.2,3.1
2017,12777394.4,0.8,475422.7,0.7,2100.9,2477.1,41.3,35457.7,0.1,5885715.5,0.6,2117553.2,388543.9,71.0,79162.1,39799.0,0.7,16758.7,112773.8,20.9,1.2,1.4,10684.1,3839.1,761.0,2393.8,4808.9,5.8,1180323.9,5.3,2840.0,6202.7,3302.1,1336737.4,49633.5,,5.5,,44.2,11637.1,2623.8,18233.2,0.3,265021.7,721992.2,10.7,70.2,4.5,306.6
2016,10307122.9,3.7,511809.6,37.8,5160.3,1863.6,93.5,32608.9,,4585504.7,1.8,1860496.4,254462.9,98.5,69741.3,27375.2,0.3,13026.3,93992.2,4.6,0.9,0.9,10006.6,2825.5,638.5,2784.7,1572.5,2.3,1032473.6,0.9,1788.7,3765.4,2238.0,949080.8,67499.1,,3.8,,6.2,4583.1,2929.3,17493.7,,194810.1,556281.9,0.9,44.4,9.6,
2015,10379664.3,0.7,571747.6,0.6,2436.5,1883.0,178.6,44382.5,,4408935.8,0.1,1843896.2,354514.1,65.4,82596.0,33000.3,13.7,20801.4,123844.9,0.5,1.2,0.1,20110.4,4937.3,1046.6,3548.5,3130.9,0.6,1002751.7,0.5,3473.3,31521.2,4177.8,794992.0,88398.4,,6.9,,4.9,5376.1,5084.8,3920.7,0.2,241054.0,677771.4,0.8,33.8,15.9,6.5
2014,12705397.1634,3.8430999999999997,524694.4098,18428.427799999998,18.8072,1480.2018,727.2470999999999,49256.6431,4714.5098,5165322.4893,0.1214,2098587.5553,759889.0457,56.642399999999995,418626.8799,33301.5354,2.5294,27380.471999999998,106451.2382,0.6367,0.4997,1.7375,5139.8307,4022.1303999999996,1483.2127,16166.389799999999,3751.4336000000003,1.2281000000000002,1117341.8355,0.9073,4336.877399999999,12749.5185,5562.5086,814087.1705,100352.101,0.0079,3.3241,0.001,0.0033,1047.1972,5267.171,10073.341499999999,1.3933,262909.4168,1132005.3983,0.9005000000000001,42.3671,0.0543,105.9704
2013,12742894.8,33.9,608576.8,15.7,7.7,1268.8,838.5,27577.4,,5429912.3,26.4,2070768.5,362027.1,10.9,475805.4,50463.4,146.1,29001.1,77526.3,7.7,3.2,21.1,17393.4,2112.9,1501.0,23487.1,381.1,8.6,1023847.7,2.2,9182.2,4394.4,6067.1,840806.2,105245.3,,2.7,,,898.8,2808.9,11950.2,0.8,246641.9,1312009.7,8.8,27.6,,78.0
2012,12607264.6,7.1,656092.5,1324.3,11688.5,1044.3,778.7,32407.8,0.1,5232939.8,12.3,2062667.0,315724.8,114.6,527023.7,56916.9,14.6,40967.0,93832.3,2.9,0.4,3.4,6850.8,2607.7,996.8,25105.0,3068.6,44.2,915960.7,3.9,11585.0,5300.0,4784.2,846635.3,88238.4,,12.0,,0.2,736.5,2335.3,13966.2,0.1,191122.0,1454334.2,0.7,13.4,0.1,
2011,11966819.9424,5.0891,625682.8463,3.4937,6290.1399,670.7895,290.2317,27345.3567,,5239448.9069,9.0067,2056855.9696,239476.7112,39.5668,384402.967,90404.5465,11.7449,28687.667,57989.0068,,,,2334.472,1453.1604,736.7886,14668.396900000002,397.062,105.683,936857.8442,8.4775,2436.9665,4285.8083,4449.3285000000005,785671.3022,104307.9582,,28.7864,,2.3696,637.6643,1590.031,34011.438,,141341.7171,1173821.5764,2.6187,47.5607,8.1746,
2010,9184163.6,5.3,680413.1,14.2,15.3,380.8,25.2,18908.6,,3812537.5,31.6,1795308.0,210336.3,252.9,310684.5,76460.9,2.5,13073.9,50715.9,1.4,0.8,2.0,3605.9,1728.0,595.0,9382.9,371.1,1.8,688746.9,2.4,711.9,2528.7,4586.7,638489.9,64834.6,,12.3,,2.2,750.5,1323.2,10806.7,,115184.1,671287.9,3.1,30.4,,
