年份,中国从非洲进口总额,中国从阿尔及利亚进口总额,中国从安哥拉进口总额,中国从贝宁进口总额,中国从博茨瓦那进口总额,中国从布隆迪进口总额,中国从喀麦隆进口总额,中国从加那利群岛进口总额,中国从佛得角进口总额,中国从中非进口总额,中国从塞卜泰(休达)进口总额,中国从乍得进口总额,中国从科摩罗进口总额,中国从刚果(布)进口总额,中国从吉布提进口总额,中国从埃及进口总额,中国从赤道几内亚进口总额,中国从埃塞俄比亚进口总额,中国从加蓬进口总额,中国从冈比亚进口总额,中国从加纳进口总额,中国从几内亚进口总额,中国从几内亚比绍进口总额,中国从科特迪瓦共和国进口总额,中国从肯尼亚进口总额,中国从利比里亚进口总额,中国从利比亚进口总额,中国从马达加斯加进口总额,中国从马拉维进口总额,中国从马里进口总额,中国从毛里塔尼亚进口总额,中国从毛里求斯进口总额,中国从摩洛哥进口总额,中国从莫桑比克进口总额,中国从纳米比亚进口总额,中国从尼日尔进口总额,中国从尼日利亚进口总额,中国从留尼汪进口总额,中国从卢旺达进口总额,中国从圣多美和普林西比进口总额,中国从塞内加尔进口总额,中国从塞舌尔进口总额,中国从塞拉利昂进口总额,中国从索马里进口总额,中国从南非进口总额,中国从西撒哈拉进口总额,中国从苏丹进口总额,中国从坦桑尼亚进口总额,中国从多哥进口总额,中国从突尼斯进口总额,中国从乌干达进口总额,中国从布基纳法索进口总额,中国从刚果(金)进口总额,中国从赞比亚进口总额,中国从津巴布韦进口总额,中国从莱索托进口总额,中国从梅利利亚进口总额,中国从斯威士兰进口总额,中国从厄立特里亚进口总额,中国从马约特岛进口总额,中国从南苏丹共和国进口总额,中国从非洲其他国家(地区)进口总额
2019,9580158.6694,114125.1265,2383740.2142,15435.6896,1713.4203,1294.6221,100968.0551,3.2367,2.8691,3620.18,5.076,45275.0775,3.1723,610222.4091,2004.4965,100071.9187,172306.4057,34395.2778,464665.8917,7144.3632,257640.5874,245608.9817,840.236,45567.2627,17890.6799,12385.4379,481649.711,20436.1765,1570.9429,16030.1461,92780.9771,3888.0652,63334.6602,71324.1603,51128.1131,22386.8257,265637.4985,1.8907,3500.6511,1.372,30078.5809,6.8601,19389.4511,1869.7707,2594885.5607,0.0071,74355.2825,35973.3387,18043.6943,20910.4831,4159.2741,5985.7839,442918.5342,326454.1815,97392.5221,3127.3538,0.9214,76.6233,20606.403,0.9207,153320.3068,0.9373
2018,9926492.8,117770.1,2582651.0,4832.5,1423.0,1192.8,109535.0,1.4,29.0,5425.0,45.6,9594.5,2.8,681300.1,20.4,184252.4,213937.2,34530.2,297672.3,2006.2,244201.2,218761.6,763.9,25230.6,17375.8,8927.0,477918.1,20005.6,2735.6,8850.9,86150.5,3744.4,70690.0,63353.4,50292.3,17111.3,185309.2,10.5,3932.7,4.9,12859.8,2.5,17714.4,1655.2,2728748.9,0.4,66516.6,39125.5,14576.2,19507.7,4622.4,9511.8,565553.7,408285.0,88962.6,3008.9,0.7,2746.0,31085.8,1.4,160413.6,2.4
2017,7592715.0,44832.4,2069870.9,9159.0,3354.8,692.9,50850.3,27.3,0.8,2810.8,,27991.4,3.8,396206.5,1.5,134193.4,148383.5,35758.3,229361.1,9905.2,185293.9,146675.3,40.2,15791.0,16682.0,2885.7,136265.8,22709.3,2732.6,6787.7,78650.5,2243.5,65059.7,52871.5,29754.1,9907.9,162405.0,3.3,2887.9,0.1,14969.9,147.4,33801.8,1180.3,2438859.6,,59079.8,33585.9,7318.7,19816.3,3341.3,2043.6,328998.9,312275.4,87203.0,2484.7,0.1,433.7,17069.0,1.4,127005.0,47.9
2016,5668989.7,33188.6,1396611.7,5539.2,6214.2,273.7,40223.0,1.2,8.3,3156.5,,11490.8,1.3,233300.2,13.4,55321.2,63185.2,41942.0,143907.9,9009.5,130965.0,63005.7,16.1,10138.1,9713.5,4817.1,34562.0,16079.3,2611.7,9870.1,74755.9,1970.8,55345.7,47935.7,16578.5,12423.6,90700.8,0.6,3314.0,1.8,16158.9,7.5,23955.6,1095.8,2222889.4,,50470.6,31582.7,10533.2,13884.7,3761.7,1399.9,208496.2,218350.1,72688.0,1964.4,,32.8,17547.5,,145975.1,1.5
2015,7025827.3,76736.3,1600161.1,7784.9,13873.5,281.6,78161.5,,2.3,2653.2,,9069.2,2.2,262385.8,89.8,91784.4,116649.6,38035.0,110019.4,5578.9,129647.1,2593.3,1781.2,14410.9,9874.3,17216.8,95155.0,17113.2,2960.5,9298.9,71807.0,1533.5,52152.1,45261.6,21163.4,14099.3,124070.1,1.1,4353.6,3.3,11166.0,10.0,16482.2,2471.2,3015141.0,,72839.4,37784.4,21471.3,18379.9,8558.3,4406.5,262742.7,178647.6,76140.1,1200.3,,28.9,17873.0,,232688.7,30.7
2014,11563137.8448,131468.1787,3110601.5046,26663.0687,21387.9358,414.3095,68887.68340000001,,0.302,2927.2799999999997,,10834.171,0.8949999999999999,547901.7995,168.4901,115951.6629,321719.0248,48995.3733,160793.4704,3793.2266000000004,145259.7286,4134.4714,4995.6236,21626.842,7703.9062,28844.915399999998,72637.0287,11807.6353,3414.2956,9565.0517,116812.9597,1419.9907999999998,51850.37,164982.2358,31734.135700000003,7912.3315,265603.9313,1.9472,9189.1454,0.0474,4701.945,19.6653,167869.5703,2987.9858,4456812.9974,0.6554,152131.1547,43510.1902,16644.1462,21191.9795,11156.9259,12390.395,281155.8079,306074.8531,83571.4373,1208.0519,,4611.1006,32168.518300000003,0.1949,432924.2102,1.0903
2013,11745471.8,216454.7,3197266.9,20600.7,19385.8,930.7,36616.9,5.1,,4064.9,,10350.0,0.8,571219.1,27.4,185160.7,246991.8,31568.8,89864.4,7797.8,120333.0,8409.2,1682.8,25713.3,5278.3,16441.8,203892.8,17390.6,3842.1,15246.8,172852.2,1286.8,53142.8,45487.5,25770.0,1587.5,154660.3,23.4,10845.0,0.2,3973.0,40.2,145265.9,1634.0,4838842.5,0.7,210002.3,55254.8,11794.4,17672.9,7192.5,18689.1,274565.5,304786.6,68783.9,1341.3,,11507.2,5093.4,0.1,246834.4,4.5
2012,11325064.0,231190.6,3356190.5,26153.8,12067.6,1067.8,89043.2,0.1,0.1,4861.9,,22072.9,0.6,455630.9,61.7,132073.7,182282.9,30936.6,61796.7,8471.3,64360.7,1099.5,663.3,14255.6,5241.5,22860.7,637612.4,11441.1,4750.3,33168.9,146497.2,1071.3,55964.3,40177.6,24122.8,3716.3,127391.8,15.3,7146.5,4.3,5135.6,26.3,50298.0,310.4,4467126.6,,155426.7,37929.7,8481.1,17697.6,4288.1,23265.6,351291.4,269195.7,58442.7,541.8,,10038.1,125.9,11.2,,
2011,9323986.5219,196054.2618,2492218.0492,17647.6164,10066.7978,1374.8216,66294.9235,,1.2062,2813.7864,,26531.8912,0.6874,467215.96849999996,17.6023,151834.0176,167294.74399999998,29209.2,57815.9299,5419.0163,36318.5315,1556.7159,409.9941,16210.125,5969.0991,4124.4694,206357.5283,10339.6615,4603.9164,14959.5011,151045.4723,968.6573,47669.9091,25724.1204,22448.3457,210.5116,158379.3465,2.6055,7812.935,,6870.8685,32.1691,2799.3999,579.6227,3210790.6651,1.8498,954154.6948,48989.1181,7656.6967,21946.2498,4027.2043,18240.8451,316052.5147,277189.9319,46409.1589,741.0926,,34.3796,87.0583,,,460.8723
2010,6709196.4,117731.7,2281553.8,12565.0,5336.6,345.8,46090.4,,1.2,2516.4,,49579.7,2.4,312237.6,69.1,91793.0,59865.7,27397.0,96976.5,1499.8,12338.2,5499.7,386.3,11053.1,3920.8,2248.3,451561.5,10548.7,3147.6,7041.1,97212.8,1009.9,45272.7,20109.6,48149.5,17.1,107162.2,17.7,3867.4,1.0,5116.0,1.1,1077.0,169.7,1490323.9,,667592.1,40703.9,6170.3,12490.7,2656.7,12109.4,250892.9,258384.8,24570.1,452.9,,250.4,105.4,,,1.5
2009,4333124.0,94662.0,1467650.0,9378.0,6428.0,97.0,39767.0,,,1465.0,1.0,6537.0,,173596.0,11.0,73725.0,105514.0,21476.0,71837.0,664.0,7963.0,624.0,162.0,6274.0,2963.0,396.0,317672.0,5482.0,1694.0,3705.0,85237.0,585.0,37598.0,17738.0,27907.0,5.0,89576.0,11.0,2570.0,,4198.0,3.0,1054.0,55.0,871175.0,,468280.0,19622.0,3637.0,10751.0,2010.0,11618.0,115437.0,128507.0,14087.0,168.0,,1511.0,42.0,,,
2008,5596693.6744,84921.9211,2238252.3829,11016.1584,18391.3357,12.1419,47919.0637,,,2143.8597,0.6739,4160.4208,,373170.141,179.1549,42893.9103,226787.1882,8165.6179,179261.2751,316.4165,9340.0315,2530.2691,124.2562,7058.0413,3472.2717,593.5699,258899.3333,6517.1536,811.1324,6295.1573,104413.841,570.5495,46105.8836,12588.2374,28217.809499999996,6.7877,50838.0981,4.7024,2957.8975,1.7127,496.9956,368.4019,531.6608,18.8568,923497.2954,,632588.9462,13158.8471,3089.9652,9030.8471,1706.0339,6248.377,158386.0124,52249.7956,14821.3844,169.7862,,1127.9708,247.3851,,,16.6601
2007,3635919.8519,116093.1952,1288866.4603,11313.151300000001,2643.5247,67.3626,16001.7569,,,661.1853,,8406.9391,,283573.1535,163.9492,23973.2617,169728.3346,8712.1896,109573.3303,854.932,5352.2024,9235.684299999999,17.2994,4063.6513,2811.1587,327.7249,154749.5236,2966.2011,75.8947,3589.5378,56938.0827,502.4954,42389.1838,12424.8069,15765.86,4.5163,53708.0321,1.2426,2363.4316,,2253.0569,446.0195,570.5426,172.279,661806.9363,,417123.9208,20359.9842,2610.4612,3031.8414,1989.8324,15503.9766,46017.5988,39486.219300000004,14276.9297,124.366,,1933.2267,251.868,,,41.3396
2006,2877173.9895,14312.1609,1093329.5107,8938.2926,816.6108,174.6395,19966.264300000003,3.3208,,860.8876,,26031.3008,,279164.167,38.3907,21676.8816,253759.1664,13182.3476,81676.0812,44.5849,7967.7895,1228.1279,,12548.850900000001,2441.5593,192.8084,169394.5966,2381.0034,98.5933,11423.9749,40201.6196,732.6333,35940.634000000005,7977.2228,12185.7253,92.7096,27774.7279,2.7283,2188.7575,,936.0558,59.7996,97.8994,306.4836,408535.8057,,194348.1721,15267.8108,2159.8694,5053.2891,1778.4982,19331.2963,36855.0111,27035.6333,13909.3424,128.0328,,2482.2266,70.8114,,,69.1729
2005,2106213.0,36373.0,658183.0,13939.0,400.0,33.0,6675.0,0.0,0.0,899.0,0.0,19108.0,0.0,227803.0,54.0,21114.0,143783.0,8571.0,35168.0,17.0,9601.0,300.0,0.0,8509.0,1765.0,1417.0,94172.0,1400.0,207.0,7925.0,406.0,828.0,27745.0,7353.0,7639.0,0.0,52688.0,1.0,1153.0,0.0,788.0,1.0,136.0,307.0,344305.0,0.0,261446.0,17072.0,3187.0,4409.0,2000.0,16327.0,17577.0,25206.0,15792.0,33.0,0.0,2318.0,41.0,0.0,,40.0
2004,1564605.9,25907.8,471733.9,11127.3,286.1,31.9,14890.6,1.3,0.0,624.5,0.0,22258.6,0.0,156906.1,51.4,18793.6,99665.0,1438.6,40028.6,12.4,8038.3,1479.5,2.9,10845.5,1696.9,1651.9,41675.8,1408.1,4.5,10675.5,5039.9,665.4,21408.2,4428.6,4657.6,1.2,46321.6,0.0,1602.6,133.8,394.1,2.8,160.3,781.1,296020.3,0.0,170587.7,6826.9,4647.2,3413.1,1164.1,12411.2,9958.5,17110.5,14117.8,0.0,0.0,1463.3,51.1,0.0,,0.0
