年份,中国从北美洲进口总额,中国从加拿大进口总额,中国从美国进口总额,中国从格陵兰进口总额,中国从百慕大群岛进口总额,中国从北美洲其他国家(地区)进口总额
2019,15132203.9101,2815209.0219,12289619.6481,27371.4908,1.0584,2.6909
2018,18371458.3,2835940.1,15512318.6,23191.2,8.4,
2017,17450191.9,2042300.7,15394552.2,13338.0,1.1,
2016,15288328.5,1833683.4,13444514.2,10119.9,7.4,3.6
2015,17411303.8,2621374.9,14780907.2,8989.8,0.2,31.8
2014,18430759.8156,2518201.0414,15906099.8585,6452.224700000001,1.0524,5.6386
2013,17765140.9,2523697.1,15234229.5,7213.5,,0.9
2012,15616566.7,2321048.5,13289745.5,5744.8,,
2011,14434693.813600002,2216994.7055,12212890.6386,4806.4533,,1.7162
2010,11707702.7,1492374.6,10209873.3,5454.8,,
2009,8955790.0,1205326.0,7746038.0,4426.0,,
2008,9406982.3632,1267335.0929,8135992.5954,3645.5525,,8.74
2007,8040775.592800001,1097913.3625,6939060.9855,3799.4745000000003,1.7703,
2006,6692229.152799999,766211.3964,5921104.7009000005,3003.9729,,1909.0826
2005,5616226.0,751116.0,4862177.0,2934.0,0.0,0.0
2004,5203014.2,735299.0,4465654.7,2057.8,0.0,2.7
2003,3826276.0,437449.0,3386609.0,2217.1,0.0,0.0
2002,3087693.0,362688.0,2723764.0,1239.0,,2.0
2001,3024125.0,402847.0,2620223.0,1046.0,,9.0
2000,2611959.0,375108.0,2236315.0,,,
