年份,政府部门金融交易资金运用_净金融投资,政府部门金融交易资金运用_资金运用,政府部门金融交易资金运用_资金来源,政府部门金融交易资金运用_通货,政府部门金融交易资金运用_存款,政府部门金融交易资金运用_贷款,政府部门金融交易资金运用_证券,政府部门金融交易资金运用_证券投资基金份额,政府部门金融交易资金运用_证券公司客户保证金,政府部门金融交易资金运用_保险准备金,政府部门金融交易资金运用_未贴现的银行承兑汇票,政府部门金融交易资金运用_金融机构往来,政府部门金融交易资金运用_准备金,政府部门金融交易资金运用_库存现金,政府部门金融交易资金运用_中央银行贷款,政府部门金融交易资金运用_其他(净),政府部门金融交易资金运用_直接投资,政府部门金融交易资金运用_其他对外债权债务,政府部门金融交易资金运用_国际储备资产,政府部门金融交易资金运用_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,-46515.4870774995,19147.1912143309,,51.256310175142,16168.2984000165,,,980.751306632018,-64.1618323137185,,,,,,,664.997778559141,,,,
2017,155.0,42914.0,,47.0,36038.0,,,3645.0,-770.0,,,,,,,909.0,,,,
2016,-8083.70126602385,36040.9909156307,,101.746943039968,31936.1705334474,,2469.86219241729,1981.60686,-1049.76126278752,,,,,,,601.365649513497,,,,
2015,11507.9057966212,65901.179614888,,59.14178454,23972.1836146603,,4092.6851901,3876.0289,1837.22012967476,,,,,,,32063.9199959129,,,,
2014,20393.0,39895.0,,34.0,31870.0,,4174.0,3007.0,1603.0,,,,,,,-793.0,,,,
2013,15809.2389408841,36401.8406143752,,78.30795100201,36596.5782885309,,-563.17377739728,253.39291,-58.1707052562,,,,,,,94.9300079145645,,-0.02406041878122,,
2012,5899.0,22344.0,,78.0,20569.0,,505.0,142.0,-19.0,,,,,,,1068.0,,,,
2011,10178.0,20363.0,,123.0,19763.0,,112.0,416.0,-35.0,,,,,,,-16.0,,,,
2010,5619.04087842561,19539.3431784256,,130.14873934,19487.3280971822,,195.01,-271.365664433557,-11.2775936630272,,,,,,,9.4996,,,,
2009,8264.0,19651.0,,81.0,19591.0,,-40.0,-1.0,,,,,,,,20.0,,,,
2008,61.0,5858.0,,82.0,5731.0,,,44.0,,,,,,,,,,,,
2007,-6540.0,14204.0,,67.0,12957.0,,257.0,,,,,,,,,923.0,,,,
2006,4687.0,8946.0,,60.0,8582.0,,-118.0,,,,,,,,,422.0,,,,
2005,3310.66533904,8199.4948179083,,51.65964279833,7937.11197103217,,-30.7426047156,,,,,,,,,241.4658087934,,,,
2004,-2429.68658246211,2186.85897949994,,34.5591051371626,2244.55033849388,,-122.8667000001,,,,,,,,,30.616235869,,,,
2003,-540.465631508257,3872.34830729009,,49.359287699788,3762.1456326506,,114.2965173767,,,,,,,,,-53.453130437,,,,
2002,-1752.0,3044.3,,31.78460522424,2898.3244098359,,13.76228,,,,,,,,,100.4119055956,,,,
2001,-1068.6,1999.61,,20.72,2024.82,,-22.86,,,,,,,,,-23.07,,,,
2000,,,,,,,,,,,,,,,,,,,,
