年份,政府部门金融交易资金来源_净金融投资,政府部门金融交易资金来源_资金运用,政府部门金融交易资金来源_资金来源,政府部门金融交易资金来源_通货,政府部门金融交易资金来源_存款,政府部门金融交易资金来源_贷款,政府部门金融交易资金来源_证券,政府部门金融交易资金来源_证券投资基金份额,政府部门金融交易资金来源_证券公司客户保证金,政府部门金融交易资金来源_保险准备金,政府部门金融交易资金来源_未贴现的银行承兑汇票,政府部门金融交易资金来源_金融机构往来,政府部门金融交易资金来源_准备金,政府部门金融交易资金来源_库存现金,政府部门金融交易资金来源_中央银行贷款,政府部门金融交易资金来源_其他(净),政府部门金融交易资金来源_直接投资,政府部门金融交易资金来源_其他对外债权债务,政府部门金融交易资金来源_国际储备资产,政府部门金融交易资金来源_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,,,65662.6782918304,,,4447.9124853744,,,,12116.9036467079,,,,,,136.245555015631,,429.78093373248,,
2017,,,42759.0,,,-21150.0,,,,8256.0,,,,,,-350.0,,197.0,,
2016,,,44124.6921816545,,,-34903.3548445908,71207.369124,,,7906.0,,,,,,-619.786292259909,,534.464194505194,,
2015,,,54393.2738182668,,,,47252.0,,,7025.0,,,,,,,,116.273818266817,,
2014,,,19502.0,,,-43.0,11804.0,,,6760.0,,,,,,,,981.0,,
2013,,,20592.6016734911,,,29.0540178696946,12949.0,,,7336.0,,,,,,,,278.547655621416,,
2012,,,16445.0,,,-18.0,8783.0,,,7406.0,,,,,,,,273.0,,
2011,,,10185.0,,,1691.0,6142.0,,,2107.0,,,,,,,,246.0,,
2010,,,13920.3023,,,194.2355563,9736.0,,,3835.1,,,,,,,,,,
2009,,,11387.0,,,107.0,8182.0,,,2927.0,,,,,,146.0,,26.0,,
2008,,,5797.0,,,672.0,1027.0,,,4097.0,,,,,,,,,,
2007,,,20744.0,,,1.0,17292.0,,,3451.0,,,,,,,,,,
2006,,,4259.0,,,106.0,2675.0,,,1478.0,,,,,,,,,,
2005,,,4888.8294788683,,,242.2510568683,2996.5,,,1650.078422,,,,,,,,,,
2004,,,4616.54556196206,,,118.678160912,3174.0,,,1184.414378,,,,,,-3.87632254994478,,143.3293456,,
2003,,,4412.81393879834,,,-1865.21972529,5212.96,,,939.3514,,,,,,5.69252088834419,,120.0297432,,
2002,,,4796.3,,,66.88602251,3726.84508,,,994.4913,,,,,,8.06684391491199,,,,
2001,,,3068.21,,,123.57,2598.0,,,281.62,,,,,,,,65.03,,
2000,,,,,,,,,,,,,,,,,,,,
