年份,国内专利申请受理量,国内发明专利申请受理量,国内实用新型专利申请受理量,国内外观设计专利申请受理量,国内专利申请授权量,国内发明专利申请授权量,国内实用新型专利申请授权量,国内外观设计专利申请授权量
2019,4195104,1243568,2259765,691771,2474406,360919,1574205,539282
2018,4121475,1393815,2063860,689097,2319209,345959,1471759,517693
2017,3513200,1245709,1679807,610817,1705100,326970,967416,426442
2016,3281200,1204981,1468295,631949,1611900,302136,897035,429710
2015,2616700,968251,1119714,551481,1578200,263436,868734,464807
2014,2186500,801135,861053,548428,1191600,162680,699971,346751
2013,2209600,704936,885226,644398,1210200,143535,686208,398670
2012,1912151,535313,734437,642401,1163226,143847,566750,452629
2011,1504670,415829,581303,507538,883861,112347,405086,366428
2010,1083997,293066,407238,409124,719408,79767,342256,318597
2009,877611,229096,308861,339654,501786,65391,202113,234282
2008,717144,194579,223945,298620,352406,46590,175169,130647
2007,586498,153060,179999,253439,301632,31945,148391,121296
2006,470342,122318,159997,188027,223860,25077,106312,92471
2005,383157,93485,138085,151587,171619,20705,78137,72777
2004,278943,65786,111578,101579,151328,18241,70019,63068
2003,251238,56769,107842,86627,149588,11404,68291,69893
2002,205544,39806,92166,73572,112103,5868,57092,49143
2001,165773,30038,79275,56460,99278,5395,54018,39865
2000,128174,25346,68461,46532,85473,6177,54407,34652
