年份,大中型工业企业有研究与试验发展活动企业数,大中型工业企业有研究与试验发展活动企业所占比重,大中型工业企业研究与试验发展人员全时当量,大中型工业企业研究与试验发展经费支出,大中型工业企业研究与试验发展经费支出与主营业务收入之比,大中型工业企业研究与试验发展项目数,大中型工业企业研究与试验发展项目经费支出,大中型工业企业办研究与试验发展机构数,大中型工业企业办研究与试验发展机构人员数,大中型工业企业办研究与试验发展机构经费支出,大中型工业企业新产品项目数,大中型工业企业开发新产品经费,大中型工业企业新产品销售收入,大中型工业企业新产品出口销售收入,大中型工业企业专利申请数,大中型工业企业发明专利申请数,大中型工业企业有效发明专利数,大中型工业企业引进国外技术经费支出,大中型工业企业引进技术消化吸收经费支出,大中型工业企业购买国内技术经费支出,大中型工业企业技术改造经费支出,大中型工业企业科技活动人员,大中型工业企业的科学家和工程师人员,大中型工业企业研究与试验发展折合全时科学家和工程师人员,大中型工业企业办研究与试验发展机构科学家和工程师数,大中型工业企业科技经费筹集额,大中型工业企业来源于政府的科技经费筹集额,大中型工业企业来源于企业的科技经费筹集额,大中型工业企业来源于金融机构贷款的科技经费筹集额,大中型工业企业的科技经费内部支出,大中型工业企业研究与试验发展经费支出中政府资金支出,大中型工业企业研究与试验发展经费支出中企业资金支出,大中型工业企业基础研究研究与试验发展人员全时当量,大中型工业企业应用研究研究与试验发展人员全时当量,大中型工业企业试验发展研究与试验发展人员全时当量,大中型工业企业科技经费用于劳务费的内部支出,大中型工业企业科技经费用于固定资产购建的内部支出,大中型工业企业基础研究研究与试验发展经费支出,大中型工业企业应用研究研究与试验发展经费支出,大中型工业企业试验发展研究与试验发展经费支出,大中型工业企业有科技机构的企业数
2019,,,1996171,99969303.8,,242806,,,,,253058,120324780.5,1660898594.1,341265062.6,574316,267754,760471,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,2016465,95426947.4,,213215,,,,,233296,108744998.8,1591166153.9,323444065.0,541149,241854,692288,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,1931419,89761874.8,,215506,,,,,222448,100640517.1,1599569497.0,317604890.0,496260,218376,632727,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,1964441,82894631.5,,187100,,,,,195747,89037617.1,1473363552.8,299526690.4,438422,188684,528006,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,1985983,77924409.9,,173298,,,,,176447,79788542.3,1290765861.7,270158268.2,394956,163156,403292,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,2037661.2,73196923.1,,210997,,,,,225206,79532787.9,1236008137.2,249545313.6,393480,158680,313626,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,1976735.7,67440645.6,,205146,,,,,222508,74406399.3,1125619063.0,212932265.0,359791,139723,244175,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,1818585,59923237.0,,192755,,,,,210730,65718382.0,981921709.0,205652136.0,327116,124695,204636,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,1587164.6,50306960.2,,161226,,,,,176044,56971680.7,886502359.4,189565814.7,265612,97822,146469,,,,,,,,,,,,,,,,,,,,,,,,
2010,12889.0,28.3,1369908.313,40153965.2,0.93,145589,3446.2199,16717.0,148.5379,3276.8798,159637,44206917.4,728638981.6,147736448.5,198890,72523,113074,386.1321,165.2015,221.4127,3638.4926,,,,,,,,,,,,,,,,,,,,12568.0
2009,12434.0,30.4924381694732,1158839,32102300.0,0.96,133852,2696.4029,15217.0,127.9651,2625.0606,152770,36546131.0,579780546.0,106787198.0,166762,63011,81592,394.61297,163.8464,174.7221,3671.3512,,,,,,,,,,,,,,,,,,,,11741.0
2008,10027.0,24.8722528153991,1014223.11,26813109.5,0.837681123198141,103234,2520.92866,13241.0,107.4587,2336.3442,121358,30955692.2,512916075.0,132107457.9,122076,43773,55723,440.42558,106.44565,166.2,4167.2,246.7763,158.8618,79.032107,74.1493,5220.36653,192.74441,4705.54287,261.07314,5040.6721,111.8855,2541.67434,1097.0,15458.0,997668.0,1015.0243,1704.3231,18260.4,380763.7,26414084.8,9941.0
2007,8954.0,24.6993269336864,857649.74,21124560.5,0.8085093261773,92913,1967.6,11847.0,88.2994,1791.8,112369,24533447.9,409761681.4,99224158.0,95905,36074,43652,452.45278,106.61292,129.58535,3650.01851,220.1557,140.1152,68.1726,60.7672,4312.55794,144.25171,3826.10559,267.63003,4123.73007,85.709,1996.877,2638.0,31592.0,823420.0,810.5697,1423.48615,24538.4290745216,538650.609074242,20561371.9618512,8820.0
2006,7838.0,24.0083315465433,695668.23,16301909.0,0.772336497153327,87207,1491.0,10464.0,75.7744,1335.1,100760,18629418.0,312328083.9,73351890.0,69009,25685,29176,320.42721,81.86105,87.43111,3019.55695,189.2497,117.5502,54.2185,50.7562,3300.7919,105.376,2892.4443,253.6952,3175.8025,60.0,1547.5,,,,609.67226,1084.56594,34263.3399671424,782122.640271559,15485524.0296452,7579.0
