年份,技术市场成交额
2019,22398.3881623544
2018,17697.4212963104
2017,13424.2244691549
2016,11406.9815696409
2015,9835.7896370719
2014,8577.1789872326
2013,7469.1253674561
2012,6437.0682977038
2011,4763.5589397997
2010,3906.6
2009,3039.0024405407
2008,2665.2288172936
2007,2226.5261
2006,1818.1813
2005,1551.3694
2004,1334.363
2003,1084.6728
2002,884.1713
2001,782.7489
2000,651.0
