年份,地形图,1：10000地形图,1：50000地形图,测绘基准成果,航摄成果,专题地图,挂图,地图集
2019,273252,37528,20899,190874,,,,
2018,264558,38246,22039,391894,2283296.9,5006048.0,,
2017,252033,41369,29728,266511,770524.8,646724.0,,
2016,247700,59849,35184,205487,904223.4,25841.0,,
2015,1415284,67030,1190135,114822,1230860.8,48399.0,,
2014,289570,74677,37153,141209,194590.068359375,29758.0,,
2013,302532,69353,38500,257559,462179.868164063,26218.0,,4021.0
2012,342550,92086,51180,260513,3727402.63,171252.0,,18291.0
2011,451513,151035,56911,178232,514225.0,61590.0,,9279.0
2010,395088,143753,74417,259973,631831.0,53064.0,53064.0,6185.0
2009,464886,145535,87336,282927,703784.0,60729.0,60729.0,4705.0
2008,523036,164585,116944,178353,461087.0,32774.0,32774.0,3213.0
2007,629307,149847,111447,153334,361615.0,10285.0,10285.0,5465.0
2006,614425,183789,125054,152255,525403.0,29703.0,29703.0,4420.0
2005,658939,159668,132853,70843,351882.0,5189.0,5189.0,4733.0
2004,795902,195363,138217,100737,377833.0,9607.0,9607.0,2597.0
2003,693979,195642,124309,147658,446685.0,9621.0,9621.0,5240.0
2002,695896,184853,136930,65568,302728.0,313598.0,313598.0,5399.0
2001,807401,243308,132019,54066,372444.0,20708.0,20708.0,30519.0
2000,1023936,190233,122961,53639,128287.0,34399.0,34399.0,26975.0
