年份,公有经济企事业单位专业技术人员数合计,公有经济企事业单位五类专业技术人员数小计,公有经济企事业单位工程技术人员,公有经济企事业单位农业技术人员,公有经济企事业单位科学研究人员,公有经济企事业单位卫生技术人员,公有经济企事业单位教学人员
2019,,,,,,,
2018,,,,,,,
2017,,,,,,,
2016,,,,,,,
2015,,,,,,,
2014,,,,,,,
2013,,30259517.0,6140240.0,733474.0,432018.0,4276401.0,12807355.0
2012,,29774237.0,5950025.0,711841.0,416231.0,4144889.0,12651248.0
2011,29186650.0,23569312.0,5715561.0,714489.0,403853.0,4107373.0,12628036.0
2010,28157323.0,28160000.0,5415126.0,688651.0,339676.0,3840124.0,12413530.0
2009,28879635.0,23211769.0,5310622.0,714720.0,388150.0,3929037.0,12869240.0
2008,28635696.0,23098880.0,5176798.0,715774.0,368655.0,3888273.0,12949380.0
2007,28014657.0,22545110.0,5017747.0,701481.0,349208.0,3640554.0,12836120.0
2006,27739287.0,22298171.0,4893672.0,701930.0,326728.0,3612091.0,12763750.0
2005,27567260.0,27567260.0,4791200.0,705700.0,311000.0,3581200.0,12589400.0
2004,27504073.0,21783019.0,4807869.0,704576.0,282002.0,3532282.0,12456290.0
2003,27745585.0,21739699.0,4992867.0,683437.0,275496.0,3441109.0,12346790.0
2002,28344158.0,21860024.0,5289166.0,666998.0,262692.0,3402326.0,12238842.0
2001,28477431.0,21698037.0,5316327.0,674644.0,265554.0,3390233.0,12051279.0
2000,28874159.0,28874000.0,5551000.0,670000.0,270000.0,3372000.0,11783000.0
