年份,研究与试验发展政府资金经费支出,研究与试验发展企业资金经费支出,研究与试验发展国外资金经费支出,研究与试验发展其他资金经费支出,农、林、牧、渔业研究与试验发展政府资金经费支出,农、林、牧、渔业研究与试验发展企业资金经费支出,农、林、牧、渔业研究与试验发展国外资金经费支出,农、林、牧、渔业研究与试验发展其他资金经费支出,采矿业研究与试验发展政府资金经费支出,采矿业研究与试验发展企业资金经费支出,采矿业研究与试验发展国外资金经费支出,采矿业研究与试验发展其他资金经费支出,制造业研究与试验发展政府资金经费支出,制造业研究与试验发展企业资金经费支出,制造业研究与试验发展国外资金经费支出,制造业研究与试验发展其他资金经费支出,电力、燃气及水的生产和供应业研究与试验发展政府资金经费支出,电力、燃气及水的生产和供应业研究与试验发展企业资金经费支出,电力、燃气及水的生产和供应业研究与试验发展国外资金经费支出,电力、燃气及水的生产和供应业研究与试验发展其他资金经费支出,建筑业研究与试验发展政府资金经费支出,建筑业研究与试验发展企业资金经费支出,建筑业研究与试验发展国外资金经费支出,建筑业研究与试验发展其他资金经费支出,交通运输、仓储和邮政业研究与试验发展政府资金经费支出,交通运输、仓储和邮政业研究与试验发展企业资金经费支出,交通运输、仓储和邮政业研究与试验发展国外资金经费支出,交通运输、仓储和邮政业研究与试验发展其他资金经费支出,信息传输、计算机服务和软件业研究与试验发展政府资金经费支出,信息传输、计算机服务和软件业研究与试验发展企业资金经费支出,信息传输、计算机服务和软件业研究与试验发展国外资金经费支出,信息传输、计算机服务和软件业研究与试验发展其他资金经费支出,金融业研究与试验发展政府资金经费支出,金融业研究与试验发展企业资金经费支出,金融业研究与试验发展国外资金经费支出,金融业研究与试验发展其他资金经费支出,租赁和商务服务业研究与试验发展政府资金经费支出,租赁和商务服务业研究与试验发展企业资金经费支出,租赁和商务服务业研究与试验发展国外资金经费支出,租赁和商务服务业研究与试验发展其他资金经费支出,科学研究、技术服务和地质勘查业研究与试验发展政府资金经费支出,科学研究、技术服务和地质勘查业研究与试验发展企业资金经费支出,科学研究、技术服务和地质勘查业研究与试验发展国外资金经费支出,科学研究、技术服务和地质勘查业研究与试验发展其他资金经费支出,水利、环境和公共设施管理业研究与试验发展政府资金经费支出,水利、环境和公共设施管理业研究与试验发展企业资金经费支出,水利、环境和公共设施管理业研究与试验发展国外资金经费支出,水利、环境和公共设施管理业研究与试验发展其他资金经费支出,教育研究与试验发展政府资金经费支出,教育研究与试验发展企业资金经费支出,教育研究与试验发展国外资金经费支出,教育研究与试验发展其他资金经费支出,卫生、社会保障和社会福利业研究与试验发展政府资金经费支出,卫生、社会保障和社会福利业研究与试验发展企业资金经费支出,卫生、社会保障和社会福利业研究与试验发展国外资金经费支出,卫生、社会保障和社会福利业研究与试验发展其他资金经费支出,文化、体育和娱乐业研究与试验发展政府资金经费支出,文化、体育和娱乐业研究与试验发展企业资金经费支出,文化、体育和娱乐业研究与试验发展国外资金经费支出,文化、体育和娱乐业研究与试验发展其他资金经费支出
2019,4537.3,16887.15065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3978.64104,15079.29976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3487.44706,13464.94335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,3140.8076,11923.5446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3013.19584,10588.58426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2636.08029,9816.51092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2500.57943,8837.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2221.39496,7625.02329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1882.96556,6420.64432,116.19626,267.20301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1696.29766,5063.14351,92.14268,210.99391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1358.27095,4162.71821,78.09986,203.01551,3.27185,9.47606,0.01014,0.69422,3.87502,164.33488,0.13197,1.93479,155.49945,3340.61427,33.92921,41.23654,0.66578,33.319,0.03168,0.13871,4.43407,129.04898,0.14577,1.49517,1.81959,8.59517,0.00585,0.21388,4.96085,124.15005,24.84378,3.56263,0.01873,1.04248,0.01618,0.0006,2.40592,42.73123,0.0238,0.04715,878.76149,123.87521,13.96401,122.08983,1.18893,1.15479,0.0699,0.13283,248.58231,170.69954,4.65286,27.59841,51.83907,13.23147,0.2701,3.64128,0.94789,0.44508,0.00461,0.22947
2008,1088.89077,3311.52483,57.2,158.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,913.5,2611.0,50.0,135.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,742.1,2073.7,48.4,138.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,645.4,1642.5,22.7,139.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,523.6,1291.3,25.2,126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
