年份,科技活动人员,科学家和工程师人员,研究与试验发展人员全时当量,研究与试验发展人员全时当量中科学家和工程师,研究与试验发展人员全时当量中研究人员,研究与试验发展基础研究人员全时当量,研究与试验发展应用研究人员全时当量,研究与试验发展试验发展人员全时当量,研究与试验发展经费支出,研究与试验发展基础研究经费支出,研究与试验发展应用研究经费支出,研究与试验发展试验发展经费支出,研究与试验发展政府资金经费支出,研究与试验发展企业资金经费支出,科技经费筹集额,来源于政府资金的科技经费筹集额,来源于企业资金的科技经费筹集额,来源于金融机构贷款的科技经费筹集额,科技经费内部支出,科技经费内部支出中劳务费,科技经费内部支出中固定资产构建费,发表科技论文,出版科技著作,科技成果登记数,国家技术发明奖,国家科学技术进步奖,专利申请数,发明专利申请数,专利申请授权数,发明专利申请授权数,高技术产品进出口额,高技术产品出口额,高技术产品进口额,技术市场成交额
2019,,,480.07683,,,39.19721,61.53954,379.37001,22143.6,1335.6,2498.5,18309.5,4537.3,16887.15065,,,,,,,,195,52067,68562,65,185,4380468,1400661,2591607,452804,13685.05302639,7307.13844601,6377.91458038,22398.3881623544
2018,,,438.14437,,,30.49889,53.88165,353.77203,19677.92937,1090.37094,2190.87281,16396.68562,3978.64104,15079.29976,,,,,,,,184.3611,53629,65720,67,173,4323112,1542002,2447460,432147,14184.7735,7468.1621,6716.6114,17697.4212963104
2017,,,403.35972,,,29.00902,48.96353,325.39065,17606.12949,975.48934,1849.20945,14781.4307,3487.44706,13464.94335,,,,,,,,170.09,54204,59792,66,170,3697845,1381594,1836434,420144,12514.7726,6674.4367,5840.3359,13424.2244691549
2016,,,387.80568,,,27.4748,43.88774,316.44335,15676.74841,822.89193,1610.49493,13243.36155,3140.8076,11923.5446,,,,,,,,165.0035,53284,58779,66,171,3464824,1338503,1753763,404208,11271.9404,6035.7346,5236.2058,11406.9815696409
2015,,,375.88476,,,25.31551,43.04494,307.52908,14169.88461,716.12296,1528.64198,11925.13143,3013.19584,10588.58426,,,,,,,,164,52207,55284,66,187,2798500,1101864,1718192,359316,12032.6964,6552.1165,5480.5799,9835.7896370719
2014,,,371.058,,,23.53976,40.7023,306.81989,13015.62968,613.54285,1398.5282,11003.55864,2636.08029,9816.51092,,,,,,,,157,47470,53140,70,202,2361243,928177,1302687,233228,12119.0,6605.0,5514.0,8577.1789872326
2013,,,353.3,,,22.31915,39.56483,291.4,11846.6,554.95124,1269.11851,10022.5,2500.57943,8837.7,,,,,,,,154.455,45730,52477,71,188,2377061,825136,1313000,207688,12185.0,6603.0,5582.0,7469.1253674561
2012,,,324.7,,,21.21675,38.37665,265.0944,10298.40896,498.80659,1161.97203,8637.63025,2221.39496,7625.02329,,,,,,,,152,46751,51723,77,212,2050649,652777,1255138,217105,11080.3,6011.7,5068.6,6437.0682977038
2011,,,288.3,,131.8086,19.32154,35.27765,233.72866,8687.0,411.81427,1028.4,7246.8,1882.96556,6420.64432,,,,,,,,150,45472,44208,55,283,1633347,526412,960513,172113,10120.0,5488.0,4632.0,4763.5589397997
2010,,,255.4,,121.0841,17.36832,33.55874,204.45992,7063.0,324.49233,893.78851,5844.29662,1696.29766,5063.14351,,,,,,,,141.6,45563,42108,46,273,1222286,391177,814825,135110,9050.8702,4924.1392,4126.731,3906.6
2009,,,229.12517,,115.23112,16.45557,31.53482,181.1405,5802.10681,270.2857,730.79148,4801.02943,1358.27095,4162.71821,,,,,,,,136.1,49080,38688,55,282,976686,314573,581992,128489,6867.84,3769.3,3098.53,3039.0024405407
2008,,,196.535647,,,15.395983,28.935845,152.203819,4616.0218,220.82,575.16,3820.04,1088.89077,3311.52483,9123.80695,1902.0347,6370.4937,405.19925,8510.56428,1837.39492,2626.53787,119.3184,45296,35971,55,254,828328,289838,411982,93706,7574.25,4156.06,3418.2,2665.2288172936
2007,,,173.62,,,13.81,28.6,131.21,3710.242,174.52,492.94,3042.78,913.5,2611.0,7695.1502,1703.5547,5189.4786,384.314,7098.8733,1506.9098,2186.6235,114.2555,43063,34170,51,255,693917,245161,351782,67948,6348.0,3478.0,2870.0,2226.5261
2006,,,150.2472,,,13.13,29.9743,107.1422,3003.0966,155.7558,488.9744,2358.3663,742.1,2073.7,6196.7083,1367.8454,4106.9478,374.2727,5757.2683,1210.551,1777.5039,106.0256,42918,33644,56,241,573178,210490,268002,57786,5287.5,2814.5,2473.0,1818.1813
2005,,,136.48,,,11.54,29.71,95.23,2449.97306,131.206527654044,433.5299,1885.2366,645.4,1642.5,5250.8284,1213.0537,3440.2879,276.8395,4836.2221,1032.4992,1427.9402,94.3403,40120,32359,40,236,476264,173327,214003,53305,4159.0417,2182.4375,1976.6042,1551.3694
2004,,,115.26169,,,11.07,27.86,76.33,1966.33,117.18,400.49,1448.67,523.6,1291.3,4328.3258,985.51911,2771.2063,265.0049,4004.4254,968.8164,1192.0316,,,31720,28,244,353807,130133,190238,49360,3267.0,1654.0,1613.0,1334.363
2003,,,109.48,,,8.97,26.03,74.49,1539.63,87.65,311.45,1140.52,460.6,925.4,3459.0986,839.2833,2053.5424,259.3378,3121.5698,751.4508,852.3507,,,30486,19,216,308487,105318,182226,37154,2296.0,1103.0,1193.0,1084.6728
2002,,,103.51,,,8.4,24.73,70.39,1287.64,73.77,246.68,967.2,397.5,708.0,2937.9898,776.1912,1676.6868,201.8777,2671.5385,654.5592,722.6289,,,26697,21,218,252631,80232,132399,21473,1507.0,679.0,828.0,884.1713
2001,,,95.65,,,7.88,22.6,65.17,1042.49,55.6,184.85,802.03,,,2589.3991,656.3595,1458.3833,190.7606,2312.5469,549.3008,692.2875,,,28448,14,191,203573,63204,114251,16296,1105.59,464.52,641.07,782.7489
2000,,,92.2,,,7.9488,21.9676,62.2966,896.0,46.73,151.9,697.03,,,2346.6834,593.392,1296.3664,196.2129,2050.2472,475.7702,607.3208,,,32858,23,250,170682,51747,105345,12683,895.5,370.43,525.07,651.0
