年份,地震台数总数,国家级地震台数,省级地震台数,市、县级地震台数,企业地震台数,强震观测点,宏观观测点
2019,2280,225,282,1481,292,2926,49644
2018,2253,199,286,1478,290,2686,33941
2017,2086,199,227,1355,305,2545,35609
2016,1668,199,239,1372,267,2612,33841
2015,1687,188,205,1826,237,2353,32198
2014,1687,182,204,1212,272,700,33153
2013,1687,187,211,1033,186,2209,37518
2012,1687,,,,,,
2011,1617,187,211,1219,186,2209,37518
2010,1477,207,216,1097,124,2073,28294
2009,1446,196,240,1010,127,1972,22625
2008,1457,192,245,916,104,1996,16010
2007,1446,148,345,848,105,1976,12728
2006,1314,139,276,792,107,681,11659
2005,1465,139,287,899,140,359,9042
2004,1021,,,,,292,
2003,1098,,,,,307,
2002,1294,,,,,150,
2001,1306,,,,,243,
2000,1234,,,,,252,
