年份,GPS测量,水准测量,地理信息数据生产,地图数字化,地形图编制,专题地图编制,地图集编制
2019,,,,,,,
2018,,,,,,,
2017,,,,,,,
2016,,,,,,,
2015,,,,,,,
2014,,,,,,,
2013,,,,,,,
2012,,,,,,,
2011,22998.0,106707.0,791088.0,,101720.0,30775.0,591.0
2010,47019.0,158384.0,771571.0,36539.0,38345.0,42421.0,541.0
2009,55089.0,138988.0,908401.0,22847.0,14852.0,5312.0,328.0
2008,55254.0,96364.0,542059.0,38114.0,10213.0,4110.0,285.0
2007,44455.0,81363.0,581000.0,20664.0,17203.0,3960.0,368.0
2006,54053.0,203191.0,399330.0,19906.0,12626.0,2845.0,234.0
2005,47508.0,144031.0,492554.0,47272.0,4185.0,2530.0,100.0
2004,29734.0,76233.0,293358.0,65970.0,15179.0,2858.0,446.0
2003,32363.0,58681.0,228913.0,59137.0,2731.0,2443.0,105.0
2002,26176.0,44153.0,173816.0,91434.0,8980.0,3568.0,126.0
2001,21949.0,42136.0,128816.0,60459.0,2867.0,3327.0,133.0
2000,,,,,,,
