年份,金融机构人民币信贷资金运用,金融机构资金运用各项贷款,金融机构资金运用各项贷款境内贷款,金融机构资金运用各项贷款中短期贷款,金融机构资金运用各项贷款中中长期贷款,金融机构资金运用各项贷款中融资租赁,金融机构资金运用各项贷款中票据融资,金融机构资金运用各项贷款中各项垫款,金融机构资金运用各项贷款境外贷款,金融机构资金运用有价证券及投资,金融机构资金运用股权及其他投资,金融机构资金运用黄金占款,金融机构资金运用外汇占款,金融机构资金运用在国际金融机构资产
2019,2317003,1531123.20455044,1525755.34817987,,,,76175.51,,5367.8563705773,385519.998348123,183729.651649056,2856,212317.261957516,1457
2018,2109164,1362967.0,1357891.0,,,,57806.88,,5075.0,333467.0,196190.0,2570,212557.0,1414
2017,1931934.40969403,1201320.98565943,1196900.23286959,,,,38873.41,,4420.7527898395,294381.544230457,217588.727485989,2541.4988403522,214788.332810253,1313.3206675498
2016,1759952.27927466,1066040.06042347,1061666.80253819,,,,54709.52,,4373.26,247604.489923765,220820.075962988,2541.5,219425.262964438,3520.89
2015,1541203.7,939540.16,936386.69,,,,45756.02,,3153.47,197636.22,134325.8,2329.54,265858.52,1513.46
2014,1323453.03,816770.01,814780.33,314796.0,459482.0,9699.0,29169.41,1634.0,1989.68,144954.22,65452.13,669.84,294090.46,1516.37
2013,1174666.17,718961.456953993,717087.69,290238.0,398862.0,7661.0,19594.0,733.0,1873.76,125399.38,41751.79,669.84,286303.83,1579.87
2012,1024067.49,629909.64,628100.53,248272.76,352907.42,5930.98,20433.24,556.13,1809.11,111680.87,21633.05,669.84,258533.49,1640.6
2011,913226.330147185,547946.69059894,546398.252248054,203132.624331773,323806.516320684,4151.6954626385,15124.4533030503,182.9628299084,1548.4383508857,96479.3941406193,12824.7243720464,669.84,253587.011035579,1718.67
2010,805879.09,479195.55,478976.466622331,166233.38,288930.43,2700.9923745432,14814.5204114849,134.5547739781,219.0813990033,98526.06,,669.84,225795.14,1692.5
2009,681874.78,399684.82,,146611.31,222418.76,,,,,86643.15,,669.84,193112.47,1764.51
2008,538405.59,303394.64,,125181.65,154999.79,,,,,65301.87,,337.24,168431.11,940.73
2007,454267.97,261690.88,,114477.91,131539.08,,,,,62789.96,,337.24,128377.32,1072.57
2006,365168.25,225347.2,,98509.53,106512.4,,,,,39490.87,,337.24,98980.27,1074.59
2005,302042.8,194690.39,,87449.16,87460.42,,,,,34942.13,,337.24,71211.12,861.96
2004,261910.799780558,178197.78,,86836.83,76707.37,,,,,30934.53,,337.24,52592.64,682.9
2003,225313.26,158996.23,,83661.15,63401.4,,,,,30259.47,,337.24,34846.92,873.4
2002,184024.52,131293.93,,74247.9,48642.04,,,,,26789.73,,337.24,23223.34,798.22
2001,153539.78,112314.7,,67327.23,39238.08,,,,,22112.65,,256,17856.43,754.22
2000,133325.32,99371.07,,65748.07,27931.19,,,,,19651.07,,12.04,14291.14,576.3
