年份,黄金储备,外汇储备
2019,6264,31079.24
2018,5956,30727.12
2017,5924,31399.49
2016,5924,30105.17
2015,5666,33303.62
2014,3389,38430.18
2013,3389,38213.15
2012,3389,33115.89
2011,3389,31811.48
2010,3389,28473.38
2009,3389,23991.52
2008,1929,19460.3
2007,1929,15282.49
2006,1929,10663.44
2005,1929,8188.72
2004,1929,6099.32
2003,1929,4032.51
2002,1929,2864.07
2001,1608,2121.65
2000,1267,1655.74
