年份,金融机构人民币信贷资金来源,金融机构资金来源各项存款,金融机构资金来源各项存款中单位存款,金融机构资金来源各项存款中个人存款,金融机构资金来源各项存款中财政性存款,金融机构资金来源各项存款中临时性存款,金融机构资金来源各项存款中委托存款,金融机构资金来源金融债券,金融机构资金来源流通中货币,金融机构资金来源对国际金融机构负债
2019,2317003,1928785.33,,,40840.17,,,82923.9983974308,77189.4745230608,6
2018,2109164,1775226.0,,,40538.8,,,65433.0,73208.0,7
2017,1931934.40969403,1641044.22096114,,,41134.49,,,47999.5802068129,70645.5992424259,9.47275083349976
2016,1759952.27927466,1505863.83463538,,,35292.31,,,31578.874984571,68303.8678027842,2406.79
2015,1541203.7,1357021.61,,,34452.89,,,10061.8,63216.58,823.16
2014,1323453.03,1138644.64,565249.0,507831.0,35664.48,1098.0,442.0,9843.2,60259.53,867.18
2013,1174666.17,1043846.86451891,520826.0,466502.0,30133.47,1661.0,354.0,6681.0,58574.44,854.45
2012,1024067.49,917554.77,458821.04,411002.77,24426.41,1632.54,226.86,8487.57,54659.77,827.68
2011,913226.33,809368.332268253,410912.047525933,353536.429373464,26223.0684065455,1570.1383872952,308.472377897,10038.831938316,50748.4614963934,776.46
2010,805879.09,718237.93,244495.62,,25454.97,,6465.3510788028,13526.85,44628.17,720.08
2009,681874.78,597741.1,217109.99,,22411.49,,,16203.41,38245.97,761.72
2008,538405.59,466203.32,157632.21,,18040.44,,,20852.48,30218.96,732.59
2007,454267.97,389371.15,138673.7,,17632.46,,,11505.04,30334.32,947.28
2006,365168.252634129,335459.78,113215.69,,10926.68,,,6483.35,27072.62,926.34
2005,302042.84,287169.52,96143.74,,7996.26,,,5672.79,24031.67,641.57
2004,261910.8,241424.32,84670.57,,6236.17,,,3954.67,21468.3,562.2859656994
2003,225313.26,208055.59,72487.05,,5126.94,,,2226.27,19745.99,482.57
2002,184024.52,170917.4,60028.57,,3481.9,,,90.34,17278.03,423.05
2001,153539.78,143617.17,51546.63,,3369.75,,,51.38,15688.8,484.51
2000,133325.32,123804.35,44093.73,,3508.09,,,30.19,14652.65,368.3
