年份,境内上市公司数(A、B股),境内上市外资股公司数(B股),境外上市公司数(H股),股票总发行股本,流通股本,股票市价总值,股票流通市值,股票成交量,股票成交金额,上证综合指数(收盘),深证综合指数(收盘),股票有效账户数,上海平均市盈率,深圳平均市盈率,上海平均换手率,深圳平均换手率,国债发行额,企业债券发行额,债券成交额,国债现货成交金额,国债回购成交金额,证券投资基金只数,证券投资基金规模,证券投资基金成交金额,期货总成交量,期货总成交额
2019,3777,97,284,61719.92,52487.62,592934.57,483461.26,126624.29,1274158.8,3050.12,1722.95,,14.55,26.15,157.59,456.16,83715,,2473724,83530.2,2390193.8,6111,136937.42,91679.38,392135.56,2905739.1
2018,3584,99,267,57581.0306218701,49047.56644325,434924.032037033,353794.2,82037.25,901739.4,2493.9,1267.87,,12.49,20.0,150.91,356.9163,77063,,2405453.69530659,63821.9401074077,2341631.75519918,5580,128961.328225463,102704.590811377,301055.6519,2107973.7835314
2017,3485,100,252,53746.674,45044.871,567086.076,449298.152,87780.83872764,1124625.11139463,3307.1721,1899.3436,,16.3,36.21,180.47,412.88,82243,,2687635.65924917,55441.79,2632193.86605787,4848,110182.119602243,98051.8938,307102.17,1878925.88
2016,3052,100,241,48750.29,41136.05,507685.88,393401.67,95525.0,1277680.0,3103.64,1969.11,,15.939,41.21,158.43,541.7557,89886,,2387096,51270.0,2335826.0,3873,88428.0,111444.0,413777.0,1956316.0
2015,2827,101,229,43024.14,37043.37,531462.7,417880.75,171039.48,2550541.31,3539.18,2308.91,,17.6,52.8,489.63,826.28,58226,,1309219,33920.0,1275299.0,2723,76674.0,152685.0,357791.0,5542312.0
2014,2613,104,202,36795.1,32289.25,372546.96,315624.31,73383.09,742385.2632,3234.68,1415.19,,16.85,41.91,242.01,471.99,20247,,935357,,907166.0,1899,42033.0,47231.0,250586.0,2919882.0
2013,2489,106,185,33822.04,29997.12,239077.19,199579.53,48373.0,468729.0,2115.98,1057.67,,10.99,27.76,123.59,389.11,20230,,678405,803.75,661023.01,1552,31180.0,12562.0,206177.33,2674762.02
2012,2494,107,179,31833.61751537,24778.22797984,230357.62,181658.26,32860.54590829,314583.267,2269.13,881.17,,12.3,22.01,101.59,297.85,16154.2,37366.0,403426,914.18,393551.0,1173,31708.41,8667.0,145052.57,1711269.0
2011,2342,108,171,29745.11375502,22499.85937403,214758.1,164921.301,33956.56769781,421644.59,2199.42,866.65,14050.37,13.4,23.11,124.8,340.49,17100,20143.0,216417,1253.32,209510.0,914,26510.37,6365.8,105413.75,1375176.0
2010,2063,108,165,26984.48149244,19442.15355115,265422.59,193110.413,42151.9766912,545633.55,2808.08,1290.86,13391.04,21.61,44.69,198.0,557.0,19778.3,10043.38,1522585.2,1661.6563,70374.0,704,24228.35,8996.0,312890.02,2959480.02
2009,1718,108,159,20606.26,14200.19,243939.12,151258.65,51106.99,535987.0,3277.14,1201.34,12037.69,28.73,46.01,499.41,793.27,17927.24,15864.4,1180369.13,2085.71,35929.25,557,26767.05,10249.58,215751.76,1305142.92
2008,1625,109,153,18900.12,6964.97,121366.43,45213.9,24131.39,267112.66,1820.81,553.3,10449.69,14.86,16.72,392.52,469.11,8558.2,8435.4,956855.15,2122.51,24268.66,439,25741.79,5831.06,136395.97,719173.33
2007,1550,109,148,17000.4501,4933.6429,327141.0,93064.0,36403.748714,460556.2335,5261.56,1447.02,13886.18,59.24,69.74,927.19,987.42,23139.1,5058.5,628787.97,1267.28,18345.08,346,22339.8,8620.09,72846.08,409740.77
2006,1434,109,143,12683.99,3444.5,89403.89,25003.64,16145.23,90468.89,2675.474,550.59,7854.0,33.301,32.72,541.12,609.38,8883.3,3938.3,382839.23,1540.7075,15487.327,307,6220.67,2002.65,44950.8224,210063.372546
2005,1381,109,122,7629.51,2914.77,32430.2814,10630.5143,6623.732,31664.7762,1161.057,278.75,7336.07,16.33,16.36,274.37,316.43,7042,2046.5,228456.96,2780.6309,23621.173,218,4714.18,773.15,32287.41,134463.38
2004,1377,110,111,7149.43,2577.18,37055.5682,11688.6395,5827.7329,42333.9472,1266.5,315.81,7215.74,24.231,24.63,288.71,288.29,6923.9,327.0,127849.02,2966.46,44086.61,161,3308.79,479.47,30569.76,146935.32
2003,1287,111,93,6428.46,2269.92231608,42457.716,13178.517,4163.084,32115.27,1497.04,378.62,6981.24,36.54,36.19,250.75,214.18,6280.1,358.0,151368.51,5756.11,52999.85,95,1614.67,682.65,27992.4308,108396.5880968
2002,1224,111,75,5875.45,2036.90271945,38329.1286,12484.55,3016.1949,27990.4551,1357.65,388.76,6841.84,34.43,36.97,214.0,198.79,5934.3,325.0,106321.69,8708.68,24419.64,71,1318.85,1166.58,13943.3656,39490.2814324
2001,1160,112,60,5218.01,1813.17,43522.2039,14463.1700683457,3152.2876227,38305.18,1645.97,475.94,6898.68,37.71,39.79,269.332660951919,227.888010656812,4884,147.0,41030.69,4815.59,15487.63,51,804.23,2561.88,12046.3472,30144.9826754
2000,1088,114,52,3791.71,1354.26370679,48090.94433,16087.52,4758.38211587,60826.6499,2073.48,635.73,6123.24,58.217,56.03,492.872684199695,509.103181723112,4657,83.0,16363.02,4157.4883,14733.6805,34,562.0,2465.79,5461.0672,16082.2856192
