年份,境内上市公司数(A、B股),上交所境内上市公司数(A、B股),深交所境内上市公司数(A、B股),仅发A股境内上市公司数,发A、H股境内上市公司数,发A、B股境内上市公司数,仅发B股境内上市公司数
2019,3777,1572,2205,3760,,80,97
2018,3584,1450,2134,3567,,82,99
2017,3485,1396,2089,3467,,82,100
2016,3052,1182,1870,3034,,82,100
2015,2827,1081,1746,2808,,82,101
2014,2613,995,1618,2592,,83,104
2013,2489,953,1536,2468,,85,106
2012,2494,954,1540,2472,,85,107
2011,2342,931,1411,2320,72.0,86,108
2010,2063,894,1169,2041,65.0,86,108
2009,1718,870,848,1696,61.0,86,108
2008,1625,864,761,1602,57.0,86,109
2007,1550,860,690,1527,52.0,86,109
2006,1434,842,592,1411,38.0,86,109
2005,1381,834,547,1358,32.0,86,109
2004,1377,837,540,1363,31.0,96,110
2003,1287,780,507,1277,30.0,101,111
2002,1224,715,509,1213,28.0,100,111
2001,1160,646,514,1140,23.0,92,112
2000,1088,572,516,1060,19.0,86,114
