年份,境内上市公司数(A、B股),上市股票数目,A股股票数目,B股股票数目,股票总发行股本,A股发行股本,B股发行股本,流通股本,A股流通股本,B股流通股本,股票市价总值,A股市价总值,B股市价总值,股票流通市值,A股流通市值,B股流通市值,股票成交金额,A股成交金额,B股成交金额,总成交股数,A股成交股数,B股成交股数,上证综合指数最高,上证综合指数最低,上证综合指数收盘,深证综合指数最高,深证综合指数最低,深证综合指数收盘
2019,3777,3857,3760,97,61719.92,61428,292,52487.62,52197,291,592934.57,591623,1311,483461.26,482158,1304,1274158.8,1273572,587,126624.29,126509,116,3288.45,2440.91,3050.12,1799.1,1231.83,1722.95
2018,3584,3666,3567,99,57581.0306218701,57290.34865435,291.08105342,49047.56644325,48758.18642478,289.37866788,434924.032037033,433547.905583383,1376.1316887953,353794.2,352428.057908447,1366.14205710453,901739.4,901103.164220975,636.24105240826,82037.25,81926.95799179,110.29553097,3587.03,2449.2,2493.9,1966.15,1212.23,1267.87
2017,3485,3567,3467,100,53746.674,53461.939,284.735,45044.871,44761.426,283.445,567086.076,565254.863,1831.213,449298.152,447476.332,1821.82,1124625.11139463,1123647.87935512,977.23203951468,87780.83872764,87628.57316468,152.26556296,3450.5,3016.53,3307.17,2054.02,1753.53,1899.34
2016,3052,3134,3034,100,48750.29,48468.16,282.13,41136.05,40855.2,280.85,507685.88,505772.76,1913.12,393401.67,391498.97,1902.7,1277680.0,1276194.3,1486.02,95525.0,94480.5,210.03,3538.69,2638.3,3103.64,2304.49,1618.12,1969.11
2015,2827,2909,2808,101,43024.14,42753.16,270.98,37043.37,36773.67,269.7,531462.7,529251.65,2211.05,417880.75,415680.99,2199.76,2550541.31,2546837.74,3703.57,171039.48,170541,498.48,5178.19,2850.71,3539.18,3156.96,1408.99,2308.91
2014,2613,2696,2592,104,36795.1,36517.75,277.349999999999,32289.25,32013.11,276.139999999999,372546.96,370823.17,1723.78999999998,315624.31,313910.42,1713.89000000001,742385.2632,741378.0732,1007.19,73383.09,73188.22,194.87,3239.36,1974.38,3234.68,1504.48,1004.93,1415.19
2013,2489,2574,2468,106,33822.04,33538.25,283.79,29997.12,29714.53,282.59,239077.19,237403.27,1673.92,199579.53,197915.96,1663.57,468729.0,466632.02,1439.32,48373.0,47953.66,263.89,2444.8,1849.65,2115.98,1106.27,815.89,1057.67
2012,2494,2579,2472,107,31833.61751537,31551.23751537,282.38,24778.22797984,24497.05129823,281.17668161,230357.62,228775.33,1582.29,181658.26,180082.94,1575.32,314583.267,313715.137,868.13,32860.54590829,32681.9314,178.61450829,2478.38,1949.46,2269.13,1020.29,724.97,881.17
2011,2342,2428,2320,108,29745.11375502,29448.5950523,296.51870272,22499.85937403,22204.54167131,295.31770272,214758.1,213309.84,1448.26,164921.301,163479.065,1442.236,421644.59,420339.19,1305.4,33956.56769781,33748.7215,207.84619781,3067.46,2134.02,2199.42,1316.19,828.83,866.65
2010,2063,2149,2041,108,26984.48149244,26701.5155472,282.96594524,19442.15355115,19160.46960591,281.68394524,265422.59,263220.54,2202.05,193110.413,190917.102,2193.311,545633.55,543465.92,2167.63,42151.9766912,41806.4214,345.5552912,3306.75,2319.74,2808.08,1412.64,890.24,1290.86
