年份,社会融资规模,人民币贷款社会融资规模,外币贷款(折合人民币)社会融资规模,委托贷款社会融资规模,信托贷款社会融资规模,未贴现银行承兑汇票社会融资规模,企业债券社会融资规模,非金融企业境内股票社会融资规模
2019,256735.101680277,168834.906145055,-1275.2196449133,-9395.7054622566,-3466.67264656299,-4756.76294562529,33383.5893912604,3478.57
2018,224920.182902791,156712.410737959,-4201.39751041782,-16061.7142949895,-6975.30489084682,-6342.9274505233,26317.5808428278,3605.502
2017,261535.862767119,138432.388671782,18.0581000509899,7993.5636202586,22232.2032912509,5363.9120973683,6244.35150266,8758.67
2016,177999.0,124372.365884501,-5639.57777308801,21854.2904272785,8592.90461002839,-19514.1128639216,29865.0,12415.56
2015,154063.408016402,112692.903257009,-6427.12755244191,15911.4006433468,433.736565354404,-10567.1103836489,29388.119979,7589.84
2014,158760.804390117,97451.9845540149,1235.13987461871,21739.8754557234,5174.1636636108,-1198.24090149551,24328.692172,4349.62
2013,173168.86944334,88916.2177970827,5847.93174933137,25465.8134565578,18403.8233900615,7755.65541204741,18111.17974,2218.72
2012,157631.266516801,82037.6266203772,9162.99271884997,12837.6666901317,12845.4423096,10498.8238575387,22551.010019,2507.85
2011,128286.07086372,74715.4743787374,5712.18282405481,12961.5372928542,2034.1680164,10270.9143886544,13657.66,4376.79
2010,140191.047596653,79451.1230679194,4854.51986852067,8748.176376,3865.067003,23345.648109984,11062.5215,5786.48
2009,139104.391775481,95941.6322723074,9264.64440785443,6779.530928,4363.641434,4606.1583090253,12366.78,3349.86593777
2008,69802.1356311393,49041.23,1946.93793388343,4261.664021,3144.375965,1064.47,5522.76,3323.8719002559
2007,59663.2714836465,36322.5,3864.46002728333,3371.328447,1702.46864,6701.35,2284.03,4333.2338483632
2006,42696.3199185334,31522.52,1459.24302218509,2695.2427,825.242769,1500.01,2309.77,1536.3332293483
2005,30007.913488,23543.82,1415.283706,1961.456676,,23.5700000000006,2009.5,339.0251
2004,28629.153531408,22673.28,1381.176542,3117.671211,,-289.71,466.79098,673.000535408
2003,34113.2201665571,27651.67,2285.037643,600.553925,,2010.36,499.21018,559.4228985571
2002,20112.111201,18475.01,730.529414,175.299752000001,,-694.61,366.5,627.73
2001,,,,,,,,
2000,,,,,,,,
