年份,大中型工业企业集体资本金,煤炭开采和洗选业大中型工业企业集体资本金,石油和天然气开采业大中型工业企业集体资本金,黑色金属矿采选业大中型工业企业集体资本金,有色金属矿采选业大中型工业企业集体资本金,非金属矿采选业大中型工业企业集体资本金,其他采矿业大中型工业企业集体资本金,农副食品加工业大中型工业企业集体资本金,食品制造业大中型工业企业集体资本金,饮料制造业大中型工业企业集体资本金,烟草制品业大中型工业企业集体资本金,纺织业大中型工业企业集体资本金,纺织服装、鞋、帽制造业大中型工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业集体资本金,家具制造业大中型工业企业集体资本金,造纸及纸制品业大中型工业企业集体资本金,印刷业和记录媒介的复制大中型工业企业集体资本金,文教体育用品制造业大中型工业企业集体资本金,石油加工、炼焦及核燃料加工业大中型工业企业集体资本金,化学原料及化学制品制造业大中型工业企业集体资本金,医药制造业大中型工业企业集体资本金,化学纤维制造业大中型工业企业集体资本金,橡胶制品业大中型工业企业集体资本金,塑料制品业大中型工业企业集体资本金,非金属矿物制品业大中型工业企业集体资本金,黑色金属冶炼及压延加工业大中型工业企业集体资本金,有色金属冶炼及压延加工业大中型工业企业集体资本金,金属制品业大中型工业企业集体资本金,通用设备制造业大中型工业企业集体资本金,专用设备制造业大中型工业企业集体资本金,交通运输设备制造业大中型工业企业集体资本金,电气机械及器材制造业大中型工业企业集体资本金,通信设备、计算机及其他电子设备制造大中型工业企业集体资本金,仪器仪表及文化、办公用机械制造业大中型工业企业集体资本金,工艺品及其他制造业大中型工业企业集体资本金,废弃资源和废旧材料回收加工业大中型工业企业集体资本金,电力、热力的生产和供应业大中型工业企业集体资本金,燃气生产和供应业大中型工业企业集体资本金,水的生产和供应业大中型工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1344.29013,104.88456,13.65053,9.35443,18.82556,4.07085,0.005,35.98053,16.39236,34.17067,3.4617,42.35085,13.51475,4.24449,6.28014,1.32506,40.02625,11.17781,2.63247,20.45959,75.34967,62.61173,12.17716,10.07094,12.28496,86.01676,333.55477,35.43779,17.24682,38.87426,31.78515,75.25315,69.78206,23.47331,5.41114,6.26138,2.01005,61.42539,0.22067,2.23537
2010,996.1089,94.54509,14.12306,7.85537,19.53728,1.23447,,44.32304,14.91119,33.4753,1.5595,31.55032,9.49757,3.19232,4.06924,2.94449,49.32736,9.81738,6.99923,21.61299,65.8496,44.83133,11.67116,14.62097,8.45875,74.25572,104.96744,45.77689,19.5697,35.38258,28.6552,46.51189,48.93495,37.62535,2.82903,5.58305,1.97122,25.93552,0.81734,1.28601
2009,997.08789,67.70011,15.85286,5.52918,21.92449,1.96902,,34.2728,14.69665,13.39766,1.66503,41.04628,11.7894,4.43353,4.26652,1.40211,58.70763,9.49787,2.39111,15.87477,50.53195,36.73672,8.59876,6.52599,9.31794,93.23666,106.08109,35.46673,19.98708,39.51488,23.5675,35.0906,84.51175,39.00723,2.82259,5.22113,2.64048,42.66796,14.33051,14.81332
2008,1001.36912,78.21701,15.68195,6.0764,19.0722,3.75965,,42.96635,22.69942,12.36242,1.22048,50.51725,14.19216,4.48638,8.12113,2.1615,46.9813,13.3958,2.72563,10.75073,71.25143,44.93193,4.6872,4.23484,17.81828,77.93393,98.82671,48.27537,25.73184,32.07258,22.30893,40.0829,72.26536,18.08718,4.19478,6.54754,1.34555,45.57019,7.0394,2.77542
2007,1085.00931,56.78009,19.87808,5.15316,10.00341,2.67002,,40.8003,36.71285,20.55076,3.66932,63.31905,14.84728,6.06926,3.12572,1.40043,38.30122,9.83258,3.5831,24.31062,61.21284,31.12541,12.72634,4.63424,12.73046,79.37841,86.83493,71.3318,16.59485,31.42302,20.62375,63.39218,66.14296,86.2822,7.90173,9.25074,0.096,51.04212,1.22272,10.05536
2006,884.86726,38.25507,19.39663,6.579,6.11705,2.49135,,44.13692,18.18126,26.19941,2.49774,45.38051,15.82358,5.6541,4.33025,0.97923,36.68686,6.81987,2.96596,29.62523,68.51699,36.43074,9.08399,4.10911,11.50612,71.91135,57.98444,30.71685,24.41066,27.55245,23.82546,42.31157,59.39926,62.41158,2.47996,8.39173,0.88861,23.88461,0.95987,5.97189
