年份,大中型工业企业应交所得税,煤炭开采和洗选业大中型工业企业应交所得税,石油和天然气开采业大中型工业企业应交所得税,黑色金属矿采选业大中型工业企业应交所得税,有色金属矿采选业大中型工业企业应交所得税,非金属矿采选业大中型工业企业应交所得税,其他采矿业大中型工业企业应交所得税,农副食品加工业大中型工业企业应交所得税,食品制造业大中型工业企业应交所得税,饮料制造业大中型工业企业应交所得税,烟草制品业大中型工业企业应交所得税,纺织业大中型工业企业应交所得税,纺织服装、鞋、帽制造业大中型工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业大中型工业企业应交所得税,家具制造业大中型工业企业应交所得税,造纸及纸制品业大中型工业企业应交所得税,印刷业和记录媒介的复制大中型工业企业应交所得税,文教体育用品制造业大中型工业企业应交所得税,石油加工、炼焦及核燃料加工业大中型工业企业应交所得税,化学原料及化学制品制造业大中型工业企业应交所得税,医药制造业大中型工业企业应交所得税,化学纤维制造业大中型工业企业应交所得税,橡胶制品业大中型工业企业应交所得税,塑料制品业大中型工业企业应交所得税,非金属矿物制品业大中型工业企业应交所得税,黑色金属冶炼及压延加工业大中型工业企业应交所得税,有色金属冶炼及压延加工业大中型工业企业应交所得税,金属制品业大中型工业企业应交所得税,通用设备制造业大中型工业企业应交所得税,专用设备制造业大中型工业企业应交所得税,交通运输设备制造业大中型工业企业应交所得税,电气机械及器材制造业大中型工业企业应交所得税,通信设备、计算机及其他电子设备制造大中型工业企业应交所得税,仪器仪表及文化、办公用机械制造业大中型工业企业应交所得税,工艺品及其他制造业大中型工业企业应交所得税,废弃资源和废旧材料回收加工业大中型工业企业应交所得税,电力、热力的生产和供应业大中型工业企业应交所得税,燃气生产和供应业大中型工业企业应交所得税,水的生产和供应业大中型工业企业应交所得税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6032.76469,795.78684,402.13269,114.73514,79.4568,14.6083,0.00228,122.05682,114.08207,186.75553,169.34746,152.28326,85.95764,57.52337,19.17493,29.95073,55.44727,25.27291,14.22169,101.26298,373.84238,156.13172,39.31351,43.41881,55.96843,252.65879,232.64528,175.37018,90.46215,229.2033,169.49557,656.36003,298.80364,312.71515,59.09848,31.21259,5.72755,274.37293,24.22173,11.68376
2010,4854.26973,548.6189,325.73972,73.04991,45.95966,7.15077,0.028,91.31084,77.83557,134.16938,171.81034,119.31176,60.69022,37.10062,11.67143,15.99271,49.15555,20.75693,9.69225,156.8066,250.54449,119.66242,32.63082,32.55905,44.64685,166.40895,231.18553,104.23066,75.52485,187.00866,142.02251,571.96282,274.63611,283.21084,45.82576,20.96759,4.57814,285.81102,13.95283,10.04867
2009,3294.44968,353.03423,172.51322,35.66997,28.27693,4.98488,,57.77697,54.11627,100.72691,162.68547,73.44412,41.28734,26.35301,8.89583,9.48542,40.48942,17.82319,8.63453,125.50705,165.41999,95.74155,14.26652,26.33197,29.52003,107.44412,173.13493,88.56871,49.35551,127.55647,91.25852,320.00517,184.317,214.95152,30.7565,15.33056,0.9654,223.15677,9.8819,4.78178
2008,3168.55043,375.03496,344.5171,81.37273,41.31304,10.46522,,51.23614,42.48018,80.29896,176.77408,68.06763,34.83463,21.43668,9.49836,7.36593,31.78361,14.09337,6.19948,46.68489,180.08264,83.50492,8.73928,13.26557,23.86163,84.2391,213.67586,98.22391,41.91927,115.23166,74.78287,197.27431,156.50161,183.70482,25.4317,11.85611,0.50896,197.52262,8.83989,5.92671
2007,3071.25251,178.02892,265.74464,42.23717,56.90645,6.1905,,46.14602,32.56063,69.36522,197.94235,77.95654,33.11461,19.98734,8.59293,7.74524,32.38987,15.41757,4.61549,89.68388,179.69933,68.08669,17.78454,18.00665,23.68045,70.91725,364.45248,152.85871,35.03449,105.04035,63.03799,150.20739,128.67265,129.64599,20.13243,11.47036,0.79204,335.38343,6.15979,5.56413
