年份,大中型工业企业出口交货值,煤炭开采和洗选业大中型工业企业出口交货值,石油和天然气开采业大中型工业企业出口交货值,黑色金属矿采选业大中型工业企业出口交货值,有色金属矿采选业大中型工业企业出口交货值,非金属矿采选业大中型工业企业出口交货值,其他采矿业大中型工业企业出口交货值,农副食品加工业大中型工业企业出口交货值,食品制造业大中型工业企业出口交货值,饮料制造业大中型工业企业出口交货值,烟草制品业大中型工业企业出口交货值,纺织业大中型工业企业出口交货值,纺织服装、鞋、帽制造业大中型工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业大中型工业企业出口交货值,家具制造业大中型工业企业出口交货值,造纸及纸制品业大中型工业企业出口交货值,印刷业和记录媒介的复制大中型工业企业出口交货值,文教体育用品制造业大中型工业企业出口交货值,石油加工、炼焦及核燃料加工业大中型工业企业出口交货值,化学原料及化学制品制造业大中型工业企业出口交货值,医药制造业大中型工业企业出口交货值,化学纤维制造业大中型工业企业出口交货值,橡胶制品业大中型工业企业出口交货值,塑料制品业大中型工业企业出口交货值,非金属矿物制品业大中型工业企业出口交货值,黑色金属冶炼及压延加工业大中型工业企业出口交货值,有色金属冶炼及压延加工业大中型工业企业出口交货值,金属制品业大中型工业企业出口交货值,通用设备制造业大中型工业企业出口交货值,专用设备制造业大中型工业企业出口交货值,交通运输设备制造业大中型工业企业出口交货值,电气机械及器材制造业大中型工业企业出口交货值,通信设备、计算机及其他电子设备制造大中型工业企业出口交货值,仪器仪表及文化、办公用机械制造业大中型工业企业出口交货值,工艺品及其他制造业大中型工业企业出口交货值,废弃资源和废旧材料回收加工业大中型工业企业出口交货值,电力、热力的生产和供应业大中型工业企业出口交货值,燃气生产和供应业大中型工业企业出口交货值,水的生产和供应业大中型工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,81508.90672,51.75407,72.43025,2.16686,0.67961,10.05684,,1228.33568,467.0032,117.77572,30.78148,3166.92724,2056.46322,1812.47398,368.07726,844.52775,458.48371,220.1405,1002.77967,347.24145,2203.18968,756.04328,380.68947,1123.52816,1298.84524,1060.50626,1869.44359,1031.66188,1946.64839,2628.70741,1678.03185,6124.91807,7944.60138,36109.24154,1854.74011,1110.07192,16.42658,53.16823,31.14004,29.20515
2010,70408.41578,117.21674,59.47268,0.06921,6.27929,6.96827,,976.52532,392.55879,82.51904,27.39015,2642.76305,1627.47977,1520.95674,270.57835,706.56152,490.51518,209.81341,775.70166,374.7222,1814.35113,688.94362,285.08134,850.68981,1173.44704,888.8173,1503.87449,798.22314,1620.04341,2118.6743,1363.12762,5259.7996,6423.35292,32837.25879,1695.37396,736.15099,,25.06563,9.36645,28.68287
2009,54782.05714,68.96608,98.20905,0.06474,2.47541,9.80442,,809.14763,324.5958,64.14308,22.62924,2078.21723,1451.90924,1203.4736,260.87076,593.30754,299.1589,174.54638,711.62169,345.99626,1234.26859,528.28316,213.99101,706.83683,906.31037,642.31789,829.00281,526.67236,1143.87343,1754.12806,980.94928,4158.54392,4727.21664,25853.91025,1392.56317,577.14794,,37.22426,22.13897,27.54115
2008,63215.54902,146.63468,216.43583,2.8929,5.9157,11.07312,,798.36552,333.43499,78.28543,20.81763,2302.29601,1523.8768,1289.27747,251.20249,683.95229,361.11972,180.85681,784.9431,358.78937,1560.71368,540.55003,276.81755,749.96761,1088.21999,785.91297,2752.4926,861.93999,1871.28119,2261.32669,1271.82636,4470.42702,5356.57495,27550.41727,1763.079,651.95221,0.006,10.26689,14.50735,27.09981
2007,56547.76339,156.98821,114.28817,7.61501,11.63588,12.10913,,693.27959,302.31796,76.18399,24.39743,2310.77137,1479.20935,1320.6873,241.70069,662.95515,371.05993,151.28862,722.26428,343.43209,1281.1898,477.02203,293.44862,677.2163,968.13845,755.97894,2214.31361,895.34597,1731.5048,1852.72145,995.44743,3284.44615,4678.03111,25115.85504,1699.03646,565.35752,,20.81259,14.39014,25.32283
