年份,大中型工业企业外商资本金,煤炭开采和洗选业大中型工业企业外商资本金,石油和天然气开采业大中型工业企业外商资本金,黑色金属矿采选业大中型工业企业外商资本金,有色金属矿采选业大中型工业企业外商资本金,非金属矿采选业大中型工业企业外商资本金,其他采矿业大中型工业企业外商资本金,农副食品加工业大中型工业企业外商资本金,食品制造业大中型工业企业外商资本金,饮料制造业大中型工业企业外商资本金,烟草制品业大中型工业企业外商资本金,纺织业大中型工业企业外商资本金,纺织服装、鞋、帽制造业大中型工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业外商资本金,家具制造业大中型工业企业外商资本金,造纸及纸制品业大中型工业企业外商资本金,印刷业和记录媒介的复制大中型工业企业外商资本金,文教体育用品制造业大中型工业企业外商资本金,石油加工、炼焦及核燃料加工业大中型工业企业外商资本金,化学原料及化学制品制造业大中型工业企业外商资本金,医药制造业大中型工业企业外商资本金,化学纤维制造业大中型工业企业外商资本金,橡胶制品业大中型工业企业外商资本金,塑料制品业大中型工业企业外商资本金,非金属矿物制品业大中型工业企业外商资本金,黑色金属冶炼及压延加工业大中型工业企业外商资本金,有色金属冶炼及压延加工业大中型工业企业外商资本金,金属制品业大中型工业企业外商资本金,通用设备制造业大中型工业企业外商资本金,专用设备制造业大中型工业企业外商资本金,交通运输设备制造业大中型工业企业外商资本金,电气机械及器材制造业大中型工业企业外商资本金,通信设备、计算机及其他电子设备制造大中型工业企业外商资本金,仪器仪表及文化、办公用机械制造业大中型工业企业外商资本金,工艺品及其他制造业大中型工业企业外商资本金,废弃资源和废旧材料回收加工业大中型工业企业外商资本金,电力、热力的生产和供应业大中型工业企业外商资本金,燃气生产和供应业大中型工业企业外商资本金,水的生产和供应业大中型工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,13861.58403,33.61077,0.69807,3.42026,3.89578,4.92028,,317.24334,299.98337,306.89617,0.42415,296.82366,146.32209,164.98311,40.4544,93.33981,652.6147,33.7505,109.47816,117.00309,1150.87375,296.27171,96.90279,331.98099,245.20699,406.92938,335.47118,203.51164,268.49524,731.95704,469.44547,1713.76348,1070.63751,3270.91374,240.81604,74.9935,3.0165,155.01569,79.22062,90.29906
2010,12970.80582,27.24647,5.1898,0.628,6.20418,4.51634,,246.59727,282.78874,298.08516,,336.37382,126.7984,142.7896,50.75869,103.00113,509.6313,47.94075,87.81214,100.7525,1052.79603,311.29023,99.51145,333.10382,224.21246,400.26169,305.28075,221.49532,239.83384,678.1003,401.01508,1527.57309,947.51993,3201.86995,197.58591,58.5357,2.33757,259.2485,54.96197,77.15794
2009,11376.557,25.43103,5.02222,0.628,11.55923,5.88401,,222.46048,221.39119,298.97039,,260.87211,128.1696,135.01821,47.40577,88.29136,390.50897,45.10034,89.3891,119.3307,802.39268,243.39259,94.53421,271.94834,229.32322,376.06172,306.16157,176.92367,202.72187,587.01484,312.38116,1306.5094,870.59983,2814.165,220.25003,58.35821,1.58999,263.72412,61.9472,81.12464
2008,10950.44027,24.04873,0.01806,2.70761,9.28012,5.48222,,208.9384,228.16852,245.88111,,272.9477,148.62504,145.00302,39.98164,80.71028,385.56031,28.83864,87.46478,120.72272,667.20646,225.73117,93.85112,246.18487,229.84893,358.25662,314.20391,174.99341,207.0554,527.35235,269.74121,1246.19836,833.28215,2832.86008,192.3532,55.80094,3.16651,308.93403,45.63264,83.40801
2007,9553.01052,21.53867,10.75696,1.4285,12.15043,4.76468,,169.78359,226.46698,222.40918,,236.5317,128.06429,128.25896,27.05878,74.59073,349.08986,22.17215,76.42306,69.70702,627.81174,200.23758,88.22513,211.14096,160.37806,343.72866,295.57843,118.71496,186.94273,444.06761,221.01003,1029.33871,698.21929,2583.39643,153.84625,44.48606,0.21567,213.80547,53.59552,97.07569
2006,7735.43915,21.40082,9.1042,,0.99116,1.35407,,155.33314,182.21411,200.09514,0.44414,216.28315,95.33262,107.14516,28.47566,57.40931,281.86023,15.67365,51.73403,32.84511,527.87869,134.15327,78.07895,158.03754,137.02132,260.62431,214.58862,87.75433,147.75667,396.04098,173.12884,853.10848,500.56991,2128.41508,149.67029,39.29764,0.50347,182.35029,17.33968,91.42509
