年份,大中型工业企业累计折旧,煤炭开采和洗选业大中型工业企业累计折旧,石油和天然气开采业大中型工业企业累计折旧,黑色金属矿采选业大中型工业企业累计折旧,有色金属矿采选业大中型工业企业累计折旧,非金属矿采选业大中型工业企业累计折旧,其他采矿业大中型工业企业累计折旧,农副食品加工业大中型工业企业累计折旧,食品制造业大中型工业企业累计折旧,饮料制造业大中型工业企业累计折旧,烟草制品业大中型工业企业累计折旧,纺织业大中型工业企业累计折旧,纺织服装、鞋、帽制造业大中型工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业大中型工业企业累计折旧,家具制造业大中型工业企业累计折旧,造纸及纸制品业大中型工业企业累计折旧,印刷业和记录媒介的复制大中型工业企业累计折旧,文教体育用品制造业大中型工业企业累计折旧,石油加工、炼焦及核燃料加工业大中型工业企业累计折旧,化学原料及化学制品制造业大中型工业企业累计折旧,医药制造业大中型工业企业累计折旧,化学纤维制造业大中型工业企业累计折旧,橡胶制品业大中型工业企业累计折旧,塑料制品业大中型工业企业累计折旧,非金属矿物制品业大中型工业企业累计折旧,黑色金属冶炼及压延加工业大中型工业企业累计折旧,有色金属冶炼及压延加工业大中型工业企业累计折旧,金属制品业大中型工业企业累计折旧,通用设备制造业大中型工业企业累计折旧,专用设备制造业大中型工业企业累计折旧,交通运输设备制造业大中型工业企业累计折旧,电气机械及器材制造业大中型工业企业累计折旧,通信设备、计算机及其他电子设备制造大中型工业企业累计折旧,仪器仪表及文化、办公用机械制造业大中型工业企业累计折旧,工艺品及其他制造业大中型工业企业累计折旧,废弃资源和废旧材料回收加工业大中型工业企业累计折旧,电力、热力的生产和供应业大中型工业企业累计折旧,燃气生产和供应业大中型工业企业累计折旧,水的生产和供应业大中型工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,123529.47892,6193.84211,9624.03082,548.64337,295.13406,309.30231,0.02048,2753.47597,1106.99686,1291.46992,949.68835,2886.85528,815.77101,386.90804,491.85836,270.70012,2231.55591,460.8404,211.42961,5376.44355,7647.25448,1586.69358,995.57166,957.58856,975.07455,3430.5344,13327.17705,3696.79451,1144.87865,2847.11244,2093.96497,7117.13444,5210.69818,8408.75142,656.72824,342.75907,96.0888,25223.22727,366.40068,1200.07944
2010,95774.75013,4817.10091,7368.37182,357.01449,255.57589,157.74471,1.72,1936.50889,783.26959,1056.8128,923.20262,2243.82647,498.11747,306.58087,268.41591,183.32206,1272.82872,363.15765,170.90635,4368.36288,5935.55346,1242.63078,728.49445,687.58226,741.11046,2535.19208,10572.10812,2924.71021,879.13846,2151.94254,1521.26369,5672.88412,2571.68615,6564.60939,494.67481,225.14545,42.97123,21632.114,285.09789,1033.00048
2009,76987.17454,3795.09509,6704.5611,235.152,212.12573,118.70269,,1365.61358,637.62324,849.0531,858.82234,1805.30602,437.09304,245.76076,197.38204,144.3324,1037.50926,323.079,158.66827,3636.93794,4653.32809,971.23269,591.84831,552.18507,587.68539,2045.84794,7985.30753,2297.78597,698.97407,1668.67228,1120.01842,4062.60564,2013.44398,5200.49539,379.59423,172.99642,25.20048,18040.08273,281.39289,875.65942
2008,67716.17919,2896.63408,6314.66461,247.53708,185.37636,117.34697,,813.42314,544.72559,859.42153,774.9108,1739.95295,392.06308,228.53681,165.85238,126.50976,960.88655,314.84566,147.07214,3218.01632,4207.23285,883.93095,612.82474,474.60672,517.57633,1811.60018,6661.20009,1725.32915,617.78315,1544.39462,1044.58755,3534.07304,1789.54093,4543.16525,322.37133,157.96011,17.55759,16178.69561,229.10261,794.87058
2007,56035.10096,2555.37141,6417.70819,179.07212,147.28057,92.55292,,600.95733,462.32742,670.57751,704.31391,1550.22659,296.17728,185.57299,137.95442,100.15386,747.41,271.19322,121.49086,2485.80055,3358.9705,748.79923,623.99747,374.61615,424.25257,1511.80927,5486.39461,1391.74549,448.62672,1132.4372,759.14973,2887.90997,1251.25483,3488.07093,274.13236,125.17167,7.79947,13128.41196,198.99529,686.41439
