年份,大中型工业企业固定资产原价合计,煤炭开采和洗选业大中型工业企业固定资产原价合计,石油和天然气开采业大中型工业企业固定资产原价合计,黑色金属矿采选业大中型工业企业固定资产原价合计,有色金属矿采选业大中型工业企业固定资产原价合计,非金属矿采选业大中型工业企业固定资产原价合计,其他采矿业大中型工业企业固定资产原价合计,农副食品加工业大中型工业企业固定资产原价合计,食品制造业大中型工业企业固定资产原价合计,饮料制造业大中型工业企业固定资产原价合计,烟草制品业大中型工业企业固定资产原价合计,纺织业大中型工业企业固定资产原价合计,纺织服装、鞋、帽制造业大中型工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业固定资产原价合计,家具制造业大中型工业企业固定资产原价合计,造纸及纸制品业大中型工业企业固定资产原价合计,印刷业和记录媒介的复制大中型工业企业固定资产原价合计,文教体育用品制造业大中型工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业大中型工业企业固定资产原价合计,化学原料及化学制品制造业大中型工业企业固定资产原价合计,医药制造业大中型工业企业固定资产原价合计,化学纤维制造业大中型工业企业固定资产原价合计,橡胶制品业大中型工业企业固定资产原价合计,塑料制品业大中型工业企业固定资产原价合计,非金属矿物制品业大中型工业企业固定资产原价合计,黑色金属冶炼及压延加工业大中型工业企业固定资产原价合计,有色金属冶炼及压延加工业大中型工业企业固定资产原价合计,金属制品业大中型工业企业固定资产原价合计,通用设备制造业大中型工业企业固定资产原价合计,专用设备制造业大中型工业企业固定资产原价合计,交通运输设备制造业大中型工业企业固定资产原价合计,电气机械及器材制造业大中型工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造大中型工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业大中型工业企业固定资产原价合计,工艺品及其他制造业大中型工业企业固定资产原价合计,废弃资源和废旧材料回收加工业大中型工业企业固定资产原价合计,电力、热力的生产和供应业大中型工业企业固定资产原价合计,燃气生产和供应业大中型工业企业固定资产原价合计,水的生产和供应业大中型工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,293602.20126,16044.93872,21495.84403,1860.17243,976.07157,633.9844,0.06917,5698.09204,2816.32667,3199.35626,1826.69293,6920.64213,1958.28652,1048.42898,985.59599,705.32282,5268.40098,923.24858,509.14966,11768.90699,19154.16277,3719.15249,2341.67848,2304.82536,2152.47269,10437.4926,29750.9436,9954.47349,2959.77905,6832.98908,5090.97788,16830.53373,10280.84005,16517.82218,1447.18738,890.97466,221.06644,63611.71024,1296.44172,3167.1465
2010,247961.88633,12843.52851,16417.01313,1369.41303,893.32546,366.96957,3.7,4410.78808,2199.40986,2626.05779,1760.5511,5836.51632,1343.22864,847.81858,699.88197,501.98743,3989.86131,798.80774,427.5998,10453.2389,15931.58308,3101.95751,1812.46312,1811.95961,1765.09687,8286.92655,26444.36598,8560.67057,2463.32287,5691.57233,4040.33263,14018.44207,6768.16188,15778.18812,1244.48201,589.629,103.35526,57727.78021,1091.28562,2940.61382
2009,205253.20084,10736.9976,15132.5403,738.20124,687.14275,333.35392,,3480.39292,1830.99604,2258.47756,1603.22721,4999.29187,1178.82503,695.0133,525.05219,399.43112,3367.95619,751.03437,409.09475,8591.10565,12565.10434,2557.4563,1595.29522,1557.33078,1451.92617,6649.18716,21880.32313,6646.87436,2004.17637,4437.83685,3114.289,10973.69358,5260.39265,11667.4314,922.77781,502.48113,90.19295,50206.14688,955.93947,2496.21128
2008,180024.58909,8660.84486,13961.58528,702.60234,617.89324,318.99467,,2484.61085,1590.10845,2077.00205,1449.81473,4870.57428,1122.2071,634.36893,480.42131,390.35799,3159.17561,706.96266,377.89168,6933.01367,10772.54241,2343.68504,1617.75609,1369.65906,1324.99943,5688.58224,18548.34992,5663.11341,1748.83579,4025.2356,2884.42748,9620.24523,4498.09451,10636.93514,816.59586,450.3468,76.1207,44406.30455,804.93352,2189.39661
