年份,大中型工业企业亏损企业单位数,煤炭开采和洗选业大中型工业企业亏损企业单位数,石油和天然气开采业大中型工业企业亏损企业单位数,黑色金属矿采选业大中型工业企业亏损企业单位数,有色金属矿采选业大中型工业企业亏损企业单位数,非金属矿采选业大中型工业企业亏损企业单位数,其他采矿业大中型工业企业亏损企业单位数,农副食品加工业大中型工业企业亏损企业单位数,食品制造业大中型工业企业亏损企业单位数,饮料制造业大中型工业企业亏损企业单位数,烟草制品业大中型工业企业亏损企业单位数,纺织业大中型工业企业亏损企业单位数,纺织服装、鞋、帽制造业大中型工业企业亏损企业单位数,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业亏损企业单位数,木材加工及木、竹、藤、棕、草制品业大中型工业企业亏损企业单位数,家具制造业大中型工业企业亏损企业单位数,造纸及纸制品业大中型工业企业亏损企业单位数,印刷业和记录媒介的复制大中型工业企业亏损企业单位数,文教体育用品制造业大中型工业企业亏损企业单位数,石油加工、炼焦及核燃料加工业大中型工业企业亏损企业单位数,化学原料及化学制品制造业大中型工业企业亏损企业单位数,医药制造业大中型工业企业亏损企业单位数,化学纤维制造业大中型工业企业亏损企业单位数,橡胶制品业大中型工业企业亏损企业单位数,塑料制品业大中型工业企业亏损企业单位数,非金属矿物制品业大中型工业企业亏损企业单位数,黑色金属冶炼及压延加工业大中型工业企业亏损企业单位数,有色金属冶炼及压延加工业大中型工业企业亏损企业单位数,金属制品业大中型工业企业亏损企业单位数,通用设备制造业大中型工业企业亏损企业单位数,专用设备制造业大中型工业企业亏损企业单位数,交通运输设备制造业大中型工业企业亏损企业单位数,电气机械及器材制造业大中型工业企业亏损企业单位数,通信设备、计算机及其他电子设备制造大中型工业企业亏损企业单位数,仪器仪表及文化、办公用机械制造业大中型工业企业亏损企业单位数,工艺品及其他制造业大中型工业企业亏损企业单位数,废弃资源和废旧材料回收加工业大中型工业企业亏损企业单位数,电力、热力的生产和供应业大中型工业企业亏损企业单位数,燃气生产和供应业大中型工业企业亏损企业单位数,水的生产和供应业大中型工业企业亏损企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7002.0,215.0,16.0,20.0,23.0,9.0,,134.0,114.0,135.0,4.0,504.0,340.0,160.0,39.0,105.0,115.0,58.0,112.0,187.0,350.0,103.0,42.0,88.0,193.0,392.0,202.0,153.0,184.0,236.0,197.0,376.0,475.0,741.0,92.0,100.0,12.0,622.0,27.0,127.0
2010,4712.0,134.0,21.0,16.0,20.0,9.0,,92.0,120.0,112.0,4.0,281.0,149.0,74.0,28.0,60.0,84.0,50.0,67.0,147.0,340.0,71.0,15.0,60.0,120.0,276.0,179.0,131.0,103.0,166.0,127.0,241.0,248.0,494.0,39.0,45.0,4.0,452.0,27.0,106.0
2009,5877.0,137.0,18.0,39.0,27.0,11.0,,153.0,95.0,134.0,1.0,492.0,169.0,93.0,44.0,72.0,100.0,50.0,92.0,143.0,449.0,91.0,30.0,50.0,153.0,351.0,256.0,185.0,161.0,245.0,185.0,240.0,288.0,566.0,60.0,64.0,5.0,494.0,33.0,101.0
2008,7130.0,99.0,19.0,13.0,23.0,11.0,,189.0,139.0,146.0,3.0,652.0,233.0,137.0,45.0,106.0,128.0,69.0,159.0,161.0,392.0,101.0,62.0,95.0,197.0,372.0,289.0,225.0,186.0,257.0,223.0,345.0,405.0,703.0,98.0,73.0,15.0,633.0,33.0,94.0
2007,4855.0,95.0,5.0,8.0,13.0,8.0,,107.0,109.0,127.0,3.0,493.0,159.0,90.0,41.0,71.0,101.0,52.0,85.0,94.0,238.0,91.0,38.0,67.0,166.0,288.0,139.0,98.0,127.0,185.0,152.0,277.0,283.0,469.0,68.0,52.0,2.0,339.0,34.0,81.0
2006,4812.0,108.0,5.0,19.0,15.0,11.0,,110.0,99.0,105.0,1.0,487.0,128.0,64.0,38.0,46.0,107.0,40.0,65.0,143.0,281.0,115.0,43.0,65.0,134.0,356.0,220.0,78.0,120.0,190.0,140.0,261.0,268.0,405.0,61.0,36.0,2.0,324.0,43.0,79.0
