年份,大中型工业企业固定资产合计,煤炭开采和洗选业大中型工业企业固定资产合计,石油和天然气开采业大中型工业企业固定资产合计,黑色金属矿采选业大中型工业企业固定资产合计,有色金属矿采选业大中型工业企业固定资产合计,非金属矿采选业大中型工业企业固定资产合计,其他采矿业大中型工业企业固定资产合计,农副食品加工业大中型工业企业固定资产合计,食品制造业大中型工业企业固定资产合计,饮料制造业大中型工业企业固定资产合计,烟草制品业大中型工业企业固定资产合计,纺织业大中型工业企业固定资产合计,纺织服装、鞋、帽制造业大中型工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业固定资产合计,家具制造业大中型工业企业固定资产合计,造纸及纸制品业大中型工业企业固定资产合计,印刷业和记录媒介的复制大中型工业企业固定资产合计,文教体育用品制造业大中型工业企业固定资产合计,石油加工、炼焦及核燃料加工业大中型工业企业固定资产合计,化学原料及化学制品制造业大中型工业企业固定资产合计,医药制造业大中型工业企业固定资产合计,化学纤维制造业大中型工业企业固定资产合计,橡胶制品业大中型工业企业固定资产合计,塑料制品业大中型工业企业固定资产合计,非金属矿物制品业大中型工业企业固定资产合计,黑色金属冶炼及压延加工业大中型工业企业固定资产合计,有色金属冶炼及压延加工业大中型工业企业固定资产合计,金属制品业大中型工业企业固定资产合计,通用设备制造业大中型工业企业固定资产合计,专用设备制造业大中型工业企业固定资产合计,交通运输设备制造业大中型工业企业固定资产合计,电气机械及器材制造业大中型工业企业固定资产合计,通信设备、计算机及其他电子设备制造大中型工业企业固定资产合计,仪器仪表及文化、办公用机械制造业大中型工业企业固定资产合计,工艺品及其他制造业大中型工业企业固定资产合计,废弃资源和废旧材料回收加工业大中型工业企业固定资产合计,电力、热力的生产和供应业大中型工业企业固定资产合计,燃气生产和供应业大中型工业企业固定资产合计,水的生产和供应业大中型工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,189102.61445,12728.74201,12561.73791,1475.02593,821.63528,362.17986,0.04869,3321.45411,1871.2168,2124.63607,1357.01536,4487.67875,1234.08091,721.37312,554.96541,476.1189,3358.31395,493.39826,324.11959,7464.28504,12965.12216,2458.9026,1465.77053,1512.33699,1296.19107,7578.51231,18276.24194,6949.17991,2022.44111,4548.46557,3405.58328,11661.44175,5721.23279,8643.69035,896.67608,594.9061,130.70105,39934.90668,1046.87608,2255.41015
2010,173612.38755,10578.89886,10332.81862,1311.9209,759.20725,247.68136,1.98,2766.408,1533.13769,1766.02977,1224.5278,4001.77531,963.0989,603.27092,476.39225,350.92947,3049.54147,467.7231,291.45514,6884.61175,11556.87484,2208.49443,1209.86003,1259.46772,1110.64688,6448.97179,18177.49553,6451.51663,1808.04809,4000.7019,2930.15686,10338.74969,4856.32817,9784.04673,847.94773,406.43989,63.29184,39427.57376,954.09927,2160.26721
2009,150375.50176,8566.0385,10806.87601,723.7572,582.36094,258.71461,,2348.85364,1329.84787,1534.9293,947.38951,3508.72213,848.31313,503.07478,380.75057,285.35624,2627.73669,459.46671,268.70268,5883.70287,9551.52275,1877.65358,1083.32723,1085.75351,942.48182,5222.98145,16456.56216,5395.58607,1480.06638,3257.49766,2354.20952,8611.98489,3830.64712,6880.17863,608.73771,367.06402,65.92204,36695.54529,804.52809,1938.65846
2008,128320.58258,6978.12461,7822.10637,587.73834,513.31014,230.04258,,1861.43903,1153.92653,1495.79149,829.37209,3472.24101,809.89082,453.31049,349.55055,294.19251,2419.49009,434.88566,246.86551,4535.00133,7798.21026,1699.47815,1103.88315,1042.70315,876.52892,4312.44003,13824.23179,4610.63918,1248.80145,2803.02167,2105.95459,7414.73877,3154.43594,6676.79755,552.02956,345.64516,52.50911,31828.557,672.69338,1710.00462
2007,109302.87009,6003.41146,6874.29923,386.65121,379.04702,194.01094,,1512.35906,977.44302,1182.96301,980.47686,3245.89008,687.70478,402.55409,301.22828,318.15071,2144.49703,402.67657,211.12474,3927.98407,6809.71371,1452.10074,1185.67439,930.37623,798.40593,3656.45372,11825.96806,3651.3252,975.5576,2234.71717,1607.02122,5758.27066,2402.26363,5825.73476,494.58874,326.38941,13.65463,27043.7941,622.57017,1555.81786
