年份,大中型工业企业所有者权益合计,煤炭开采和洗选业大中型工业企业所有者权益合计,石油和天然气开采业大中型工业企业所有者权益合计,黑色金属矿采选业大中型工业企业所有者权益合计,有色金属矿采选业大中型工业企业所有者权益合计,非金属矿采选业大中型工业企业所有者权益合计,其他采矿业大中型工业企业所有者权益合计,农副食品加工业大中型工业企业所有者权益合计,食品制造业大中型工业企业所有者权益合计,饮料制造业大中型工业企业所有者权益合计,烟草制品业大中型工业企业所有者权益合计,纺织业大中型工业企业所有者权益合计,纺织服装、鞋、帽制造业大中型工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业所有者权益合计,家具制造业大中型工业企业所有者权益合计,造纸及纸制品业大中型工业企业所有者权益合计,印刷业和记录媒介的复制大中型工业企业所有者权益合计,文教体育用品制造业大中型工业企业所有者权益合计,石油加工、炼焦及核燃料加工业大中型工业企业所有者权益合计,化学原料及化学制品制造业大中型工业企业所有者权益合计,医药制造业大中型工业企业所有者权益合计,化学纤维制造业大中型工业企业所有者权益合计,橡胶制品业大中型工业企业所有者权益合计,塑料制品业大中型工业企业所有者权益合计,非金属矿物制品业大中型工业企业所有者权益合计,黑色金属冶炼及压延加工业大中型工业企业所有者权益合计,有色金属冶炼及压延加工业大中型工业企业所有者权益合计,金属制品业大中型工业企业所有者权益合计,通用设备制造业大中型工业企业所有者权益合计,专用设备制造业大中型工业企业所有者权益合计,交通运输设备制造业大中型工业企业所有者权益合计,电气机械及器材制造业大中型工业企业所有者权益合计,通信设备、计算机及其他电子设备制造大中型工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业大中型工业企业所有者权益合计,工艺品及其他制造业大中型工业企业所有者权益合计,废弃资源和废旧材料回收加工业大中型工业企业所有者权益合计,电力、热力的生产和供应业大中型工业企业所有者权益合计,燃气生产和供应业大中型工业企业所有者权益合计,水的生产和供应业大中型工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,206050.11,13452.72146,9445.76959,2477.43772,1162.2149,560.62306,0.02392,4397.62588,2710.42518,3429.95247,4479.03551,5551.7737,2443.71827,1524.93012,694.2992,766.62397,3252.65925,863.95544,553.86704,6218.57071,12450.42813,5303.35087,1596.14204,1513.02401,2026.05627,7475.50278,15078.75674,7108.62838,3161.93802,7698.81272,6254.50726,17687.70202,10915.36586,14686.30248,2119.43455,1042.52405,210.9398,22861.41501,942.56901,1930.47773
2010,176816.6,10619.53612,9104.50692,2118.42895,1009.97035,365.7239,2.39,3418.4915,2036.09268,2673.48161,4116.72513,4694.2166,1938.72031,1205.63881,576.42353,571.78579,2711.45292,749.82965,480.05782,5397.11182,10505.12549,4273.26049,1321.39478,1254.27914,1707.02578,5875.54395,14002.40751,6278.65092,2555.53838,6273.20382,5019.43479,14472.99495,8748.95942,14689.20585,1628.24083,789.49044,78.57333,21064.12551,782.63298,1705.93152
2009,143890.2,8175.1766,7773.99498,986.94534,816.07982,280.84824,,2736.49465,1703.78932,2235.17989,3695.54921,3985.31133,1525.94931,929.18895,450.14332,429.1415,2175.03224,656.21809,436.52782,4232.56802,8430.53218,3334.87524,1017.73941,1030.63206,1301.70443,4726.50796,13485.2586,5263.58748,1971.26981,4851.02746,3529.16852,11162.65891,6379.14653,10285.83892,1270.70459,604.02334,53.23237,19749.27601,702.74179,1516.1361
2008,127861.45,6607.61321,7448.50733,1103.43307,785.47955,254.02208,,2183.00372,1369.27818,1987.2652,3318.8235,3640.55994,1374.13275,803.42852,455.69842,402.3525,2073.51815,607.60508,396.47559,3937.52162,7678.02136,2667.87243,1059.79106,882.27618,1195.35558,4040.5992,11592.95795,4722.60748,1718.34247,4025.03355,3096.46982,9347.9918,5583.45353,9175.81657,1147.72895,498.9314,43.76473,18644.80174,591.83618,1399.07744
