年份,大中型工业企业应付帐款,煤炭开采和洗选业大中型工业企业应付帐款,石油和天然气开采业大中型工业企业应付帐款,黑色金属矿采选业大中型工业企业应付帐款,有色金属矿采选业大中型工业企业应付帐款,非金属矿采选业大中型工业企业应付帐款,其他采矿业大中型工业企业应付帐款,农副食品加工业大中型工业企业应付帐款,食品制造业大中型工业企业应付帐款,饮料制造业大中型工业企业应付帐款,烟草制品业大中型工业企业应付帐款,纺织业大中型工业企业应付帐款,纺织服装、鞋、帽制造业大中型工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业大中型工业企业应付帐款,家具制造业大中型工业企业应付帐款,造纸及纸制品业大中型工业企业应付帐款,印刷业和记录媒介的复制大中型工业企业应付帐款,文教体育用品制造业大中型工业企业应付帐款,石油加工、炼焦及核燃料加工业大中型工业企业应付帐款,化学原料及化学制品制造业大中型工业企业应付帐款,医药制造业大中型工业企业应付帐款,化学纤维制造业大中型工业企业应付帐款,橡胶制品业大中型工业企业应付帐款,塑料制品业大中型工业企业应付帐款,非金属矿物制品业大中型工业企业应付帐款,黑色金属冶炼及压延加工业大中型工业企业应付帐款,有色金属冶炼及压延加工业大中型工业企业应付帐款,金属制品业大中型工业企业应付帐款,通用设备制造业大中型工业企业应付帐款,专用设备制造业大中型工业企业应付帐款,交通运输设备制造业大中型工业企业应付帐款,电气机械及器材制造业大中型工业企业应付帐款,通信设备、计算机及其他电子设备制造大中型工业企业应付帐款,仪器仪表及文化、办公用机械制造业大中型工业企业应付帐款,工艺品及其他制造业大中型工业企业应付帐款,废弃资源和废旧材料回收加工业大中型工业企业应付帐款,电力、热力的生产和供应业大中型工业企业应付帐款,燃气生产和供应业大中型工业企业应付帐款,水的生产和供应业大中型工业企业应付帐款
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,63039.71533,2922.2543,1911.8955,361.51447,100.33757,46.25368,0.06083,960.77331,587.92855,575.26077,536.47817,965.03676,603.20344,379.2402,88.36129,242.45741,682.97426,179.56646,210.51875,2367.55947,2729.963,736.39659,407.33005,412.16689,491.89181,1542.00201,5417.05543,1582.5828,822.52374,2720.51668,2461.41301,8386.23685,4514.56748,10293.88847,749.87803,318.89618,110.09245,5416.42825,104.76724,99.44318
2010,53022.84855,2038.15326,1761.62445,238.36692,84.43969,28.97443,,796.03136,504.67095,455.16992,433.21984,822.0579,494.69439,370.87379,69.95951,227.01443,538.26701,159.11083,193.70758,1969.98298,2213.54197,588.73915,303.61439,343.26615,447.93684,1260.52742,4327.10245,1281.9677,753.18883,2314.65572,2076.58825,7623.84599,3815.31355,8793.0399,635.99385,221.84973,59.75884,4562.28049,115.27464,98.04345
2009,41775.5655,1629.7966,1516.00415,135.31791,70.18557,29.24557,,593.69098,413.09154,386.2631,364.64691,726.11064,394.94195,296.82898,66.26957,170.27628,571.913,135.73759,156.20164,1296.8725,1725.79142,500.1734,232.38923,266.84328,365.22291,962.08923,3742.11156,926.36018,567.34597,1812.33843,1608.15192,5941.58073,2770.55412,7041.51384,502.49959,173.88711,14.34348,3534.40657,64.9465,69.62155
2008,35576.96709,1323.01759,1601.99065,123.29511,69.31306,29.40694,,437.42597,387.09716,324.00588,318.59459,691.61007,403.52113,303.48204,68.12848,170.95715,456.34823,125.58665,176.25576,1065.71798,1484.93726,429.49264,175.61053,257.96327,384.96545,875.04872,3768.83425,742.60721,558.14631,1722.35165,1429.04435,3994.06759,2361.6297,5812.58179,415.77687,140.06058,17.79016,2805.21961,60.48168,64.60303
2007,31361.09183,946.30177,1143.13396,72.3025,58.5451,20.68049,,374.77827,306.78124,301.72925,229.78318,709.9943,349.86591,293.59945,69.30192,171.65792,394.61249,116.18714,160.06316,752.90012,1284.59576,349.5746,227.90444,226.16814,338.28047,668.08255,2648.79048,715.84007,501.02521,1283.45741,1032.31663,3636.28904,2200.10029,6687.6092,432.63355,169.51726,6.06653,2388.50876,41.81382,50.29945
