年份,大中型工业企业存货,煤炭开采和洗选业大中型工业企业存货,石油和天然气开采业大中型工业企业存货,黑色金属矿采选业大中型工业企业存货,有色金属矿采选业大中型工业企业存货,非金属矿采选业大中型工业企业存货,其他采矿业大中型工业企业存货,农副食品加工业大中型工业企业存货,食品制造业大中型工业企业存货,饮料制造业大中型工业企业存货,烟草制品业大中型工业企业存货,纺织业大中型工业企业存货,纺织服装、鞋、帽制造业大中型工业企业存货,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业存货,木材加工及木、竹、藤、棕、草制品业大中型工业企业存货,家具制造业大中型工业企业存货,造纸及纸制品业大中型工业企业存货,印刷业和记录媒介的复制大中型工业企业存货,文教体育用品制造业大中型工业企业存货,石油加工、炼焦及核燃料加工业大中型工业企业存货,化学原料及化学制品制造业大中型工业企业存货,医药制造业大中型工业企业存货,化学纤维制造业大中型工业企业存货,橡胶制品业大中型工业企业存货,塑料制品业大中型工业企业存货,非金属矿物制品业大中型工业企业存货,黑色金属冶炼及压延加工业大中型工业企业存货,有色金属冶炼及压延加工业大中型工业企业存货,金属制品业大中型工业企业存货,通用设备制造业大中型工业企业存货,专用设备制造业大中型工业企业存货,交通运输设备制造业大中型工业企业存货,电气机械及器材制造业大中型工业企业存货,通信设备、计算机及其他电子设备制造大中型工业企业存货,仪器仪表及文化、办公用机械制造业大中型工业企业存货,工艺品及其他制造业大中型工业企业存货,废弃资源和废旧材料回收加工业大中型工业企业存货,电力、热力的生产和供应业大中型工业企业存货,燃气生产和供应业大中型工业企业存货,水的生产和供应业大中型工业企业存货
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,59552.61966,1496.0442,631.26283,250.1681,194.49309,71.11075,0.00271,1693.41326,609.94955,1139.6238,2157.71742,2049.28005,942.93004,504.13656,222.63904,305.67739,730.50596,190.00025,258.20137,2940.90482,3018.49805,1127.42968,527.53997,534.66744,576.62132,1668.67265,6693.28203,3531.09057,1203.11243,3633.1465,2876.57554,6308.92559,3937.92654,5053.12021,729.05272,628.64599,95.2165,918.13839,76.12471,26.77164
2010,49505.41822,1177.62543,526.63985,177.83653,158.60692,49.34237,0.13,1405.28014,486.09363,861.47818,1892.78467,1751.64237,718.95678,421.06628,179.0958,253.0222,601.86658,158.93427,202.23504,2231.52575,2444.75527,897.52345,426.39957,448.43193,474.79989,1296.20616,6173.22842,2923.9221,995.74856,2940.66891,2242.58936,5401.79924,3298.91346,4462.31605,522.23616,383.90462,70.0302,762.85612,58.36014,26.56582
2009,38724.46557,862.38954,497.78047,110.90162,142.85971,42.88361,,1039.23789,418.83338,731.25203,1676.05462,1454.24526,564.35754,338.68804,156.64239,190.77473,464.26396,139.21845,176.6297,1797.50078,1833.77244,712.91783,323.04548,341.63379,391.07989,1070.61985,4851.17479,2010.67024,797.73326,2374.03681,1829.10811,4124.55749,2526.72797,3360.70202,417.52409,293.18998,39.59431,520.97467,74.97988,25.90895
2008,36825.60003,823.03056,452.05158,113.04833,136.74473,41.82639,,886.58189,391.97841,684.23802,1406.30058,1452.67243,535.21969,349.97525,181.73312,208.97955,495.54544,147.38587,194.50033,1365.0687,1883.81132,655.46567,291.61692,351.32762,387.14628,1082.57075,4818.90758,1721.69013,785.46792,2494.42397,1751.38038,3868.55716,2260.13285,3222.37043,375.6853,240.60224,31.48573,665.7811,51.80404,18.49177
2007,31839.6086,576.19526,346.23208,69.74675,98.79093,32.47475,,811.50349,359.78755,566.6894,1190.75885,1500.40349,469.40977,346.72467,159.12055,192.36193,408.91116,131.00566,167.44301,1338.82018,1595.15951,565.48894,351.0919,299.89174,390.46598,800.12436,4177.70448,1530.75938,656.03913,1899.40535,1289.74336,3217.84009,2082.55945,3179.2738,320.37921,229.29335,7.80483,424.94799,34.23346,21.02281
2006,25788.90304,498.80209,323.01701,60.88383,93.17343,33.27755,,596.53706,260.51242,474.24716,1074.49794,1281.17216,398.95442,293.62528,120.14638,167.13519,353.18447,102.45922,148.23822,1057.8808,1276.67159,463.13673,252.98442,250.92796,320.994,691.81656,3082.61507,1280.71204,524.93621,1499.98827,1015.52371,2484.46718,1689.81978,2738.27157,261.16752,172.73968,5.30852,396.50335,26.28496,16.28929
