年份,大中型工业企业实收资本,煤炭开采和洗选业大中型工业企业实收资本,石油和天然气开采业大中型工业企业实收资本,黑色金属矿采选业大中型工业企业实收资本,有色金属矿采选业大中型工业企业实收资本,非金属矿采选业大中型工业企业实收资本,其他采矿业大中型工业企业实收资本,农副食品加工业大中型工业企业实收资本,食品制造业大中型工业企业实收资本,饮料制造业大中型工业企业实收资本,烟草制品业大中型工业企业实收资本,纺织业大中型工业企业实收资本,纺织服装、鞋、帽制造业大中型工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业实收资本,木材加工及木、竹、藤、棕、草制品业大中型工业企业实收资本,家具制造业大中型工业企业实收资本,造纸及纸制品业大中型工业企业实收资本,印刷业和记录媒介的复制大中型工业企业实收资本,文教体育用品制造业大中型工业企业实收资本,石油加工、炼焦及核燃料加工业大中型工业企业实收资本,化学原料及化学制品制造业大中型工业企业实收资本,医药制造业大中型工业企业实收资本,化学纤维制造业大中型工业企业实收资本,橡胶制品业大中型工业企业实收资本,塑料制品业大中型工业企业实收资本,非金属矿物制品业大中型工业企业实收资本,黑色金属冶炼及压延加工业大中型工业企业实收资本,有色金属冶炼及压延加工业大中型工业企业实收资本,金属制品业大中型工业企业实收资本,通用设备制造业大中型工业企业实收资本,专用设备制造业大中型工业企业实收资本,交通运输设备制造业大中型工业企业实收资本,电气机械及器材制造业大中型工业企业实收资本,通信设备、计算机及其他电子设备制造大中型工业企业实收资本,仪器仪表及文化、办公用机械制造业大中型工业企业实收资本,工艺品及其他制造业大中型工业企业实收资本,废弃资源和废旧材料回收加工业大中型工业企业实收资本,电力、热力的生产和供应业大中型工业企业实收资本,燃气生产和供应业大中型工业企业实收资本,水的生产和供应业大中型工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,92074.5602,4137.18173,6047.35169,975.93898,412.53466,172.28919,0.005,1575.75175,1205.84408,1236.11338,853.42217,2419.68183,1034.8129,639.09014,292.26532,362.51393,1820.99442,413.1394,322.80008,4039.43048,6279.09689,1767.93577,752.62149,723.93004,992.48725,3539.04267,6032.42292,2948.06251,1309.20969,3078.7277,2419.09623,7182.94014,4483.15714,8052.47798,797.71343,419.97402,41.42539,11625.35906,475.57112,1192.14763
2010,79359.64327,3515.87047,4983.62626,797.93581,328.34443,124.12446,1.98,1292.1929,897.33537,1084.43212,763.36653,2173.96517,763.78142,533.76153,234.86038,298.2572,1629.03664,354.01629,279.7735,3059.65731,5444.10077,1444.38296,662.74563,667.63293,817.00934,2834.13406,5601.72241,2567.37176,1103.49475,2557.25927,2080.58707,6084.42525,3527.41642,7076.8995,639.2046,299.74617,28.57258,11317.19431,413.47025,1075.95545
2009,71948.16803,2995.63953,4457.99449,448.67562,283.04503,121.26856,,1097.90061,817.86822,944.02373,796.64931,1926.48905,715.90572,479.89262,215.15877,245.80472,1405.03339,342.70101,289.9669,2886.15192,4622.00374,1233.95974,663.01563,572.17558,761.92788,2506.41949,5461.27443,2253.97225,990.7252,2346.52903,1601.22826,5230.45231,2946.13594,6247.9714,578.99688,270.74754,25.48362,11823.10761,407.90383,933.96847
2008,68535.23374,2833.0389,5288.43393,414.59216,266.40952,109.13997,,1021.12967,763.02822,875.88482,722.09086,1915.98025,681.97122,454.59893,200.26467,245.48539,1289.54099,351.46074,264.7642,3334.40319,4464.98578,1097.92535,673.8917,530.1195,711.75807,2277.21514,4601.32393,1990.08898,898.91043,1993.66949,1525.29566,4863.48958,2634.9449,5958.38804,592.02712,248.24406,27.00051,11177.78146,385.12968,850.82673
2007,55778.50801,2242.54273,3307.52941,298.4075,198.864,87.52999,,801.75131,648.99892,766.74091,509.74082,1782.15383,603.05864,403.82098,161.05134,219.89121,999.94953,298.88763,223.27951,2283.58928,3726.836,1007.63958,704.40659,520.72144,647.82072,1942.40491,3681.46491,1531.91146,729.66704,1718.02541,1123.60743,3994.20939,2108.22519,4891.43404,434.45116,219.82561,6.53673,9854.18425,322.27969,775.06892
