年份,大中型工业企业主营业务收入,煤炭开采和洗选业大中型工业企业主营业务收入,石油和天然气开采业大中型工业企业主营业务收入,黑色金属矿采选业大中型工业企业主营业务收入,有色金属矿采选业大中型工业企业主营业务收入,非金属矿采选业大中型工业企业主营业务收入,其他采矿业大中型工业企业主营业务收入,农副食品加工业大中型工业企业主营业务收入,食品制造业大中型工业企业主营业务收入,饮料制造业大中型工业企业主营业务收入,烟草制品业大中型工业企业主营业务收入,纺织业大中型工业企业主营业务收入,纺织服装、鞋、帽制造业大中型工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业大中型工业企业主营业务收入,家具制造业大中型工业企业主营业务收入,造纸及纸制品业大中型工业企业主营业务收入,印刷业和记录媒介的复制大中型工业企业主营业务收入,文教体育用品制造业大中型工业企业主营业务收入,石油加工、炼焦及核燃料加工业大中型工业企业主营业务收入,化学原料及化学制品制造业大中型工业企业主营业务收入,医药制造业大中型工业企业主营业务收入,化学纤维制造业大中型工业企业主营业务收入,橡胶制品业大中型工业企业主营业务收入,塑料制品业大中型工业企业主营业务收入,非金属矿物制品业大中型工业企业主营业务收入,黑色金属冶炼及压延加工业大中型工业企业主营业务收入,有色金属冶炼及压延加工业大中型工业企业主营业务收入,金属制品业大中型工业企业主营业务收入,通用设备制造业大中型工业企业主营业务收入,专用设备制造业大中型工业企业主营业务收入,交通运输设备制造业大中型工业企业主营业务收入,电气机械及器材制造业大中型工业企业主营业务收入,通信设备、计算机及其他电子设备制造大中型工业企业主营业务收入,仪器仪表及文化、办公用机械制造业大中型工业企业主营业务收入,工艺品及其他制造业大中型工业企业主营业务收入,废弃资源和废旧材料回收加工业大中型工业企业主营业务收入,电力、热力的生产和供应业大中型工业企业主营业务收入,燃气生产和供应业大中型工业企业主营业务收入,水的生产和供应业大中型工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,554055.83,23672.28765,12612.42082,3805.59524,2319.31108,1155.94142,0.61567,19438.53842,8327.67607,7765.31006,6345.83258,17797.32666,7822.64879,5456.3516,2292.60871,2442.41193,6245.32869,1484.59765,1730.86206,33022.36709,33185.63421,9013.15953,5066.51836,4978.5936,5615.61491,16366.72877,54831.92456,23279.50628,9439.58691,19431.21956,14529.42332,51937.87686,32745.94515,56614.68387,4799.29806,3836.15896,992.37317,41288.74544,1694.50903,670.29781
2010,439013.72,16987.1626,10113.17733,2775.65812,1848.37693,584.69398,3.0,13998.97119,6097.71306,5695.07965,5588.63413,13338.55221,5170.26412,4146.88776,1524.3111,1766.90801,5098.87462,1116.61678,1312.23232,25966.25782,24698.2799,6868.2422,3822.56465,3620.31435,4253.45585,11569.1615,45298.59662,17876.42403,7195.1428,15233.75924,11517.72685,44500.33888,26585.00291,48553.69988,3885.85821,2453.83691,685.84027,35316.4687,1337.23286,608.40363
2009,335751.14,12307.05073,7482.15633,1342.69383,1382.78276,526.85008,,10906.18567,4915.95078,4743.2239,4819.62051,10340.03484,4302.0206,3141.74328,1225.99166,1270.94091,3883.50342,966.46665,1087.62005,18576.12743,18345.37442,5487.81459,2787.48903,2817.64198,3247.70757,8779.14439,36555.58981,12536.33616,5337.27976,11694.72903,8614.65003,32379.54645,19595.15475,38763.14341,2985.35169,1753.62172,243.76973,29244.46606,853.1364,508.22644
2008,318812.46,10913.88563,10644.99611,1554.09164,1347.96091,447.92511,,9422.42313,4162.38708,3945.38046,4207.03064,9730.22041,3919.21307,2838.42213,1082.12047,1236.2993,3771.44629,907.71257,1096.94605,20174.20813,17619.34289,4518.32534,2871.86393,2536.41379,3142.40762,7867.52989,38200.24356,12359.08474,5415.9339,11010.74739,7657.49615,25820.34513,18299.44339,37946.20239,3094.3957,1570.97424,281.01802,25995.02221,756.98266,446.01785
