年份,大中型工业企业工业销售产值(现价),煤炭开采和洗选业大中型工业企业工业销售产值(现价),石油和天然气开采业大中型工业企业工业销售产值(现价),黑色金属矿采选业大中型工业企业工业销售产值(现价),有色金属矿采选业大中型工业企业工业销售产值(现价),非金属矿采选业大中型工业企业工业销售产值(现价),其他采矿业大中型工业企业工业销售产值(现价),农副食品加工业大中型工业企业工业销售产值(现价),食品制造业大中型工业企业工业销售产值(现价),饮料制造业大中型工业企业工业销售产值(现价),烟草制品业大中型工业企业工业销售产值(现价),纺织业大中型工业企业工业销售产值(现价),纺织服装、鞋、帽制造业大中型工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业大中型工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业大中型工业企业工业销售产值(现价),家具制造业大中型工业企业工业销售产值(现价),造纸及纸制品业大中型工业企业工业销售产值(现价),印刷业和记录媒介的复制大中型工业企业工业销售产值(现价),文教体育用品制造业大中型工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业大中型工业企业工业销售产值(现价),化学原料及化学制品制造业大中型工业企业工业销售产值(现价),医药制造业大中型工业企业工业销售产值(现价),化学纤维制造业大中型工业企业工业销售产值(现价),橡胶制品业大中型工业企业工业销售产值(现价),塑料制品业大中型工业企业工业销售产值(现价),非金属矿物制品业大中型工业企业工业销售产值(现价),黑色金属冶炼及压延加工业大中型工业企业工业销售产值(现价),有色金属冶炼及压延加工业大中型工业企业工业销售产值(现价),金属制品业大中型工业企业工业销售产值(现价),通用设备制造业大中型工业企业工业销售产值(现价),专用设备制造业大中型工业企业工业销售产值(现价),交通运输设备制造业大中型工业企业工业销售产值(现价),电气机械及器材制造业大中型工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造大中型工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业大中型工业企业工业销售产值(现价),工艺品及其他制造业大中型工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业大中型工业企业工业销售产值(现价),电力、热力的生产和供应业大中型工业企业工业销售产值(现价),燃气生产和供应业大中型工业企业工业销售产值(现价),水的生产和供应业大中型工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,540852.40998,20586.48944,12500.52949,3392.79254,2288.88183,1163.04399,0.56569,18970.63774,8254.17729,7503.13281,6510.42235,17604.59753,7792.20233,5449.86587,2295.49438,2452.77342,6242.1606,1493.08227,1741.55302,32543.61429,32718.65674,8739.69291,4924.42016,4895.80062,5643.11105,16423.46334,51825.78382,21497.68885,9433.49327,19275.76809,14322.97888,50961.6743,32690.95582,55770.73932,4789.10634,3735.32164,965.51436,41163.85458,1623.09781,665.2712
2010,425902.42597,14971.9796,9275.40937,2452.4802,1706.7455,569.2397,3.0,13584.79521,5957.20737,5389.45189,5709.59937,13189.58965,5163.19005,4132.95207,1531.1469,1754.729,5110.58252,1128.7169,1315.09444,25654.81922,24148.76373,6583.79525,3661.80435,3587.45717,4281.19833,11591.9392,42172.84946,16361.24942,7229.51061,15093.62286,11051.899,43899.19936,26367.14001,47581.22445,3839.30198,2318.92045,674.55943,35034.77279,1238.52311,583.96605
2009,328193.85862,10953.67995,7015.99663,1345.34393,1224.47336,509.11777,,10633.25935,5010.35113,4504.0181,4857.983,10319.41463,4304.7596,3155.22075,1209.35583,1268.85847,3966.86129,982.10702,1092.66814,18580.0715,17967.62854,5334.12892,2758.11473,2832.04181,3304.67957,8878.89223,34464.48291,11667.56303,5389.69039,11654.44639,8419.07728,32049.19557,19555.89255,38195.80868,3008.89536,1722.56577,230.68061,28561.70296,772.52105,492.30982
2008,311528.24553,9975.95569,9013.44568,1519.38529,1270.32707,427.655,,9239.88858,4134.44172,3850.42587,4290.90652,9816.74065,3979.67717,2887.81577,1078.38688,1231.0092,3877.3477,920.07541,1102.29223,19896.83193,17317.88087,4504.43206,2857.87816,2523.85616,3163.04824,7763.94635,36620.01474,11971.31764,5514.81387,11058.41598,7476.76924,25740.66439,18422.02572,37689.83487,3088.44118,1508.96858,257.78173,24422.48714,671.29355,441.7667
