年份,大中型工业企业港澳台资本金,煤炭开采和洗选业大中型工业企业港澳台资本金,石油和天然气开采业大中型工业企业港澳台资本金,黑色金属矿采选业大中型工业企业港澳台资本金,有色金属矿采选业大中型工业企业港澳台资本金,非金属矿采选业大中型工业企业港澳台资本金,其他采矿业大中型工业企业港澳台资本金,农副食品加工业大中型工业企业港澳台资本金,食品制造业大中型工业企业港澳台资本金,饮料制造业大中型工业企业港澳台资本金,烟草制品业大中型工业企业港澳台资本金,纺织业大中型工业企业港澳台资本金,纺织服装、鞋、帽制造业大中型工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业港澳台资本金,家具制造业大中型工业企业港澳台资本金,造纸及纸制品业大中型工业企业港澳台资本金,印刷业和记录媒介的复制大中型工业企业港澳台资本金,文教体育用品制造业大中型工业企业港澳台资本金,石油加工、炼焦及核燃料加工业大中型工业企业港澳台资本金,化学原料及化学制品制造业大中型工业企业港澳台资本金,医药制造业大中型工业企业港澳台资本金,化学纤维制造业大中型工业企业港澳台资本金,橡胶制品业大中型工业企业港澳台资本金,塑料制品业大中型工业企业港澳台资本金,非金属矿物制品业大中型工业企业港澳台资本金,黑色金属冶炼及压延加工业大中型工业企业港澳台资本金,有色金属冶炼及压延加工业大中型工业企业港澳台资本金,金属制品业大中型工业企业港澳台资本金,通用设备制造业大中型工业企业港澳台资本金,专用设备制造业大中型工业企业港澳台资本金,交通运输设备制造业大中型工业企业港澳台资本金,电气机械及器材制造业大中型工业企业港澳台资本金,通信设备、计算机及其他电子设备制造大中型工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业大中型工业企业港澳台资本金,工艺品及其他制造业大中型工业企业港澳台资本金,废弃资源和废旧材料回收加工业大中型工业企业港澳台资本金,电力、热力的生产和供应业大中型工业企业港澳台资本金,燃气生产和供应业大中型工业企业港澳台资本金,水的生产和供应业大中型工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7473.07226,45.14915,0.69454,3.43595,8.06084,2.85669,,141.19682,181.92149,152.46038,0.97606,501.51331,257.75633,196.49572,34.51434,89.74001,284.24209,98.48922,125.88698,56.95383,424.05978,112.27502,135.2022,70.43264,255.29036,427.50305,190.90184,243.69748,185.56186,175.51923,198.67319,307.36972,463.83736,1665.15346,86.3464,78.03355,4.37061,178.47937,43.04394,44.97745
2010,6706.59152,30.50465,0.05,7.38276,1.62573,1.66004,,122.2059,109.07995,123.64253,0.63936,486.55983,228.57589,190.45246,22.52543,76.6385,251.18646,74.37502,116.68189,71.43058,289.75265,93.51466,118.64495,65.75076,227.92458,340.46897,196.62533,201.1221,225.67336,142.73339,144.98579,301.95567,449.45344,1571.18265,102.32353,70.88072,4.60601,161.18899,37.20169,45.3853
2009,6103.33858,3.39573,1.82,5.39464,3.26079,1.54017,,107.81108,111.78381,122.67007,0.63936,458.13838,229.48728,173.2709,26.95848,67.13935,239.42351,78.60593,131.33403,46.8438,209.15943,84.73976,86.08837,72.51346,206.01783,288.89015,170.23273,169.72112,200.45327,180.69478,133.48436,252.74304,394.74193,1480.12695,70.561,70.41736,0.055,159.23799,26.38501,37.55773
2008,5620.6274,7.81639,0.05,5.39335,2.00995,2.14548,,88.94976,113.92283,111.05498,0.85599,456.61257,203.00563,154.2924,21.68018,79.48998,209.57144,98.98058,119.66319,53.59525,201.09181,60.34244,79.91665,74.03733,184.15938,280.18704,154.97069,112.15686,160.40046,144.0792,141.29651,220.75803,363.11445,1328.78108,90.3529,77.74998,0.05914,151.16276,29.89413,37.02661
2007,4729.87532,3.22734,25.15531,0.27298,0.66495,1.48794,,73.27565,79.96318,104.00898,1.13944,418.63722,174.84273,141.61625,26.4309,73.54125,120.90466,87.58735,103.20283,48.44437,142.52987,45.84548,100.90728,113.70534,180.2035,207.40319,164.76113,89.34321,149.40849,118.75847,103.9359,161.23626,291.14385,1050.10831,86.4669,61.96551,1.04189,142.47567,19.03634,15.1954
