年份,大中型工业企业负债合计,煤炭开采和洗选业大中型工业企业负债合计,石油和天然气开采业大中型工业企业负债合计,黑色金属矿采选业大中型工业企业负债合计,有色金属矿采选业大中型工业企业负债合计,非金属矿采选业大中型工业企业负债合计,其他采矿业大中型工业企业负债合计,农副食品加工业大中型工业企业负债合计,食品制造业大中型工业企业负债合计,饮料制造业大中型工业企业负债合计,烟草制品业大中型工业企业负债合计,纺织业大中型工业企业负债合计,纺织服装、鞋、帽制造业大中型工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业负债合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业负债合计,家具制造业大中型工业企业负债合计,造纸及纸制品业大中型工业企业负债合计,印刷业和记录媒介的复制大中型工业企业负债合计,文教体育用品制造业大中型工业企业负债合计,石油加工、炼焦及核燃料加工业大中型工业企业负债合计,化学原料及化学制品制造业大中型工业企业负债合计,医药制造业大中型工业企业负债合计,化学纤维制造业大中型工业企业负债合计,橡胶制品业大中型工业企业负债合计,塑料制品业大中型工业企业负债合计,非金属矿物制品业大中型工业企业负债合计,黑色金属冶炼及压延加工业大中型工业企业负债合计,有色金属冶炼及压延加工业大中型工业企业负债合计,金属制品业大中型工业企业负债合计,通用设备制造业大中型工业企业负债合计,专用设备制造业大中型工业企业负债合计,交通运输设备制造业大中型工业企业负债合计,电气机械及器材制造业大中型工业企业负债合计,通信设备、计算机及其他电子设备制造大中型工业企业负债合计,仪器仪表及文化、办公用机械制造业大中型工业企业负债合计,工艺品及其他制造业大中型工业企业负债合计,废弃资源和废旧材料回收加工业大中型工业企业负债合计,电力、热力的生产和供应业大中型工业企业负债合计,燃气生产和供应业大中型工业企业负债合计,水的生产和供应业大中型工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,299089.26,20440.94305,8956.92643,2745.22918,1104.12969,490.16803,0.07175,6285.36921,2794.79907,3513.14437,1438.23297,7004.47143,2730.8949,1346.34387,666.76559,942.92569,4590.25508,683.79677,574.01531,10829.65461,17721.78158,3928.56467,2551.85034,2150.18801,2220.20063,9408.10536,31727.03576,11619.89318,4044.6732,10920.57005,9052.68488,29110.5422,16222.27653,21848.89352,2061.70051,1377.37086,306.75407,42421.67461,1177.78312,2078.58327
2010,249848.16,15284.46571,6938.73307,2135.58775,940.18295,360.58532,0.07,4901.43328,2238.66221,2744.87895,1296.38075,6188.91672,2009.66884,1208.14521,553.40962,753.85793,3762.91509,556.95322,485.88797,8603.69481,14614.33151,3163.18372,2017.64477,1704.16087,1916.24449,7651.16026,27132.74844,9652.98136,3313.94534,9269.40674,7350.26319,26037.85231,12902.87262,17798.79237,1611.72704,895.65253,230.84053,38676.33338,1074.14119,1869.44753
2009,206323.41,12226.74333,6432.92218,922.24067,752.92596,333.33759,,3643.62106,1868.19643,2273.84149,1160.58183,5270.93477,1639.29917,999.2206,506.77614,560.8441,3195.3809,508.96385,434.91504,7279.79806,11517.77902,2723.2925,1584.63822,1424.2399,1603.26956,6174.78139,23630.17751,7589.82539,2670.13071,7808.61365,5815.93259,20106.4056,9486.47591,14876.75038,1274.26121,724.19691,125.27471,33985.35889,1596.28423,1595.17365
2008,177416.34,10086.32918,4803.8714,872.75068,653.87391,281.53675,,3008.00117,1651.02765,2024.71299,1020.75147,5126.23201,1627.63755,923.90873,496.94422,542.24234,2981.34604,498.13985,441.73617,6503.16252,9730.83507,2373.07356,1500.12877,1434.26022,1567.94266,5464.9888,20082.63098,6243.37409,2407.24751,6983.08954,5104.1408,16186.29063,8007.66655,13442.91641,1138.55275,652.82,108.61792,29351.59601,745.73237,1346.22591
2007,147160.52,7561.84621,3706.54068,572.70102,565.29879,236.82571,,2543.88822,1443.0572,1752.08625,911.74348,5080.18635,1388.69609,906.17091,449.01819,531.38053,2509.30026,484.34209,395.58683,4713.46523,8079.44416,2139.31573,1576.27435,1204.46601,1404.30601,4377.47538,15974.01294,5133.25269,2090.75306,5504.31044,3835.92816,13392.43932,6934.83995,13208.76743,1040.56344,663.15898,24.34259,22963.25177,580.32382,1281.16368
