年份,大中型工业企业销售费用,煤炭开采和洗选业大中型工业企业销售费用,石油和天然气开采业大中型工业企业销售费用,黑色金属矿采选业大中型工业企业销售费用,有色金属矿采选业大中型工业企业销售费用,非金属矿采选业大中型工业企业销售费用,其他采矿业大中型工业企业销售费用,农副食品加工业大中型工业企业销售费用,食品制造业大中型工业企业销售费用,饮料制造业大中型工业企业销售费用,烟草制品业大中型工业企业销售费用,纺织业大中型工业企业销售费用,纺织服装、鞋、帽制造业大中型工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业销售费用,木材加工及木、竹、藤、棕、草制品业大中型工业企业销售费用,家具制造业大中型工业企业销售费用,造纸及纸制品业大中型工业企业销售费用,印刷业和记录媒介的复制大中型工业企业销售费用,文教体育用品制造业大中型工业企业销售费用,石油加工、炼焦及核燃料加工业大中型工业企业销售费用,化学原料及化学制品制造业大中型工业企业销售费用,医药制造业大中型工业企业销售费用,化学纤维制造业大中型工业企业销售费用,橡胶制品业大中型工业企业销售费用,塑料制品业大中型工业企业销售费用,非金属矿物制品业大中型工业企业销售费用,黑色金属冶炼及压延加工业大中型工业企业销售费用,有色金属冶炼及压延加工业大中型工业企业销售费用,金属制品业大中型工业企业销售费用,通用设备制造业大中型工业企业销售费用,专用设备制造业大中型工业企业销售费用,交通运输设备制造业大中型工业企业销售费用,电气机械及器材制造业大中型工业企业销售费用,通信设备、计算机及其他电子设备制造大中型工业企业销售费用,仪器仪表及文化、办公用机械制造业大中型工业企业销售费用,工艺品及其他制造业大中型工业企业销售费用,废弃资源和废旧材料回收加工业大中型工业企业销售费用,电力、热力的生产和供应业大中型工业企业销售费用,燃气生产和供应业大中型工业企业销售费用,水的生产和供应业大中型工业企业销售费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,13899.9642,617.33438,46.71304,60.34459,23.36341,46.37164,,451.40557,781.27593,809.15686,133.92918,262.86095,333.79057,170.16722,65.51966,87.50366,179.51574,37.22586,41.98776,217.01801,1106.86903,1283.95891,45.47701,126.87748,129.2054,488.03013,415.37495,207.18767,212.31317,562.09406,502.84655,1393.08603,1299.26182,1257.50307,145.60962,77.96126,8.35346,165.33574,51.39868,55.73613
2010,11654.82765,457.77383,51.88528,50.72772,23.14308,28.4047,0.015,348.09869,633.21677,651.16871,121.22055,201.06759,261.67228,124.40428,49.64555,64.50456,158.79788,27.47916,32.98054,190.63539,963.95156,1036.94692,36.90586,102.17266,102.48821,376.8133,383.07449,169.65411,180.4609,451.87396,394.3634,1304.0449,1213.2653,1088.51371,114.37577,51.74721,6.34387,114.49538,39.44334,47.05124
2009,9342.25554,380.17171,41.24371,34.45242,18.80882,28.49914,,248.56363,543.81327,568.39313,102.77802,158.4731,200.16105,85.07935,37.48143,49.18517,128.35392,23.4049,24.29322,152.45473,778.89063,864.72686,27.10809,86.48233,85.63163,295.00485,317.32481,121.66999,133.1442,354.52413,283.02201,990.45095,911.93534,973.30653,89.55972,42.31628,4.87719,79.39587,38.54883,38.72458
2008,8488.65103,342.7278,37.06534,30.76713,18.22014,28.37355,,213.53568,446.51427,472.22278,94.16558,148.57329,177.88738,75.55171,38.69214,47.57113,108.58766,24.38898,26.03008,191.53447,693.29232,687.55303,23.65502,74.81695,74.31337,278.49589,376.74027,129.90382,132.92306,325.53889,245.88597,800.31738,822.22155,1052.72879,84.25574,39.24236,5.46478,52.55755,31.11903,35.21615
2007,7367.61014,279.56052,57.06681,24.0092,14.58839,23.71788,,181.30308,353.08868,402.15789,83.4655,143.00791,142.60643,65.15201,32.50505,43.85475,97.51451,19.94789,24.43333,169.49362,608.46376,554.2114,25.63221,67.1181,69.46655,235.98204,346.65727,104.62839,110.75889,294.82993,198.487,674.67994,687.19376,1023.15842,74.00076,34.71386,3.2571,39.99538,25.73252,31.16941
2006,5884.59834,243.69307,41.53932,15.45777,11.33068,19.59022,,139.86209,295.34064,322.24176,91.98881,121.80466,123.37026,47.12127,24.14971,35.20303,81.8831,16.58826,22.01575,123.71197,505.18515,477.84306,18.52894,55.75169,56.61983,192.42601,245.29976,76.33762,90.7356,232.37329,150.41032,530.91697,551.04599,758.59731,58.33965,30.02026,1.648,30.47154,18.3247,26.83028
