年份,大中型工业企业应收账款净额,煤炭开采和洗选业大中型工业企业应收账款净额,石油和天然气开采业大中型工业企业应收账款净额,黑色金属矿采选业大中型工业企业应收账款净额,有色金属矿采选业大中型工业企业应收账款净额,非金属矿采选业大中型工业企业应收账款净额,其他采矿业大中型工业企业应收账款净额,农副食品加工业大中型工业企业应收账款净额,食品制造业大中型工业企业应收账款净额,饮料制造业大中型工业企业应收账款净额,烟草制品业大中型工业企业应收账款净额,纺织业大中型工业企业应收账款净额,纺织服装、鞋、帽制造业大中型工业企业应收账款净额,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业应收账款净额,木材加工及木、竹、藤、棕、草制品业大中型工业企业应收账款净额,家具制造业大中型工业企业应收账款净额,造纸及纸制品业大中型工业企业应收账款净额,印刷业和记录媒介的复制大中型工业企业应收账款净额,文教体育用品制造业大中型工业企业应收账款净额,石油加工、炼焦及核燃料加工业大中型工业企业应收账款净额,化学原料及化学制品制造业大中型工业企业应收账款净额,医药制造业大中型工业企业应收账款净额,化学纤维制造业大中型工业企业应收账款净额,橡胶制品业大中型工业企业应收账款净额,塑料制品业大中型工业企业应收账款净额,非金属矿物制品业大中型工业企业应收账款净额,黑色金属冶炼及压延加工业大中型工业企业应收账款净额,有色金属冶炼及压延加工业大中型工业企业应收账款净额,金属制品业大中型工业企业应收账款净额,通用设备制造业大中型工业企业应收账款净额,专用设备制造业大中型工业企业应收账款净额,交通运输设备制造业大中型工业企业应收账款净额,电气机械及器材制造业大中型工业企业应收账款净额,通信设备、计算机及其他电子设备制造大中型工业企业应收账款净额,仪器仪表及文化、办公用机械制造业大中型工业企业应收账款净额,工艺品及其他制造业大中型工业企业应收账款净额,废弃资源和废旧材料回收加工业大中型工业企业应收账款净额,电力、热力的生产和供应业大中型工业企业应收账款净额,燃气生产和供应业大中型工业企业应收账款净额,水的生产和供应业大中型工业企业应收账款净额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,47882.05794,1913.9669,449.24066,349.61341,110.89313,54.52994,0.00673,709.24207,575.97077,350.971,257.5245,1092.24898,716.3537,547.08749,125.7424,223.35315,587.22412,223.74921,180.40719,676.42865,1899.72521,1014.71245,197.39945,464.0641,633.4719,1363.82239,1535.51285,977.23254,1162.84186,3190.43696,2920.1671,5473.77816,5594.9692,9274.88576,869.78737,333.54254,66.36871,1590.74322,68.85076,105.19141
2010,39219.99555,1385.67847,366.06765,264.69929,106.49583,36.04438,0.19,542.05378,401.2032,264.29205,233.3589,864.80231,505.22219,481.58757,90.12003,194.61857,487.62561,182.75063,160.87843,603.99404,1512.97926,835.14094,145.8875,355.02816,519.57486,1041.31522,1284.91007,805.53944,951.727,2682.32071,2277.73698,4410.87591,4482.80832,8180.58814,702.02564,277.22393,58.32564,1389.82032,43.67317,90.81141
2009,32208.41192,916.23362,480.95532,148.92055,90.24001,40.5325,,424.93326,339.94722,257.39596,210.16339,783.41278,453.2373,331.1129,72.42414,148.76055,376.25764,149.57855,152.83117,439.56408,1179.0825,714.23947,114.53713,294.43232,438.61531,835.30525,1134.53048,627.62205,714.86947,2140.88616,1636.36959,3509.26002,3270.60677,6951.78289,550.67535,216.74124,19.82151,1218.29078,748.68527,75.55742
2008,26679.90041,801.47419,468.47194,196.00093,91.50789,38.33152,,383.59069,320.86775,208.02591,126.90592,744.23371,418.4636,292.60711,71.50348,125.66978,385.4513,150.4253,133.18297,439.52927,981.73862,608.16975,114.1651,275.14778,427.52764,750.46069,1046.32163,580.11352,657.83134,1845.25683,1373.23506,2522.06609,2738.56677,5533.46932,457.08321,177.93989,7.97999,1068.1712,40.57796,77.83476
2007,24735.14999,595.61075,347.9448,103.0027,81.02313,32.21992,,327.97454,278.21927,185.27779,142.61508,752.14561,357.14347,283.42917,68.23031,119.37995,392.40778,130.58602,124.75961,366.93832,948.97658,563.75813,145.65241,240.48669,386.40169,639.16294,880.48901,529.89255,589.20122,1546.17018,1078.71204,2276.43051,2485.17348,5982.38653,413.04738,174.58932,2.66367,1065.18019,30.34796,67.51929
