年份,大中型工业企业产成品,煤炭开采和洗选业大中型工业企业产成品,石油和天然气开采业大中型工业企业产成品,黑色金属矿采选业大中型工业企业产成品,有色金属矿采选业大中型工业企业产成品,非金属矿采选业大中型工业企业产成品,其他采矿业大中型工业企业产成品,农副食品加工业大中型工业企业产成品,食品制造业大中型工业企业产成品,饮料制造业大中型工业企业产成品,烟草制品业大中型工业企业产成品,纺织业大中型工业企业产成品,纺织服装、鞋、帽制造业大中型工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业产成品,木材加工及木、竹、藤、棕、草制品业大中型工业企业产成品,家具制造业大中型工业企业产成品,造纸及纸制品业大中型工业企业产成品,印刷业和记录媒介的复制大中型工业企业产成品,文教体育用品制造业大中型工业企业产成品,石油加工、炼焦及核燃料加工业大中型工业企业产成品,化学原料及化学制品制造业大中型工业企业产成品,医药制造业大中型工业企业产成品,化学纤维制造业大中型工业企业产成品,橡胶制品业大中型工业企业产成品,塑料制品业大中型工业企业产成品,非金属矿物制品业大中型工业企业产成品,黑色金属冶炼及压延加工业大中型工业企业产成品,有色金属冶炼及压延加工业大中型工业企业产成品,金属制品业大中型工业企业产成品,通用设备制造业大中型工业企业产成品,专用设备制造业大中型工业企业产成品,交通运输设备制造业大中型工业企业产成品,电气机械及器材制造业大中型工业企业产成品,通信设备、计算机及其他电子设备制造大中型工业企业产成品,仪器仪表及文化、办公用机械制造业大中型工业企业产成品,工艺品及其他制造业大中型工业企业产成品,废弃资源和废旧材料回收加工业大中型工业企业产成品,电力、热力的生产和供应业大中型工业企业产成品,燃气生产和供应业大中型工业企业产成品,水的生产和供应业大中型工业企业产成品
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,19535.26106,571.66749,102.47108,101.6641,97.95345,37.93588,0.0008,771.73817,270.47518,332.00914,130.71616,852.77044,508.34414,181.9579,96.72834,113.1552,281.82424,72.08157,82.22032,781.65634,1224.60931,485.12212,237.25797,266.02502,226.7335,716.29775,1863.99861,942.933,435.76173,1086.47849,1043.82972,1864.42208,1574.74115,1549.70912,206.99304,266.0443,62.45481,74.24878,17.07749,3.15313
2010,15465.72664,477.11083,103.74555,79.44977,67.98484,24.38438,0.13,621.23204,203.69509,245.19834,140.42296,664.936,367.92993,134.5621,70.28436,89.70219,212.75249,58.95079,59.4102,577.76635,900.55946,373.3067,175.2679,209.1145,183.21344,525.19277,1455.24812,672.62701,347.59533,852.12254,772.95703,1785.11335,1314.41475,1313.36188,156.72072,151.11813,34.19986,30.00299,12.36067,1.58128
2009,12448.59711,345.91516,92.12433,58.1703,57.36172,24.67402,,477.81919,189.86595,210.15281,103.46423,599.57184,296.10383,122.843,70.85903,62.98785,184.38406,51.84859,50.61886,511.4758,737.13914,310.02895,132.31108,167.0638,152.55907,466.43574,1188.59434,498.35792,297.875,752.3125,580.02851,1272.53418,1019.91508,1063.01486,118.40641,126.20203,12.37582,32.00257,9.45143,1.74811
2008,12227.26036,331.56102,93.42516,50.15526,45.14111,23.61118,,409.08456,167.42368,206.0915,170.34163,626.02386,263.56113,99.03498,66.45136,64.73546,224.83409,49.73472,54.98639,451.31174,811.29966,293.0448,129.92181,184.8158,140.44107,465.88689,1346.98377,464.28415,259.28683,753.47075,600.38764,1165.44049,900.25437,1061.66761,110.82,94.17105,8.05732,31.8966,6.72334,0.89758
2007,10245.50024,216.68307,83.08275,33.42292,34.30112,18.86681,,361.22896,144.02394,171.0081,57.15755,644.48338,210.10772,102.38,59.07334,56.272,146.98606,48.69939,47.15084,382.29237,624.95822,251.62213,147.65564,139.9408,146.78917,353.67441,1070.29461,420.43771,241.7103,559.36338,441.56981,1014.66896,848.66807,929.69061,100.33829,83.25502,3.22991,44.40319,4.94082,1.06887
2006,8341.76777,196.63728,74.06443,30.73252,38.72544,20.72546,,264.50121,111.43057,132.9323,49.74471,530.43654,187.86583,83.18001,45.32675,43.05395,135.51604,36.1981,41.12605,318.05413,498.85808,201.28106,98.57955,120.99812,123.82875,295.85655,835.53676,336.29859,193.4358,461.88198,359.35385,796.95761,664.39065,842.5943,84.0831,57.22176,2.32176,22.87818,4.36182,0.79818
